Trading Date,2026-07-31

Rank,Symbol,Score,Avg Daily Traded Value,return_9m,return_6m,return_3m,volatility_3m
368,NATCOPHARM,0.293,458634711.0,11.12,12.96,-18.49,42.64
369,TRENT,0.2925,3821904517.0,-37.03,18.09,9.19,38.44
370,ONGC,0.2923,2861678616.0,-0.52,-9.86,-16.35,24.93
371,TMPV,0.2923,2648349765.0,-16.75,0.62,-0.14,33.87
372,ITC,0.2922,4158180592.0,-30.1,-7.5,-7.32,15.34
373,MSUMI,0.2921,314045261.0,-15.08,-3.65,-2.36,30.82
374,APOLLOTYRE,0.292,364177503.0,-14.72,-14.96,4.84,30.73
375,SAGILITY,0.2893,1255736311.0,-14.6,-11.95,4.86,33.65
376,ESCORTS,0.2891,311283551.0,-14.43,-10.39,-3.72,27.71
377,UCOBANK,0.2888,140121480.0,-18.81,-8.63,-1.73,27.71
378,NSLNISP,0.2881,105941816.0,-9.75,0.37,0.42,40.31
379,BANKBARODA,0.2864,2522302682.0,-8.8,-17.19,-4.92,27.61
380,SONATSOFTW,0.2864,980469693.0,-13.2,2.37,23.66,58.92
381,BBTC,0.2852,32822331.0,-27.29,-12.79,-0.27,22.91
382,HUDCO,0.2842,545939931.0,-12.15,-3.27,-11.93,28.44
383,CIEINDIA,0.2834,227578953.0,-3.96,0.91,-13.75,34.63
384,SUNTV,0.2834,84305997.0,-7.33,-3.41,-16.01,28.37
385,AAVAS,0.2831,105430716.0,-17.78,-8.47,-1.51,31.04
386,DEVYANI,0.2831,282331150.0,-31.92,1.06,-3.46,25.96
387,MPHASIS,0.2824,1489921995.0,-18.52,-15.53,6.0,33.15
388,NTPCGREEN,0.2819,872257367.0,-14.29,-2.49,-17.57,23.93
389,DABUR,0.2809,805960121.0,-16.44,-17.91,-4.54,25.17
390,MMTC,0.2798,105485486.0,-6.2,-7.46,-3.93,38.21
391,ABREL,0.2791,193050736.0,-19.21,11.76,-4.58,40.49
392,KFINTECH,0.2789,1353813930.0,-19.76,-7.69,4.71,37.13
393,ICICIPRULI,0.2788,776768253.0,-13.91,-19.67,0.65,30.87
394,HINDPETRO,0.2784,2610203152.0,-16.0,-9.91,4.24,38.06
395,CEATLTD,0.278,856785976.0,-15.37,-7.29,-0.44,36.24
396,BEML,0.2778,319744958.0,-18.82,-3.51,-4.56,32.93
397,UTIAMC,0.2776,357153266.0,-30.75,-8.94,-5.73,21.71
398,WAAREEENER,0.2774,2342820788.0,-23.12,-2.52,-14.54,22.86
399,HDFCBANK,0.2765,23880854528.0,-24.54,-18.7,-1.52,24.06
400,RITES,0.2758,1525169244.0,-11.41,-0.94,-2.2,41.69
401,GPIL,0.2757,278247358.0,-10.39,-2.14,-18.19,28.69
402,CHOLAHLDNG,0.2754,276028729.0,-23.77,-5.44,-1.41,32.38
403,SJVN,0.2751,123601632.0,-20.95,-6.11,-14.07,23.57
404,ACC,0.2746,202826802.0,-26.71,-19.12,-4.0,21.29
405,LTTS,0.2733,474942570.0,-14.28,-5.32,-0.85,39.68
406,ECLERX,0.2726,1055799588.0,-21.76,-16.54,30.03,54.34
407,UPL,0.2724,966696005.0,-16.08,-15.59,-5.88,29.22
408,JPPOWER,0.2722,1047457451.0,2.24,15.54,-4.04,59.23
409,GODFRYPHLP,0.2718,748745257.0,-31.63,5.53,-3.74,33.19
410,SBICARD,0.2714,949610137.0,-26.86,-15.33,2.38,29.84
411,DALBHARAT,0.271,477752193.0,-13.77,-14.34,-8.99,29.4
412,AMBUJACEM,0.2708,805645489.0,-21.73,-18.66,-2.46,27.52
413,AWL,0.2703,660325665.0,-29.06,-9.23,-7.24,24.47
414,TATACHEM,0.2701,274978375.0,-23.46,-3.76,-15.46,24.33
415,JKTYRE,0.2699,457721755.0,-2.95,-21.69,-1.56,38.58
416,ITCHOTELS,0.2692,512949795.0,-25.38,-8.14,0.72,34.3
417,IDBI,0.2671,966775486.0,-17.82,-14.37,12.37,45.93
418,ICICIGI,0.2661,2182019678.0,-17.95,-9.75,-7.56,32.57
419,IREDA,0.2661,429730872.0,-22.72,-9.78,-11.59,26.36
420,DCMSHRIRAM,0.2641,164174119.0,-15.06,-8.51,-15.77,29.22
421,MUTHOOTFIN,0.264,2356735269.0,-1.17,-23.11,-9.48,34.95
422,BANDHANBNK,0.2638,3477789323.0,-0.85,13.55,-15.78,50.23
423,SIGNATURE,0.2629,330368073.0,-23.51,-7.48,-4.94,33.9
424,BRIGADE,0.2626,418098401.0,-25.22,5.33,-2.3,42.18
425,INDIAMART,0.2621,236744909.0,-24.57,-15.3,-11.97,23.57
426,IGL,0.2619,258037146.0,-26.36,-11.47,-8.94,27.14
427,SUZLON,0.2615,2881200020.0,-17.49,1.2,-12.47,36.85
428,VMM,0.2612,1062897715.0,-27.32,-12.08,-14.37,22.06
429,NAVA,0.2602,110960297.0,-9.8,-0.87,-18.1,36.44
430,URBANCO,0.2595,214024691.0,-14.61,4.61,-15.41,38.96
431,NCC,0.2591,179593206.0,-33.94,-0.04,-13.89,25.87
432,HBLENGINE,0.2588,594410129.0,-27.4,2.23,-9.99,34.49
433,EIDPARRY,0.2578,219647273.0,-26.83,-13.59,-9.95,26.6
434,GALLANTT,0.2574,112049826.0,14.29,14.73,-28.69,52.47
435,GMDCLTD,0.2574,498357114.0,-4.56,-8.75,-21.12,34.1
436,TTML,0.2562,83954231.0,-27.78,-6.15,-6.59,33.51
437,EMAMILTD,0.2559,223405272.0,-25.5,-18.78,-10.45,24.99
438,CYIENT,0.2554,408219528.0,-28.48,-23.97,-2.55,26.91
439,IRCTC,0.2546,374277224.0,-32.11,-19.96,-13.93,17.98
440,HDFCLIFE,0.2545,2073698274.0,-27.7,-24.29,-7.35,23.74
441,SAPPHIRE,0.2535,218041614.0,-33.87,-2.5,-4.47,34.66
442,BLS,0.2533,329477073.0,-23.39,-10.53,-13.98,29.04
443,RAILTEL,0.2532,157281399.0,-21.84,-13.7,-12.07,29.87
444,WIPRO,0.2528,2744898112.0,-22.24,-23.42,-8.07,27.7
445,TARIL,0.2509,733074810.0,-37.21,28.27,-11.28,45.04
446,RHIM,0.2501,1453782104.0,-13.51,-7.21,-3.8,46.64
447,TCS,0.2491,10104234383.0,-20.16,-23.75,-1.22,35.96
448,JUBLFOOD,0.2491,1069757833.0,-27.05,-11.22,-8.01,33.07
449,LATENTVIEW,0.249,377545026.0,-24.6,-20.57,9.05,43.36
450,BDL,0.2485,1049803782.0,-17.58,-17.84,-10.4,33.58
451,PIIND,0.2477,478910780.0,-23.18,-14.44,-9.72,32.9
452,LTM,0.2473,1877999707.0,-22.09,-26.26,2.83,37.48
453,CENTRALBK,0.2473,290302557.0,-21.67,-15.25,-11.53,32.1
454,ABFRL,0.2472,283737156.0,-28.43,-7.76,-8.63,34.43
455,LEMONTREE,0.2471,304670935.0,-34.16,-12.43,-7.05,29.66
456,JWL,0.2459,278855581.0,-19.9,-16.05,-8.65,35.69
457,TEGA,0.2419,93258955.0,-21.2,-14.86,-10.69,35.57
458,COCHINSHIP,0.2414,2089527808.0,-21.46,-6.36,-17.91,34.45
459,MAPMYINDIA,0.2406,1166534560.0,-34.54,-8.69,25.82,61.02
460,INTELLECT,0.2393,451641931.0,-29.7,-20.9,-2.37,34.89
461,ABLBL,0.2385,55523003.0,-30.19,-8.94,-9.66,35.56
462,ELECON,0.2379,279248152.0,-24.96,6.53,-20.59,38.65
463,IRFC,0.2376,627045424.0,-27.97,-24.96,-15.75,23.56
464,WHIRLPOOL,0.2371,253413206.0,-42.29,1.95,-18.54,27.47
465,JMFINANCIL,0.237,270509167.0,-26.23,-2.71,-10.81,41.14
466,IRCON,0.2344,124138435.0,-24.73,-22.45,-18.15,26.35
467,INFY,0.2328,14117121518.0,-23.56,-30.43,-2.0,36.56
468,SWIGGY,0.2327,6393280162.0,-32.01,-13.06,4.08,45.85
469,CLEAN,0.2299,156263628.0,-29.56,-13.96,-10.38,36.28
470,COHANCE,0.2246,242539437.0,-50.56,11.42,-9.71,40.09
471,FIRSTCRY,0.223,223414155.0,-39.75,-18.77,-11.27,29.57
472,GODIGIT,0.2207,226294226.0,-29.51,-21.09,-16.49,31.37
473,SWANCORP,0.2202,312738223.0,-34.84,-27.59,-10.58,29.53
474,BATAINDIA,0.2169,162911686.0,-40.31,-17.89,-3.1,38.96
475,TECHNOE,0.2166,121562606.0,-25.85,8.51,-23.61,45.85
476,TATAELXSI,0.2128,1764321936.0,-32.57,-30.65,-10.53,32.47
477,BSOFT,0.2091,642026880.0,-18.91,-26.23,-18.27,38.62
478,NEWGEN,0.2085,3233041777.0,-44.24,-7.38,11.95,58.19
479,SYNGENE,0.2044,687210349.0,-41.14,-19.43,-18.93,30.08
480,RVNL,0.1936,821124882.0,-32.02,-33.76,-24.95,27.54
481,AFCONS,0.1901,524238722.0,-39.57,-19.52,-20.73,35.65
482,RPOWER,0.1863,456973928.0,-49.44,-15.7,-17.48,35.93
483,ZENSARTECH,0.1819,3800258246.0,-36.41,-24.02,-1.0,54.71
484,KAYNES,0.1771,3608919019.0,-45.01,11.82,-8.78,64.78
485,KEC,0.1731,426579364.0,-43.29,-27.26,-17.76,38.8
486,PATANJALI,0.169,2744107196.0,-40.96,-28.81,-22.44,37.3
487,INOXWIND,0.1472,791235817.0,-49.03,-28.48,-24.41,40.24
488,JAINREC,0.1315,415277862.0,-10.2,-14.59,-24.22,78.74
489,VEDL,0.1281,2975714259.0,-47.95,-64.94,-13.05,38.28
490,KPITTECH,0.1049,2556397736.0,-49.77,-42.49,-22.54,51.7
491,GROWW,nan,4781505685.0,nan,12.95,-11.67,34.75
492,EMMVEE,nan,1117822091.0,nan,66.33,18.8,48.33
493,ICICIAMC,nan,1109216942.0,nan,15.55,-4.93,27.53
494,LENSKART,nan,2528925353.0,nan,25.82,10.8,22.48
495,MEESHO,nan,1925903660.0,nan,8.32,-16.06,38.75
496,PWL,nan,1918929457.0,nan,-0.02,14.15,53.47
497,PINELABS,nan,2054928792.0,nan,-38.0,-28.67,51.19
498,PIRAMALFIN,nan,618421041.0,nan,15.23,3.43,31.67
499,TMCV,nan,2553003917.0,nan,-6.05,8.65,37.27
500,TENNIND,nan,242051717.0,nan,4.35,-16.13,32.03
