Trading Date,2026-07-31

Rank,Symbol,Score,Avg Daily Traded Value,return_9m,return_6m,return_3m,volatility_3m
85,ADANIPOWER,0.4171,5746005245.0,30.17,56.85,-7.03,34.74
86,ANTHEM,0.4165,618318461.0,10.96,36.95,6.74,23.4
87,LODHA,0.4163,4120274536.0,5.49,30.75,37.03,41.36
88,IIFL,0.4156,1259104230.0,21.33,17.5,32.62,40.6
89,CGPOWER,0.4156,4506410166.0,19.77,48.69,7.62,36.41
90,AEGISVOPAK,0.4133,916954953.0,3.67,36.46,49.61,54.9
91,ABCAPITAL,0.4125,1442551676.0,29.33,16.08,16.9,33.3
92,THERMAX,0.412,1604993097.0,32.82,54.65,5.09,47.24
93,KARURVYSYA,0.4114,2397700591.0,37.12,17.06,16.68,38.92
94,MAHABANK,0.409,1327600651.0,38.84,23.87,2.77,33.44
95,RKFORGE,0.4082,1027305416.0,22.21,31.0,9.01,32.49
96,KIMS,0.4076,402501761.0,11.51,31.99,17.78,33.85
97,CGCL,0.4069,1229363598.0,12.54,32.26,19.26,36.1
98,BIOCON,0.4067,2738519880.0,14.05,16.67,15.74,25.72
99,ZYDUSWELL,0.4061,288960592.0,18.0,37.41,13.57,38.04
100,RBLBANK,0.4058,2084427254.0,15.5,26.28,13.72,30.61
101,UNITDSPR,0.4058,1428103513.0,12.65,14.26,14.69,23.06
102,SHRIRAMFIN,0.4057,5102268806.0,46.34,3.32,9.6,33.74
103,KAJARIACER,0.4053,321536866.0,-1.52,35.61,8.49,21.18
104,GODREJIND,0.4049,391919745.0,20.35,35.64,37.39,58.4
105,PIDILITIND,0.4034,1349377477.0,7.11,11.35,17.13,21.03
106,NESTLEIND,0.4023,2978158391.0,18.3,16.45,3.5,20.11
107,NIVABUPA,0.4022,209168810.0,16.65,13.18,9.71,22.42
108,INDUSINDBK,0.4017,2730691244.0,26.8,12.46,10.96,29.54
109,BAJFINANCE,0.4009,9924265903.0,8.02,22.78,19.78,31.13
110,DEEPAKFERT,0.4006,598896699.0,6.36,34.27,22.73,38.93
111,CCL,0.4001,197862392.0,36.17,20.83,1.78,33.11
112,ELGIEQUIP,0.3998,135391422.0,14.64,32.08,2.76,26.9
113,LUPIN,0.3997,1708948981.0,25.59,12.3,4.76,24.52
114,ASIANPAINT,0.3995,2097943598.0,10.61,10.32,13.2,21.11
115,OBEROIRLTY,0.397,1099415799.0,7.8,25.87,9.6,26.04
116,WELSPUNLIV,0.3968,263458149.0,17.27,26.77,19.78,40.75
117,IFCI,0.3956,1460705636.0,34.12,35.88,30.95,65.77
118,ICICIBANK,0.3941,16477504184.0,4.74,3.74,14.71,17.41
119,IDFCFIRSTB,0.3939,1937932324.0,6.72,1.45,23.17,24.33
120,GVT&D,0.3938,4266968033.0,45.65,48.82,-3.64,52.65
121,NH,0.393,427458252.0,14.26,15.19,13.1,28.72
122,ADANIPORTS,0.3924,3078690849.0,20.15,23.28,-2.24,24.61
123,KEI,0.392,1221459187.0,23.16,28.87,-1.17,30.54
124,BOSCHLTD,0.3919,1009429436.0,5.56,15.05,13.04,23.7
125,THELEELA,0.3919,189109330.0,15.37,21.21,15.49,35.17
126,GLAXO,0.3915,155777537.0,-1.27,17.71,16.55,23.95
127,TATATECH,0.3915,734867908.0,9.15,14.91,28.44,38.57
128,CARBORUNIV,0.3912,143924457.0,17.35,27.73,8.55,34.6
129,PREMIERENE,0.3898,1381416366.0,-4.46,49.75,0.47,27.26
130,INDHOTEL,0.3892,1783723933.0,-0.63,13.89,16.67,23.37
131,PNBHOUSING,0.388,848273872.0,13.53,27.59,0.71,27.16
132,M&MFIN,0.388,2553129907.0,28.97,5.95,24.16,43.9
133,GAIL,0.3868,1257276664.0,3.84,16.95,11.16,24.32
134,ABDL,0.3863,351048371.0,1.05,39.26,17.5,40.23
135,SIEMENS,0.3858,1142956681.0,19.28,29.92,-1.27,31.31
136,GRASIM,0.3856,1467132007.0,5.72,9.22,8.57,19.65
137,IKS,0.3855,423604739.0,21.08,13.26,11.74,33.97
138,ZEEL,0.3849,2182218877.0,10.32,38.76,26.46,53.58
139,CHOICEIN,0.3846,1015222043.0,1.64,8.28,24.04,29.65
140,TATACAP,0.3832,481649767.0,11.95,10.38,12.5,28.35
141,ACE,0.3826,729362205.0,-3.18,27.27,21.34,35.77
142,EICHERMOT,0.381,3826386187.0,11.87,10.78,6.88,24.9
