symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
JSWSTEEL,2021-08-10 00:00:00,2,2021-08-23 00:00:00,5,13,465.09091726907417,715.8555721139753,665.2897011962516,333333.3333333333,309420.1973790329,-23913.135954300407,0.0,309.4201973790329,9.189779862157277,0.30942019737903287,1.7098560107165357,0.0,320.6292534492857,-24233.765207749693,-0.07173940786290123,SellReason.RANK_EXIT
BSOFT,2021-08-24 00:00:00,1,2021-09-30 00:00:00,9,37,789.8912670008156,390.854943052517,389.814953604282,309099.56812558364,307911.42759835045,-1188.1405272331904,0.0,307.91142759835043,9.144969399671009,0.30791142759835044,1.7015185489084845,0.0,319.0658269745283,-1507.2063542077187,-0.0038438763743288778,SellReason.RANK_EXIT
ABREL,2021-08-10 00:00:00,1,2021-10-26 00:00:00,7,77,433.20177064074386,768.5516247411038,780.3906332190586,333333.3333333333,338066.6041019475,4733.270768614195,0.0,338.0666041019475,10.040578141827842,0.3380666041019475,1.8681560542673619,0.0,350.31340490214467,4382.95736371205,0.014199812305842585,SellReason.RANK_EXIT
BAJFINANCE,2021-10-22 00:00:00,3,2021-10-27 00:00:00,5,5,406.20950761063204,756.3276633321224,767.4444663426261,307592.36177137593,311743.2387915424,4150.877020166488,0.0,311.7432387915424,9.25877419210881,0.3117432387915424,1.7226931375620633,0.0,323.0364493600049,3827.8405708064834,0.01349473373221052,SellReason.RANK_EXIT
BAJAJFINSV,2021-08-10 00:00:00,3,2021-11-23 00:00:00,5,105,233.9809062837035,1422.9277506215703,1683.1831080630884,333333.3333333333,393832.70906602225,60499.37573268893,0.0,393.83270906602223,11.69683145926086,0.39383270906602225,2.1763195502988384,0.0,408.09969278464797,60091.27603990428,0.1814981271980668,SellReason.RANK_EXIT
ASAHIINDIA,2021-11-23 00:00:00,1,2021-11-29 00:00:00,,6,688.4725349248079,504.17135349242085,470.3754405615648,347520.3674708218,323840.5719297938,-23679.79554102797,0.0,323.84057192979384,9.618064986314875,0.32384057192979376,1.7895430004840402,0.0,335.5720204885226,-24015.36756151649,-0.06813930277918503,SellReason.MARKET_EXIT
BSOFT,2021-11-23 00:00:00,2,2021-11-29 00:00:00,,6,809.2814956249108,428.90901577746877,441.4346688812784,347520.36747082183,357244.90905292827,9724.541582106438,0.0,357.2449090529283,10.610173798871969,0.3572449090529283,1.9741353674264814,0.0,370.1864631282797,9354.355118978157,0.027982652219435515,SellReason.MARKET_EXIT
TITAN,2021-11-23 00:00:00,3,2021-11-29 00:00:00,,6,147.75769388474242,2349.1712725711473,2260.337043692475,347520.36747082183,333982.1889782564,-13538.178492565406,0.0,333.98218897825643,9.919271012654216,0.33398218897825643,1.845585576293845,0.0,346.0810277561828,-13884.25952032159,-0.038956503732697295,SellReason.MARKET_EXIT
GOLDBEES,2021-11-29 00:00:00,0,2022-08-01 00:00:00,,245,24253.185326036422,41.7599983215332,44.439998626708984,1014015.8304496056,1077811.522582377,63795.69213277148,0.0,1077.8115225823772,32.0110022206966,1.077811522582377,5.955986473790215,0.0,1116.8563227994464,62678.835809972035,0.06291390155564439,SellReason.MARKET_EXIT
ABB,2022-08-01 00:00:00,1,2022-10-03 00:00:00,,63,133.26302148808696,2689.9621791644486,3014.1984827257143,358898.22208652593,401681.197172836,42782.97508631006,0.0,401.681197172836,11.92993155603323,0.40168119717283596,2.2196902955770916,0.0,416.23250022161915,42366.74258608845,0.11920642804409216,SellReason.MARKET_EXIT
COALINDIA,2022-08-01 00:00:00,2,2022-10-03 00:00:00,,63,2283.768812021319,156.9653135629154,159.51129104264703,358898.22208652593,364286.91164845286,5388.689561926934,0.0,364.2869116484529,10.81932127595905,0.36428691164845284,2.0130494737693505,0.0,377.4835693098297,5011.205992617105,0.015014534010780883,SellReason.MARKET_EXIT
EICHERMOT,2022-08-01 00:00:00,3,2022-10-03 00:00:00,,63,120.15394355450077,2983.4433817108397,3651.3947922307543,358898.22208652593,438729.4837608921,79831.2616743662,0.0,438.72948376089215,13.030265667698496,0.4387294837608921,2.4244191272626896,0.0,454.6228980396142,79376.63877632658,0.22243426342502154,SellReason.MARKET_EXIT
GOLDBEES,2022-10-03 00:00:00,0,2022-11-14 00:00:00,,42,27670.850110967345,43.439998626708984,44.849998474121094,1203449.2536146098,1241037.585254519,37588.331639909185,0.0,1241.037585254519,36.858816282059216,1.241037585254519,6.8579736961164715,0.0,1285.9954128179493,36302.33622709123,0.031233831860388854,SellReason.MARKET_EXIT
EICHERMOT,2022-11-14 00:00:00,3,2022-11-17 00:00:00,9,3,120.83146110528558,3416.000416186649,3380.0270013416257,413250.5299472337,408413.6011474257,-4836.928799807967,0.0,408.4136011474257,12.129883954078544,0.4084136011474257,2.2568935599406745,0.0,423.20879226259234,-5260.13759207056,-0.011704591886247733,SellReason.RANK_EXIT
BHARTIARTL,2022-11-22 00:00:00,3,2022-11-29 00:00:00,5,7,486.40856788162023,837.7862777350957,823.6496424932342,407990.3923551631,400630.24304134253,-7360.149313820584,0.0,400.63024304134257,11.898718218327874,0.40063024304134254,2.213882723046459,0.0,415.14347422575827,-7775.292788046342,-0.01804000646028311,SellReason.RANK_EXIT
COALINDIA,2022-11-14 00:00:00,2,2022-12-02 00:00:00,6,18,2165.274979303631,190.6272068764418,180.25968172586488,413250.5299472337,390311.7786182512,-22938.75132898247,0.0,390.3117786182512,11.592259824962062,0.39031177861825117,2.156862888644456,0.0,404.451213110476,-23343.202542092946,-0.05550809900210274,SellReason.RANK_EXIT
BRITANNIA,2022-12-22 00:00:00,3,2022-12-28 00:00:00,5,6,92.68914271116371,4257.160764046793,4178.608500198054,395061.2134861287,387311.6396089392,-7749.573877189541,0.0,387.3116396089392,11.503155696385493,0.38731163960893916,2.1402841204789977,0.0,401.3423910654126,-8150.916268254954,-0.019616134443584506,SellReason.RANK_EXIT
LT,2022-12-22 00:00:00,2,2023-01-11 00:00:00,5,20,191.20144427208393,2063.7531432115434,2027.271769623491,395061.2134861287,387617.2902840349,-7443.923202093807,0.0,387.61729028403494,11.512233521435837,0.3876172902840349,2.141973146109577,0.0,401.6591142418644,-7845.582316335672,-0.0188424551638633,SellReason.RANK_EXIT
ABBOTINDIA,2023-01-24 00:00:00,3,2023-01-25 00:00:00,6,1,18.518825389284622,20876.260341315527,20734.494232116765,387062.9641938334,383978.4782196995,-3084.485974133888,0.0,383.9784782196995,11.404160803125077,0.3839784782196995,2.1218650706420594,0.0,397.8884825716864,-3482.374456705574,-0.007968951461316353,SellReason.RANK_EXIT
ADANIENT,2022-11-14 00:00:00,1,2023-01-30 00:00:00,,77,103.40368374964383,3991.7371070014533,2844.8239167924285,413250.5299472337,294165.2726154273,-119085.25733180635,0.0,294.16527261542734,8.736708596678191,0.2941652726154273,1.6255572964728513,0.0,304.8217037811938,-119390.07903558755,-0.28816722230703945,SellReason.MARKET_EXIT
LT,2023-01-24 00:00:00,1,2023-01-30 00:00:00,,6,178.92658367244061,2160.684075597296,2049.6993216744104,387062.9641938334,366745.69718292117,-20317.26701091224,0.0,366.74569718292116,10.892347206332758,0.36674569718292116,2.0266367226328224,0.0,380.03142680906967,-20697.29843772131,-0.05249085779423153,SellReason.MARKET_EXIT
GOLDBEES,2023-01-30 00:00:00,0,2023-05-02 00:00:00,,92,21164.607212238425,49.2599983215332,51.529998779296875,1043806.7064048861,1090612.183810944,46805.47740605788,0.0,1090.612183810944,32.39118185918504,1.090612183810944,6.026722927739277,0.0,1130.1207007816793,45675.3567052762,0.04484113497149953,SellReason.MARKET_EXIT
ULTRACEMCO,2023-05-02 00:00:00,3,2023-05-03 00:00:00,9,1,48.886365867633096,7419.858085495645,7398.715867436119,363160.6877033874,361696.33084614447,-1464.3568572429358,0.0,361.69633084614446,10.742381026130492,0.36169633084614444,1.9987339242557942,0.0,374.7991421273769,-1839.1559993703127,-0.0040322559870217935,SellReason.RANK_EXIT
LT,2023-05-02 00:00:00,2,2023-05-12 00:00:00,8,10,158.78739142235787,2284.374683683997,2139.459082722579,363160.6877033874,339719.12680038885,-23441.56090299855,0.0,339.71912680038884,10.089658065971548,0.33971912680038885,1.8772878946989486,0.0,352.0257918878597,-23793.58669488641,-0.06454872924501265,SellReason.RANK_EXIT
ONGC,2023-05-02 00:00:00,1,2023-06-01 00:00:00,5,30,2645.4588234800603,137.1141723447013,132.98785548143155,363160.6877033874,351813.8956990442,-11346.79200434318,0.0,351.8138956990442,10.448872702261614,0.3518138956990442,1.9441235876329184,0.0,364.5587058846378,-11711.350710227818,-0.03124454928230202,SellReason.RANK_EXIT
BRITANNIA,2023-06-22 00:00:00,3,2023-07-05 00:00:00,5,13,71.12767968839931,4935.243778368153,4896.0736529993455,351449.3369931596,348246.35852134856,-3202.978471811046,0.0,348.24635852134855,10.342916848084052,0.34824635852134855,1.924409377188972,0.0,360.8619311051429,-3563.840402916189,-0.00911362786800018,SellReason.RANK_EXIT
BAJAJ-AUTO,2023-05-23 00:00:00,3,2023-08-02 00:00:00,5,71,83.35819226911907,4197.892484154551,4687.354454836589,350344.31635625905,390729.3938797802,40385.07752352115,0.0,390.7293938797802,11.604662998229472,0.3907293938797802,2.1591706305796654,0.0,404.8839569024691,39980.19356661868,0.11527253515497099,SellReason.RANK_EXIT
ABB,2023-05-23 00:00:00,1,2023-08-16 00:00:00,5,85,91.49821319936429,3824.432375054033,4275.85899794617,350344.31635625905,391233.45820449886,40889.141848239815,0.0,391.23345820449885,11.619633708673616,0.39123345820449884,2.1619560900380606,0.0,405.40628146141506,40483.7355667784,0.1167113035356348,SellReason.RANK_EXIT
DRREDDY,2023-08-22 00:00:00,2,2023-09-01 00:00:00,5,10,333.59683545710266,1169.414477955107,1112.316849994792,390576.2809229576,371065.3811838753,-19510.899739082262,0.0,371.06538118387533,11.020641821161098,0.3710653811838753,2.050507296422095,0.0,384.50759568264243,-19895.407334764906,-0.049954133653422876,SellReason.RANK_EXIT
LT,2023-09-22 00:00:00,3,2023-10-18 00:00:00,5,26,130.74926993990385,2831.6881805031353,2987.403152277704,370680.8735881927,390600.7811764772,19919.90758828452,0.0,390.6007811764772,11.600843200941373,0.3906007811764772,2.158459916781213,0.0,404.7506850753763,19515.156903209143,0.0537386981838575,SellReason.RANK_EXIT
