asset_class,active_trading_days,active_years,total_return,cagr
Stocks,689,2.734126984126984,0.2763609317772342,0.09335083090050755
GOLDBEES,545,2.1626984126984126,0.5273898840518669,0.21634209825982298
Combined,1234,4.896825396825397,0.9495007755955605,0.14605748485975578
