decision_date,execution_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,transaction_cost,net_value,realized_pnl,rebalance_date,rank_before,rank_after,trade_value,entry_price,exit_price,notes,portfolio_value,cash_after,weight_after,weight_before
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,MRF,SECTOR_ROTATION_ENTRY,2020-05-05,1,,0.9888037542502086,58056.8724963474,1.9115619469375376,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,1,,111111.11111111111,58056.8724963474,,NIFTY_AUTO,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,BAJAJ-AUTO,SECTOR_ROTATION_ENTRY,2020-05-05,2,,0.8112624784310659,2134.3039185939965,51.99789367173698,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,2,,111111.11111111111,2134.3039185939965,,NIFTY_AUTO,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,EXIDEIND,SECTOR_ROTATION_ENTRY,2020-05-05,3,,0.6775227561593056,143.39478917837727,773.9424065414852,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,3,,111111.11111111111,143.39478917837727,,NIFTY_AUTO,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,HINDZINC,SECTOR_ROTATION_ENTRY,2020-05-05,1,,0.9241232400139173,91.13235313688446,1217.7816593359203,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,1,,111111.11111111111,91.13235313688446,,NIFTY_METAL,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,COALINDIA,SECTOR_ROTATION_ENTRY,2020-05-05,2,,0.8638840913772583,86.42307167032571,1284.1398260590656,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,2,,111111.11111111111,86.42307167032571,,NIFTY_METAL,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,NMDC,SECTOR_ROTATION_ENTRY,2020-05-05,3,,0.6728673540055752,13.35688744062259,8308.770191826163,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,3,,111111.11111111111,13.35688744062259,,NIFTY_METAL,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,BIOCON,SECTOR_ROTATION_ENTRY,2020-05-05,1,,0.9189446270465851,362.7673378156524,305.9242016948577,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,1,,111111.11111111111,362.7673378156524,,NIFTY_PHARMA,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,DRREDDY,SECTOR_ROTATION_ENTRY,2020-05-05,2,,0.8965024724602699,766.4317443932638,144.79998908458262,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,2,,111111.11111111111,766.4317443932638,,NIFTY_PHARMA,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,DIVISLAB,SECTOR_ROTATION_ENTRY,2020-05-05,3,,0.7597706342736881,2205.0884151106216,50.328733968998144,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,3,,111111.11111111111,2205.0884151106216,,NIFTY_PHARMA,998813.774,0.0,0.1111111111111111,
2020-06-08,2020-06-09,NIFTY_METAL,SELL,COALINDIA,RANK_EXIT,2020-05-05,2,10.0,0.5152698854605358,86.6633071899414,1284.1398260590656,111287.80422059473,111111.11111111111,0.0,111.28780422059474,3.3052477853516633,0.11128780422059473,0.6149764061230064,0.0,115.31931621629,111172.48490437843,61.3737932673248,2020-06-09,2,10.0,111287.80422059473,,86.6633071899414,NIFTY_METAL,1083336.1835385435,111172.48490437843,0.0,
2020-06-15,2020-06-16,NIFTY_PHARMA,SELL,DIVISLAB,RANK_EXIT,2020-05-05,3,6.0,0.4719223827123642,2250.82568359375,50.328733968998144,113281.20704017824,111111.11111111111,0.0,113.28120704017824,3.3644518490932938,0.11328120704017823,0.6259919501040249,0.0,117.38493204641574,113163.82210813182,2052.7109970207093,2020-06-16,3,6.0,113281.20704017824,,2250.82568359375,NIFTY_PHARMA,1056255.9160367101,113163.82210813182,0.0,
2020-06-22,2020-06-23,NIFTY_METAL,BUY,JINDALSTEL,MONTHLY_REPLACEMENT,2020-06-23,2,,0.7483880346020063,142.97930334368323,776.6201584112417,111172.48490437843,111172.48490437843,0.0,111.17248490437844,3.3018228016600397,0.11117248490437844,0.6143391515815952,16.675872735656764,131.8756920781812,111040.60921230026,0.0,2020-06-23,2,,111172.48490437843,142.97930334368323,,NIFTY_METAL,1086838.3788099505,0.0,0.10216846531853778,
2020-06-22,2020-06-23,NIFTY_PHARMA,BUY,GLENMARK,MONTHLY_REPLACEMENT,2020-06-23,2,,0.546995794090132,537.4993330178802,210.28785953177692,113163.82210813182,113163.82210813182,0.0,113.16382210813182,3.360965516611515,0.11316382210813182,0.6253432809695364,16.97457331621977,134.23786804404077,113029.58424008777,0.0,2020-06-23,2,,113163.82210813182,537.4993330178802,,NIFTY_PHARMA,1086838.3788099505,0.0,0.10399852125561775,
2020-06-24,2020-06-25,NIFTY_PHARMA,SELL,GLENMARK,RANK_EXIT,2020-06-23,2,6.0,0.4033958477278551,447.68804931640625,210.28785953177692,94143.36162870366,113163.82210813182,0.0,94.14336162870366,2.7960578403724985,0.09414336162870365,0.5202362163602163,0.0,97.55379904706508,94045.8078296566,-19118.014278475224,2020-06-25,2,6.0,94143.36162870366,,447.68804931640625,NIFTY_PHARMA,1063430.4513640094,94045.8078296566,0.0,
2020-07-02,2020-07-03,NIFTY_METAL,SELL,NMDC,RANK_EXIT,2020-05-05,3,10.0,0.3158840925122301,14.508039474487305,8308.770191826163,120543.96592745742,111111.11111111111,0.0,120.54396592745742,3.5801557880454853,0.12054396592745742,0.6661259557151297,0.0,124.9107916371455,120419.05513582028,9307.94402470917,2020-07-03,3,10.0,120543.96592745742,,14.508039474487305,NIFTY_METAL,1072694.565483165,120419.05513582028,0.0,
2020-07-07,2020-07-08,NIFTY_AUTO,SELL,EXIDEIND,RANK_EXIT,2020-05-05,3,9.0,0.3759625072901448,148.32456970214844,773.9424065414852,114794.67442451102,111111.11111111111,0.0,114.79467442451102,3.4094018304079774,0.11479467442451101,0.634355370869848,0.0,118.95322630021334,114675.7211982108,3564.610087099689,2020-07-08,3,9.0,114794.67442451102,,148.32456970214844,NIFTY_AUTO,1068329.5149753445,114675.7211982108,0.0,
2020-07-21,2020-07-22,NIFTY_AUTO,BUY,HEROMOTOCO,MONTHLY_REPLACEMENT,2020-07-22,1,,0.8424464675287406,2339.19053623442,48.96552380061366,114675.7211982108,114675.7211982108,0.0,114.6757211982108,3.4058689195868608,0.11467572119821079,0.6336980353413129,17.201358179731617,136.0313220540688,114539.68987615673,0.0,2020-07-22,1,,114675.7211982108,2339.19053623442,,NIFTY_AUTO,1104367.0399545361,0.0,0.10371523753631041,
2020-07-21,2020-07-22,NIFTY_METAL,BUY,TATASTEEL,MONTHLY_REPLACEMENT,2020-07-22,3,,0.3138849356522163,29.639288759113054,4057.9992286333786,120419.05513582028,120419.05513582028,0.0,120.41905513582029,3.576445937533862,0.12041905513582027,0.6654356986805429,18.06285827037304,142.84421409754356,120276.21092172274,0.0,2020-07-22,3,,120419.05513582028,29.639288759113054,,NIFTY_METAL,1104367.0399545361,0.0,0.10890963472313896,
2020-07-21,2020-07-22,NIFTY_PHARMA,BUY,AUROPHARMA,MONTHLY_REPLACEMENT,2020-07-22,1,,0.9203696250915527,776.964507861615,120.89902086486127,94045.8078296566,94045.8078296566,0.0,94.0458078296566,2.793160492540801,0.09404580782965659,0.5196971340666823,14.106871174448488,111.55958243854224,93934.24824721806,0.0,2020-07-22,1,,94045.8078296566,776.964507861615,,NIFTY_PHARMA,1104367.0399545361,0.0,0.08505709139154051,
2020-08-06,2020-08-07,NIFTY_PHARMA,SELL,BIOCON,RANK_EXIT,2020-05-05,1,6.0,0.4661201701189081,394.95074462890625,305.9242016948577,120824.99125938775,111111.11111111111,0.0,120.82499125938776,3.5885022404038165,0.12082499125938775,0.6676789016993767,0.0,125.20199739275033,120699.789261995,9588.67815088389,2020-08-07,1,6.0,120824.99125938775,,394.95074462890625,NIFTY_PHARMA,1191718.1011835446,120699.789261995,0.0,
2020-08-14,2020-08-17,NIFTY_AUTO,SELL,MRF,RANK_EXIT,2020-05-05,1,9.0,0.4385702808698019,59542.8125,1.9115619469375376,113819.77458863675,111111.11111111111,0.0,113.81977458863675,3.3804473052825115,0.11381977458863675,0.6289680743768067,0.0,117.9430097428847,113701.83157889386,2590.720467782754,2020-08-17,1,9.0,113819.77458863675,,59542.8125,NIFTY_AUTO,1203233.282879785,113701.83157889386,0.0,
2020-08-21,2020-08-24,NIFTY_AUTO,BUY,M&M,MONTHLY_REPLACEMENT,2020-08-24,2,,0.6151460173229377,578.6344296880997,196.26719338364148,113701.83157889386,113701.83157889386,0.0,113.70183157889386,3.3769443978931477,0.11370183157889385,0.6283163213049675,17.05527473683408,134.87606886650494,113566.95551002736,0.0,2020-08-24,2,,113701.83157889386,578.6344296880997,,NIFTY_AUTO,1204543.0834509677,0.0,0.0942821863910941,
2020-08-21,2020-08-24,NIFTY_PHARMA,BUY,DIVISLAB,MONTHLY_REPLACEMENT,2020-08-24,2,,0.7262246683239937,3171.5363930554113,38.0120538101836,120699.789261995,120699.789261995,0.0,120.69978926199501,3.5847837410812513,0.120699789261995,0.6669870354617843,18.10496838929925,143.1772282170993,120556.6120337779,0.0,2020-08-24,2,,120699.789261995,3171.5363930554113,,NIFTY_PHARMA,1204543.0834509677,0.0,0.10008493153137207,
2020-09-24,2020-09-25,NIFTY_METAL,SELL,TATASTEEL,RANK_EXIT,2020-07-22,3,11.0,0.3230941078315179,29.699016571044922,4057.9992286333786,120518.58633647022,120419.05513582028,0.0,120.51858633647022,3.5794020141931657,0.12051858633647022,0.6659857080953344,0.0,124.8844926450952,120393.70184382513,-25.353291995153995,2020-09-25,3,11.0,120518.58633647022,,29.699016571044922,NIFTY_METAL,1116821.3662577001,120393.70184382513,0.0,
2020-09-24,2020-09-28,NIFTY_METAL,SELL,HINDZINC,SECTOR_ROTATION,2020-05-05,1,,0.4310090420767665,124.77007293701172,1217.7816593359203,151942.70645669792,111111.11111111111,0.0,151.94270645669792,4.512698381763928,0.1519427064566979,0.8396353958797126,0.0,157.44698294079828,151785.25947375712,40674.14836264601,2020-09-28,1,,151942.70645669792,,124.77007293701172,NIFTY_METAL,1136010.3378910027,0.0,0.0,
2020-09-24,2020-09-28,NIFTY_METAL,SELL,JINDALSTEL,SECTOR_ROTATION,2020-06-23,2,,0.4104803005854289,181.2879180908203,776.6201584112417,140791.85166573708,111172.48490437843,0.0,140.79185166573708,4.181517994472391,0.14079185166573707,0.7780157723048631,0.0,145.89217728418006,140645.9594884529,29473.474584074473,2020-09-28,2,,140791.85166573708,,181.2879180908203,NIFTY_METAL,1136010.3378910027,0.0,0.0,
2020-09-25,2020-09-28,NIFTY_FINANCIAL_SERVICES,BUY,HDFCLIFE,SECTOR_ROTATION_ENTRY,2020-09-28,1,,0.6805287922422092,568.4426022946458,120.89617476682305,68804.15346767253,68804.15346767253,0.0,68.80415346767253,2.043483357989874,0.06880415346767252,0.38021175206235835,10.320623020150878,81.61727575134331,68722.53619192119,0.0,2020-09-28,1,,68804.15346767253,568.4426022946458,,NIFTY_FINANCIAL_SERVICES,1136010.3378910027,0.0,0.06049463979307108,
2020-09-25,2020-09-28,NIFTY_FINANCIAL_SERVICES,BUY,CHOLAFIN,SECTOR_ROTATION_ENTRY,2020-09-28,2,,0.6707421379784744,237.3476966863074,289.5437248870753,68804.15346767253,68804.15346767253,0.0,68.80415346767253,2.043483357989874,0.06880415346767252,0.38021175206235835,10.320623020150878,81.61727575134331,68722.53619192119,0.0,2020-09-28,2,,68804.15346767253,237.3476966863074,,NIFTY_FINANCIAL_SERVICES,1136010.3378910027,0.0,0.06049463979307108,
