rebalance_date,universe,buy_value,sell_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,transaction_cost_pct
2020-05-05,NIFTY_AUTO,333333.3333333333,0.0,0.0,333.33333333333337,9.899999999999999,0.3333333333333333,1.842,49.99999999999999,395.4086666666667,0.001186226
2020-05-05,NIFTY_METAL,333333.3333333333,0.0,0.0,333.33333333333337,9.899999999999999,0.3333333333333333,1.842,49.99999999999999,395.4086666666667,0.001186226
2020-05-05,NIFTY_PHARMA,333333.3333333333,0.0,0.0,333.33333333333337,9.899999999999999,0.3333333333333333,1.842,49.99999999999999,395.4086666666667,0.001186226
2020-06-09,NIFTY_METAL,0.0,111287.80422059473,0.0,111.28780422059474,3.3052477853516633,0.11128780422059473,0.6149764061230064,0.0,115.31931621629,0.0010362260000000001
2020-06-16,NIFTY_PHARMA,0.0,113281.20704017824,0.0,113.28120704017824,3.3644518490932938,0.11328120704017823,0.6259919501040249,0.0,117.38493204641574,0.0010362260000000001
2020-06-23,NIFTY_METAL,111172.48490437843,0.0,0.0,111.17248490437844,3.3018228016600397,0.11117248490437844,0.6143391515815952,16.675872735656764,131.8756920781812,0.0011862259999999999
2020-06-23,NIFTY_PHARMA,113163.82210813182,0.0,0.0,113.16382210813182,3.360965516611515,0.11316382210813182,0.6253432809695364,16.97457331621977,134.23786804404077,0.0011862259999999999
2020-06-25,NIFTY_PHARMA,0.0,94143.36162870366,0.0,94.14336162870366,2.7960578403724985,0.09414336162870365,0.5202362163602163,0.0,97.55379904706508,0.0010362260000000001
2020-07-03,NIFTY_METAL,0.0,120543.96592745742,0.0,120.54396592745742,3.5801557880454853,0.12054396592745742,0.6661259557151297,0.0,124.9107916371455,0.001036226
2020-07-08,NIFTY_AUTO,0.0,114794.67442451102,0.0,114.79467442451102,3.4094018304079774,0.11479467442451101,0.634355370869848,0.0,118.95322630021334,0.001036226
2020-07-22,NIFTY_AUTO,114675.7211982108,0.0,0.0,114.6757211982108,3.4058689195868608,0.11467572119821079,0.6336980353413129,17.201358179731617,136.0313220540688,0.0011862259999999999
2020-07-22,NIFTY_METAL,120419.05513582028,0.0,0.0,120.41905513582029,3.576445937533862,0.12041905513582027,0.6654356986805429,18.06285827037304,142.84421409754356,0.001186226
2020-07-22,NIFTY_PHARMA,94045.8078296566,0.0,0.0,94.0458078296566,2.793160492540801,0.09404580782965659,0.5196971340666823,14.106871174448488,111.55958243854224,0.001186226
2020-08-07,NIFTY_PHARMA,0.0,120824.99125938775,0.0,120.82499125938776,3.5885022404038165,0.12082499125938775,0.6676789016993767,0.0,125.20199739275033,0.001036226
2020-08-17,NIFTY_AUTO,0.0,113819.77458863675,0.0,113.81977458863675,3.3804473052825115,0.11381977458863675,0.6289680743768067,0.0,117.9430097428847,0.001036226
2020-08-24,NIFTY_AUTO,113701.83157889386,0.0,0.0,113.70183157889386,3.3769443978931477,0.11370183157889385,0.6283163213049675,17.05527473683408,134.87606886650494,0.0011862259999999999
2020-08-24,NIFTY_PHARMA,120699.789261995,0.0,0.0,120.69978926199501,3.5847837410812513,0.120699789261995,0.6669870354617843,18.10496838929925,143.1772282170993,0.001186226
2020-09-25,NIFTY_METAL,0.0,120518.58633647022,0.0,120.51858633647022,3.5794020141931657,0.12051858633647022,0.6659857080953344,0.0,124.8844926450952,0.001036226
2020-09-28,NIFTY_FINANCIAL_SERVICES,206412.46040301758,0.0,0.0,206.4124604030176,6.130450073969621,0.20641246040301756,1.1406352561870752,30.961869060452635,244.85182725402996,0.001186226
