date,portfolio_value,daily_return,month,year
2021-08-10,998813.774,0.0,2021-08,2021
2021-08-11,986160.9751373985,-0.012667825766889629,2021-08,2021
2021-08-12,1002708.6445919363,0.016779886724104243,2021-08,2021
2021-08-13,1003242.8044213078,0.000532716888651974,2021-08,2021
2021-08-16,998621.3231395195,-0.004606543163251486,2021-08,2021
2021-08-17,997120.7331670525,-0.0015026616573231566,2021-08,2021
2021-08-18,996196.4657987372,-0.0009269362651598279,2021-08,2021
2021-08-20,959048.6111751106,-0.0372896872243389,2021-08,2021
2021-08-23,955246.0638825477,-0.003964916114005623,2021-08,2021
2021-08-24,973969.1144261681,0.019600238359027244,2021-08,2021
2021-08-25,971228.4326249431,-0.0028139309148830227,2021-08,2021
2021-08-26,961849.4895118332,-0.009656783922358358,2021-08,2021
2021-08-27,970076.0981210935,0.00855290635277628,2021-08,2021
2021-08-30,986266.5669049122,0.016689895581570857,2021-08,2021
2021-08-31,992926.480419377,0.006752650589550768,2021-08,2021
2021-09-01,992865.1299684738,-6.178750603691441e-05,2021-09,2021
2021-09-02,1000224.4046846719,0.007412159510961747,2021-09,2021
2021-09-03,1007395.6018414114,0.007169588267545102,2021-09,2021
2021-09-06,1010609.6203503471,0.0031904234077066995,2021-09,2021
2021-09-07,997874.231321427,-0.012601689883483536,2021-09,2021
2021-09-08,995162.1468696492,-0.0027178619976852003,2021-09,2021
2021-09-09,997310.8110160297,0.002159109601524989,2021-09,2021
2021-09-13,1000917.0757157614,0.003615988776916712,2021-09,2021
2021-09-14,1004556.9974806809,0.003636586739532488,2021-09,2021
2021-09-15,1013122.326493523,0.008526473892793485,2021-09,2021
2021-09-16,1026201.2788471761,0.012909549036314472,2021-09,2021
2021-09-17,1006343.4903964709,-0.019350773439897995,2021-09,2021
2021-09-20,971272.6097860931,-0.0348498111679153,2021-09,2021
2021-09-21,990019.2341143829,0.0193010943986347,2021-09,2021
2021-09-22,1016955.0610988948,0.02720737744919388,2021-09,2021
2021-09-23,1042385.6639390076,0.02500661416900085,2021-09,2021
2021-09-24,1038716.6262609267,-0.003519846641228841,2021-09,2021
2021-09-27,1034843.9401537995,-0.003728337459146802,2021-09,2021
2021-09-28,1025303.6067329412,-0.009219103529214623,2021-09,2021
2021-09-29,1037222.7310309192,0.011624970613297148,2021-09,2021
2021-09-30,1047418.9400195526,0.009830298434068352,2021-09,2021
2021-10-01,1047424.9490168737,5.736956905755264e-06,2021-10,2021
2021-10-04,1066165.3266300044,0.017891857197712024,2021-10,2021
2021-10-05,1059667.0124761509,-0.006095034223626228,2021-10,2021
2021-10-06,1038687.6664991418,-0.019798055172054574,2021-10,2021
2021-10-07,1052875.4449809825,0.01365933084548887,2021-10,2021
2021-10-08,1056306.0460695035,0.003258316171086184,2021-10,2021
2021-10-11,1060443.1152243102,0.0039165440453556855,2021-10,2021
2021-10-12,1069914.4996670876,0.008931534663954022,2021-10,2021
2021-10-13,1077067.158513222,0.006685262091840061,2021-10,2021
2021-10-14,1091017.4255165001,0.012952086499912419,2021-10,2021
2021-10-18,1110794.3372465505,0.018127035616033016,2021-10,2021
2021-10-19,1083376.8076078082,-0.024682813658111757,2021-10,2021
2021-10-20,1075246.2922838188,-0.00750478990033232,2021-10,2021
2021-10-21,1070072.2227483853,-0.004811985470271951,2021-10,2021
2021-10-22,1064392.6444916895,-0.005307658806532056,2021-10,2021
2021-10-25,1056321.3985708496,-0.007582959129423972,2021-10,2021
2021-10-26,1080091.072755072,0.022502312474576014,2021-10,2021
2021-10-27,1084505.3767393802,0.0040869738632765,2021-10,2021
2021-10-28,1052997.4247287922,-0.029052831536269808,2021-10,2021
2021-10-29,1048696.2439868252,-0.004084702052405076,2021-10,2021
2021-11-01,1077787.107935204,0.027740028740623757,2021-11,2021
2021-11-02,1084401.4457086239,0.006136961302210642,2021-11,2021
2021-11-03,1082826.2427547672,-0.0014526013037794439,2021-11,2021
2021-11-04,1087722.647947302,0.004521875254960728,2021-11,2021
2021-11-08,1097754.771538694,0.00922305296329351,2021-11,2021
2021-11-09,1100268.6672976094,0.0022900340076790204,2021-11,2021
2021-11-10,1091648.289832736,-0.007834793192871836,2021-11,2021
2021-11-11,1068733.9742098197,-0.02099056613410455,2021-11,2021
2021-11-12,1085095.8115029642,0.01530955100893272,2021-11,2021
2021-11-15,1078511.1302063465,-0.006068294824119969,2021-11,2021
2021-11-16,1072341.2225451735,-0.005720764012878132,2021-11,2021
2021-11-17,1066229.2854988095,-0.005699619596696515,2021-11,2021
2021-11-18,1055146.7615769599,-0.010394128235433842,2021-11,2021
2021-11-22,1027852.6497974951,-0.025867597545077614,2021-11,2021
2021-11-23,1042162.4247421563,0.013922010073603941,2021-11,2021
2021-11-24,1044209.6060024428,0.001964359116855441,2021-11,2021
2021-11-25,1050128.3065483589,0.005668115397419848,2021-11,2021
2021-11-26,1015420.084934878,-0.03305141038199655,2021-11,2021
2021-11-29,1008799.2358726694,-0.006520305399152382,2021-11,2021
2021-11-30,1003599.0581432707,-0.005154819258859078,2021-11,2021
2021-12-01,1013528.0621837217,0.009893397128949433,2021-12,2021
2021-12-02,1025397.295810774,0.011710809073681716,2021-12,2021
2021-12-03,1020102.6706235274,-0.005163486590882949,2021-12,2021
2021-12-06,999529.3255545755,-0.020167916094540383,2021-12,2021
2021-12-07,1021333.406770526,0.021814348672414052,2021-12,2021
2021-12-08,1039143.5424649569,0.017438121162360654,2021-12,2021
2021-12-09,1044321.2462907834,0.0049826646793613705,2021-12,2021
