year,beginning_value,ending_value,year_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2021,3000000.0,3035300.652900101,0.011766884300033809,0.012968493864636166,0.011766884300033809,0.0,3035300.652900101,59418.73700941425,-24118.084109313088,11237159.360210098,8245703.772847822,13329.810599224582,8544.412637723006,21874.223236947593,6.494287711019308,4,41,19,22,0.4634146341463415,1.1905284508726317,0.07691249389391441
2022,3035300.652900101,3837187.5908521432,0.2641869882595891,0.264186988259588,0.2790625302840477,255177.92619454296,3582009.6646576,820332.7124003819,-42563.85855765251,12310983.118193908,12579195.934274642,14603.60826036269,13034.88988618967,27638.49814655236,8.200235132782328,5,42,27,15,0.6428571428571429,7.464180211815315,0.12745244586043059
2023,3837187.5908521432,6719213.457745645,0.7510776574395928,0.7510776574395917,1.2397378192485484,210651.0949120709,6508562.362833575,2106487.900268121,732974.1080677286,20386742.77617095,20363316.943351418,24183.28433640616,21100.998462941272,45284.28279934743,10.61977262114329,15,48,33,15,0.6875,9.160119351620011,0.06736678113025696
2024,6719213.457745645,7257599.998622132,0.08012642316874996,0.08012642316874863,1.419199999540711,0.0,7257599.998622132,1488682.9770516804,-217322.3281074639,31633867.464970704,31455811.699993268,37524.916067502345,32595.32993463723,70120.24600213955,9.389444101115238,4,73,36,37,0.4931506849315068,2.046105902738761,0.1537583623317963
2025,7257599.998622132,10629738.021318428,0.46463541988212387,0.4646354198821261,2.5432460071061427,0.0,10629738.021318428,2487777.0258521545,667038.6687366759,44608461.86948976,44654734.26615945,52915.71728959737,46272.39666968534,99188.11395928271,12.299271956651781,16,57,26,31,0.45614035087719296,3.4583620639674733,0.12724587927797537
2026,10629738.021318428,11406805.53436363,0.07310316693475949,0.07310316693476038,2.802268511454543,272025.66011985764,11134779.874243772,-270875.4232511481,1714981.605033025,27976147.24016384,28277474.754838996,33186.03323611059,29301.8545553078,62487.88779141838,5.292098627659836,13,34,14,20,0.4117647058823529,0.7745264658801385,0.24438680036113747
