decision_date,execution_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,transaction_cost,net_value,realized_pnl,rebalance_date,rank_before,rank_after,trade_value,entry_price,exit_price,notes,portfolio_value,cash_after,weight_after,weight_before
2021-08-09,2021-08-10,NIFTY50,BUY,ABREL,INITIAL_ENTRY,2021-08-10,1,,0.7530409881687232,768.5516247411038,303.24123944852073,233333.33333333334,233333.33333333334,0.0,233.33333333333334,6.930000000000001,0.23333333333333334,1.2894,35.0,276.78606666666667,233056.5472666667,0.0,2021-08-10,1,,233333.33333333334,768.5516247411038,,NIFTY50,2996441.322,0.0,0.07777777777777778,
2021-08-09,2021-08-10,NIFTY50,BUY,JSWSTEEL,INITIAL_ENTRY,2021-08-10,2,,0.7277410328729993,715.8555721139753,325.56364208835197,233333.33333333334,233333.33333333334,0.0,233.33333333333334,6.930000000000001,0.23333333333333334,1.2894,35.0,276.78606666666667,233056.5472666667,0.0,2021-08-10,2,,233333.33333333334,715.8555721139753,,NIFTY50,2996441.322,0.0,0.07777777777777778,
2021-08-09,2021-08-10,NIFTY50,BUY,BAJAJFINSV,INITIAL_ENTRY,2021-08-10,3,,0.6898720364777223,1422.9277506215703,163.78663439859247,233333.33333333334,233333.33333333334,0.0,233.33333333333334,6.930000000000001,0.23333333333333334,1.2894,35.0,276.78606666666667,233056.5472666667,0.0,2021-08-10,3,,233333.33333333334,1422.9277506215703,,NIFTY50,2996441.322,0.0,0.07777777777777778,
2021-08-09,2021-08-10,NIFTY100,BUY,ADANIENT,INITIAL_ENTRY,2021-08-10,1,,0.7373927538596754,1484.685764939077,269.09768991850893,400000.0,400000.0,0.0,400.0,11.88,0.39999999999999997,2.2104,59.99999999999999,474.49039999999997,399525.5096,0.0,2021-08-10,1,,400000.0,1484.685764939077,,NIFTY100,2996441.322,0.0,0.13333333333333333,
2021-08-09,2021-08-10,NIFTY100,BUY,BASF,INITIAL_ENTRY,2021-08-10,2,,0.6317739604867891,3643.0,109.6693685424101,400000.0,400000.0,0.0,400.0,11.88,0.39999999999999997,2.2104,59.99999999999999,474.49039999999997,399525.5096,0.0,2021-08-10,2,,400000.0,3643.0,,NIFTY100,2996441.322,0.0,0.13333333333333333,
2021-08-09,2021-08-10,NIFTY100,BUY,ARVIND,INITIAL_ENTRY,2021-08-10,4,,0.5249077834910406,97.0999984741211,4114.577918417586,400000.0,400000.0,0.0,400.0,11.88,0.39999999999999997,2.2104,59.99999999999999,474.49039999999997,399525.5096,0.0,2021-08-10,4,,400000.0,97.0999984741211,,NIFTY100,2996441.322,0.0,0.13333333333333333,
2021-08-09,2021-08-10,NIFTY200,BUY,PRAJIND,INITIAL_ENTRY,2021-08-10,1,,0.7890011268299528,374.70001220703125,319.87629830600486,120000.0,120000.0,0.0,120.0,3.564,0.12,0.66312,18.0,142.34712000000002,119857.65288,0.0,2021-08-10,1,,120000.0,374.70001220703125,,NIFTY200,2996441.322,0.0,0.039999999999999994,
2021-08-09,2021-08-10,NIFTY200,BUY,DEEPAKFERT,INITIAL_ENTRY,2021-08-10,2,,0.7209390706005374,442.8936285902709,270.62401701624503,120000.0,120000.0,0.0,120.0,3.564,0.12,0.66312,18.0,142.34712000000002,119857.65288,0.0,2021-08-10,2,,120000.0,442.8936285902709,,NIFTY200,2996441.322,0.0,0.039999999999999994,
2021-08-09,2021-08-10,NIFTY200,BUY,DALMIASUG,INITIAL_ENTRY,2021-08-10,4,,0.6688026203845319,419.0,286.0564507875895,120000.0,120000.0,0.0,120.0,3.564,0.12,0.66312,18.0,142.34712000000002,119857.65288,0.0,2021-08-10,4,,120000.0,419.0,,NIFTY200,2996441.322,0.0,0.039999999999999994,
2021-08-09,2021-08-10,NIFTY200,BUY,JSL,INITIAL_ENTRY,2021-08-10,6,,0.578340449408732,157.3292835073506,761.8267255021225,120000.0,120000.0,0.0,120.0,3.564,0.12,0.66312,18.0,142.34712000000002,119857.65288,0.0,2021-08-10,6,,120000.0,157.3292835073506,,NIFTY200,2996441.322,0.0,0.039999999999999994,
2021-08-09,2021-08-10,NIFTY200,BUY,COFORGE,INITIAL_ENTRY,2021-08-10,7,,0.5537019508741089,911.7176762846781,131.46356158019162,120000.0,120000.0,0.0,120.0,3.564,0.12,0.66312,18.0,142.34712000000002,119857.65288,0.0,2021-08-10,7,,120000.0,911.7176762846781,,NIFTY200,2996441.322,0.0,0.039999999999999994,
2021-08-09,2021-08-10,NIFTY500,BUY,ELECON,INITIAL_ENTRY,2021-08-10,1,,0.7930055058051981,73.55068942387332,1357.9937616136087,100000.0,100000.0,0.0,100.0,2.97,0.09999999999999999,0.5526,14.999999999999998,118.62259999999999,99881.3774,0.0,2021-08-10,1,,100000.0,73.55068942387332,,NIFTY500,2996441.322,0.0,0.03333333333333333,
2021-08-09,2021-08-10,NIFTY500,BUY,FLUOROCHEM,INITIAL_ENTRY,2021-08-10,2,,0.6977993046926864,1713.1200988127257,58.30378002641063,100000.0,100000.0,0.0,100.0,2.97,0.09999999999999999,0.5526,14.999999999999998,118.62259999999999,99881.3774,0.0,2021-08-10,2,,100000.0,1713.1200988127257,,NIFTY500,2996441.322,0.0,0.03333333333333333,
2021-08-09,2021-08-10,NIFTY500,BUY,POONAWALLA,INITIAL_ENTRY,2021-08-10,4,,0.6635211011908252,173.051956893118,577.1756598030827,100000.0,100000.0,0.0,100.0,2.97,0.09999999999999999,0.5526,14.999999999999998,118.62259999999999,99881.3774,0.0,2021-08-10,4,,100000.0,173.051956893118,,NIFTY500,2996441.322,0.0,0.03333333333333333,
2021-08-09,2021-08-10,NIFTY500,BUY,RSWM,INITIAL_ENTRY,2021-08-10,5,,0.6428348345071289,258.2685546875,386.73456596702044,100000.0,100000.0,0.0,100.0,2.97,0.09999999999999999,0.5526,14.999999999999998,118.62259999999999,99881.3774,0.0,2021-08-10,5,,100000.0,258.2685546875,,NIFTY500,2996441.322,0.0,0.03333333333333333,
2021-08-09,2021-08-10,NIFTY500,BUY,GOKEX,INITIAL_ENTRY,2021-08-10,6,,0.6391798521465777,223.0,447.8985533632287,100000.0,100000.0,0.0,100.0,2.97,0.09999999999999999,0.5526,14.999999999999998,118.62259999999999,99881.3774,0.0,2021-08-10,6,,100000.0,223.0,,NIFTY500,2996441.322,0.0,0.03333333333333333,
