rebalance_date,universe,buy_value,sell_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,transaction_cost_pct
2021-08-10,NIFTY100,1200000.0,0.0,0.0,1200.0,35.64,1.2,6.6312,179.99999999999997,1423.4712,0.0011862259999999999
2021-08-10,NIFTY200,600000.0,0.0,0.0,600.0,17.82,0.6,3.3156000000000003,90.0,711.7356000000001,0.001186226
2021-08-10,NIFTY50,700000.0,0.0,0.0,700.0,20.790000000000003,0.7,3.8682000000000003,105.0,830.3582,0.001186226
2021-08-10,NIFTY500,500000.0,0.0,0.0,500.0,14.850000000000001,0.49999999999999994,2.763,74.99999999999999,593.1129999999999,0.0011862259999999999
2021-08-18,NIFTY100,0.0,386976.0657838693,0.0,386.97606578386933,11.493189153780918,0.3869760657838693,2.1384297395216616,0.0,400.9946607429558,0.0010362260000000001
2021-08-23,NIFTY50,0.0,212921.9999665021,0.0,212.9219999665021,6.323783399005112,0.2129219999665021,1.1766069718148906,0.0,220.63531233728864,0.0010362260000000001
2021-08-24,NIFTY100,386575.07112312637,0.0,0.0,386.5750711231264,11.481279612356854,0.38657507112312633,2.1362138430263964,57.98626066846895,458.5654003181017,0.001186226
2021-08-24,NIFTY200,112886.20869086111,113003.305654266,0.0,225.8895143451271,6.708918576050276,0.2258895143451271,1.2482654562711724,16.932931303629164,251.00551919542283,0.0011111871213814824
2021-08-24,NIFTY50,212701.36465416482,0.0,0.0,212.70136465416482,6.317230530228695,0.2127013646541648,1.1753877410789146,31.90520469812472,252.3118889882513,0.0011862259999999999
2021-08-27,NIFTY500,0.0,76906.18355177487,0.0,76.90618355177487,2.2841136514877136,0.07690618355177486,0.4249835703071079,0.0,79.69218695712146,0.001036226
2021-09-02,NIFTY200,0.0,115487.6400392937,0.0,115.48764003929371,3.4299829091670233,0.1154876400392937,0.638184698857137,0.0,119.67129528735715,0.001036226
2021-09-08,NIFTY100,0.0,377783.55728646717,0.0,377.78355728646716,11.220171651408075,0.3777835572864672,2.087631937565017,0.0,391.4691444327267,0.001036226
2021-09-09,NIFTY100,0.0,394937.4251838241,0.0,394.9374251838241,11.729641527959576,0.3949374251838241,2.182424211565812,0.0,409.2444283485333,0.001036226
2021-09-15,NIFTY200,0.0,107014.19099053653,0.0,107.01419099053653,3.178321472418935,0.10701419099053652,0.5913604194137049,0.0,110.8908870733597,0.001036226
2021-09-22,NIFTY100,771920.2688975099,0.0,0.0,771.9202688975099,22.926031986256046,0.7719202688975099,4.26563140592764,115.78804033462647,915.6718928932174,0.0011862259999999999
