date,portfolio_value,daily_return,month,year
2021-08-10,2996441.322,0.0,2021-08,2021
2021-08-11,2936586.637178585,-0.019975256776082917,2021-08,2021
2021-08-12,2978851.220498158,0.014392418321490519,2021-08,2021
2021-08-13,2966777.0144044487,-0.004053309547863315,2021-08,2021
2021-08-16,2969529.6055110954,0.0009278051883516714,2021-08,2021
2021-08-17,2958936.368621139,-0.003567311425451636,2021-08,2021
2021-08-18,2941869.278385993,-0.005767981500426456,2021-08,2021
2021-08-20,2878048.3606689638,-0.021694001900738336,2021-08,2021
2021-08-23,2819890.7143980325,-0.020207320719730082,2021-08,2021
2021-08-24,2908952.033442966,0.03158325199987244,2021-08,2021
2021-08-25,2916098.08868655,0.0024565737631383477,2021-08,2021
2021-08-26,2909480.7956011374,-0.002269228566448178,2021-08,2021
2021-08-27,2924093.440737689,0.005022423642955243,2021-08,2021
2021-08-30,2958959.064697307,0.011923566967416255,2021-08,2021
2021-08-31,2995204.5299877897,0.01224939733804331,2021-08,2021
2021-09-01,2992299.687540473,-0.0009698310810609678,2021-09,2021
2021-09-02,3008789.000907417,0.005510582190548341,2021-09,2021
2021-09-03,3021690.5469952184,0.00428795308807306,2021-09,2021
2021-09-06,3023670.8883532938,0.0006553753030880127,2021-09,2021
2021-09-07,2997794.088917491,-0.008558074073298116,2021-09,2021
2021-09-08,2989000.086918181,-0.0029334910065440534,2021-09,2021
2021-09-09,2993773.314492264,0.0015969312262564817,2021-09,2021
2021-09-13,3000021.9320651256,0.0020872046465953975,2021-09,2021
2021-09-14,2992318.7976838546,-0.0025676926888225093,2021-09,2021
2021-09-15,2998386.0585143142,0.002027611775575533,2021-09,2021
2021-09-16,2986962.2228346253,-0.0038099949295219426,2021-09,2021
2021-09-17,2980528.5360374646,-0.002153923055329132,2021-09,2021
2021-09-20,2939706.0510890787,-0.013696391245647477,2021-09,2021
2021-09-21,2963307.9231693326,0.008028650371866286,2021-09,2021
2021-09-22,3000773.8390255175,0.012643274619977385,2021-09,2021
