year,beginning_value,ending_value,year_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2021,1000000.0,1008395.8240263585,0.008395824026358634,0.00959343000245716,0.008395824026358634,1008395.8240263585,0.0,8395.824026358692,0.0,3230681.558212607,3242437.280051925,3832.3184620723086,3359.8978129590864,7192.216275031396,6.4731188382645355,0,50,22,28,0.44,1.1030211466667463,0.08641033536124954
2022,1008395.8240263585,1114260.003326097,0.1049827624999875,0.10498276249998639,0.11426000332609698,1114260.003326097,0.0,105864.17929973817,0.0,3842937.5040627895,3952897.7788162795,4558.592383694386,4096.095453751678,8654.687837446061,7.730927773730341,0,57,31,26,0.543859649122807,2.2669587665489397,0.13737287848497526
2023,1114260.003326097,1376449.9124951223,0.23530406582519436,0.23530406582519414,0.3764499124951224,122084.58305265698,1254365.3294424652,127047.50509556223,135142.40407346303,7381285.294719499,6395737.303729352,8755.87253001393,6627.429283294251,15383.301813308182,12.364279932263615,14,81,37,44,0.4567901234567901,2.0331166826442515,0.056911213904300983
2024,1376449.9124951223,1505735.8182132365,0.0939270688635192,0.09392706886351854,0.5057358182132365,1505735.8182132365,0.0,264428.30979157717,0.0,4781831.110790387,6171877.8062025765,5672.332391228438,6395.460251610071,12067.79264283851,7.957942252425973,0,68,33,35,0.4852941176470588,2.037949284567332,0.17777904531951116
2025,1505735.8182132365,1559182.1975775934,0.035495190270347976,0.03549519027034731,0.5591821975775935,0.0,1559182.1975775934,-93954.45440625012,147400.83377060707,5523857.760668993,4022289.9438751373,6552.543696007336,4168.001419381959,10720.545115389294,6.339855630101137,15,41,16,25,0.3902439024390244,0.47212332839010834,0.09793043835542337
2026,1559182.1975775934,1633987.193747733,0.04797707175361521,0.04797707175361543,0.633987193747733,352139.2943466351,1281847.899401098,47066.686287237484,175139.1436535092,3612981.7577390173,3969234.0756349107,4285.812898555723,4113.023549258862,8398.836447814583,4.8629440774490345,12,39,17,22,0.4358974358974359,1.3494454723617053,0.07385186619998896
