date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2021-08-23,2021-08-24,NIFTY500,ATGL,22,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,7,5,2021,2021-08-23,7
2021-08-23,2021-08-24,NIFTY500,DALMIASUG,23,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ZENSARTECH,24,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BSOFT,25,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RSWM,26,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,1,5,2021,2021-08-23,1
2021-08-23,2021-08-24,NIFTY500,LINDEINDIA,27,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CDSL,32,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BASF,36,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ABREL,39,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,KSB,42,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BEML,43,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,APLAPOLLO,44,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,KNRCON,48,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,PUNJABCHEM,49,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,HIMATSEIDE,51,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,VTL,52,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NAHARPOLY,56,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,1,5,2021,2021-08-23,1
2021-08-23,2021-08-24,NIFTY500,GRINDWELL,57,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,HERITGFOOD,60,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TRIDENT,61,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ORIENTCEM,70,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,KMSUGAR,71,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,2,5,2021,2021-08-23,2
2021-08-23,2021-08-24,NIFTY500,GALAXYSURF,73,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,JINDALSAW,74,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,HEG,75,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BSE,80,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CGCL,85,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GHCL,86,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RATNAMANI,87,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,UNOMINDA,89,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,KAJARIACER,93,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SOLARINDS,96,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ROSSARI,97,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CHAMBLFERT,99,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,JBCHEPHARM,100,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,JKPAPER,101,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SKFINDIA,102,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ALLCARGO,104,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,JSL,108,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,IIFL,110,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NILKAMAL,111,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CERA,112,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BIRLACORPN,117,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SFL,120,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,POLYMED,125,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,KEI,127,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,DHAMPURSUG,132,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,IBREALEST,135,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ERIS,137,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TEAMLEASE,138,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NAM-INDIA,140,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,THERMAX,142,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ORIENTELEC,144,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,PATANJALI,145,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,1,5,2021,2021-08-23,1
2021-08-23,2021-08-24,NIFTY500,ADANIENSOL,151,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,3,5,2021,2021-08-23,3
2021-08-23,2021-08-24,NIFTY500,ASTERDM,152,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,PDMJEPAPER,153,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ICRA,154,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,QUESS,156,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,DCW,157,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
