month,beginning_value,ending_value,month_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown,annualized_volatility,sharpe_ratio,cash_value,stock_value,gold_value
2021-08,1000000.0,1030069.522680009,0.030069522680008953,0.03129286909494411,0.030069522680008953,340200.022671766,689869.500008243,-15267.783174516997,45337.30585452602,1534878.8617534167,875986.6045204386,1820.7132126623092,907.720095255796,2728.4333079181038,2.410865466273855,10,13,3,10,0.23076923076923078,0.2508635560829689,0.019777453479355,0.15149236793261733,3.4961417218535655,340200.022671766,689869.500008243,0
2021-09,1030069.522680009,1016733.9891214735,-0.012946246117290672,-0.012946246117290117,0.016733989121473503,233215.88232883334,783518.1067926402,-14305.02427217039,46306.79656816089,482347.99033678044,375753.2152450683,572.1737271852378,389.3652512205362,961.538978405774,0.8330517374684211,11,7,3,4,0.42857142857142855,0.1363639572170841,0.03588597921044512,0.1355122608956016,-1.0858073977490952,233215.88232883334,783518.1067926402,0
2021-10,1016733.9891214735,1000695.9121944787,-0.015774113090143427,-0.015774113090142983,0.0006959121944787316,366442.08350134816,634253.8286931305,-15239.839106745974,45508.55874791204,733977.3683028279,868103.1204994855,870.6630376923904,899.5510241426998,1770.2140618350902,1.5757125324261252,9,13,5,8,0.38461538461538464,0.5460751963553648,0.08641033536124954,0.23538177455620277,-0.7319575591988267,366442.08350134816,634253.8286931305,0
2021-11,1000695.9121944787,1008395.8240263585,0.0076945570957658305,0.007694557095765608,0.008395824026358634,1008395.8240263585,0.0,53208.470579792054,0.0,479477.3378195828,1122594.3397869335,568.7684845323724,1163.261442340055,1732.0299268724275,1.600957551723429,0,17,11,6,0.6470588235294118,5.846648308283999,0.03834534042615356,0.13596340124130382,0.7788431765470414,1008395.8240263585,0.0,0
2021-12,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-01,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-02,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-03,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-04,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-05,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-06,1008395.8240263585,1008395.8240263585,0.0,0.0,0.008395824026358634,1008395.8240263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1008395.8240263585,0.0,0
2022-07,1008395.8240263585,1015353.2899560656,0.006899538617610501,0.006899538617610501,0.015353289956065552,345385.06306968967,669968.2268863759,-7770.437061526376,14727.90299123332,1008395.8240263584,345743.33129890816,1196.1853447514914,358.2682292185424,1554.4535739700334,1.3428646996160811,10,5,2,3,0.4,0.22964884211785488,0.005747363972813946,0.031102790658563494,2.668783350527824,345385.06306968967,669968.2268863759,0
2022-08,1015353.2899560656,1118962.8600187525,0.10204287619649133,0.10204287619649155,0.11896286001875245,204389.85462797855,914573.0053907742,6480.480260201555,111856.9927937189,498320.1490957348,357695.5941287453,591.1203171812372,370.6534747216533,961.7737919028905,0.8430718171618077,12,5,5,0,1.0,0.0,0.00871346972031617,0.10997504427654006,11.213959802524746,204389.85462797855,914573.0053907742,0
2022-09,1118962.8600187525,1120250.253651271,0.0011505240062186228,0.0011505240062181787,0.12025025365127107,105465.9811447323,1014784.2725065388,21656.069980277643,91488.31644595957,527932.3408225793,429453.4781992336,626.247068924605,445.010859900479,1071.257928825084,0.8556010688377701,13,7,6,1,0.8571428571428571,20.192295441360987,0.06050572951188016,0.17616885720498268,0.16409939889504302,105465.9811447323,1014784.2725065388,0
2022-10,1120250.253651271,1109379.1812511003,-0.009704146341175446,-0.009704146341175002,0.10937918125110024,327616.99816755066,781762.1830835498,24273.20397074311,56344.04007504572,631015.8433272676,854051.8510835269,748.5273997667314,884.9907334408786,1633.5181332076097,1.3256570927526778,10,12,6,6,0.5,2.038493836187633,0.026252080174905434,0.18404951140531875,-0.6096513661896341,327616.99816755066,781762.1830835498,0
2022-11,1109379.1812511003,1134456.7947538756,0.02260508753598023,0.02260508753598045,0.1344567947538755,208557.3831649939,925899.4115888816,3415.596316387033,78006.0572614338,754677.2405883151,636276.9523069396,895.2177643941146,659.3267211812108,1554.5444855753256,1.2538131383776363,11,10,3,7,0.3,1.2205368245718022,0.016794831541280253,0.09099357820927861,2.9945646294157364,208557.3831649939,925899.4115888816,0
2022-12,1134456.7947538756,1114260.003326097,-0.01780305034195706,-0.01780305034195706,0.11426000332609698,1114260.003326097,0.0,57809.265833655205,0.0,422596.1062025339,1329676.571798926,501.2944886762071,1377.8454352889134,1879.1399239651207,1.5445918135486347,0,18,9,9,0.5,2.7266109879165326,0.13737287848497526,0.3837273218307907,-0.34187565389395536,1114260.003326097,0.0,0
2023-01,1114260.003326097,1114260.003326097,0.0,0.0,0.11426000332609698,1114260.003326097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1114260.003326097,0.0,0
2023-02,1114260.003326097,1114260.003326097,0.0,0.0,0.11426000332609698,1114260.003326097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1114260.003326097,0.0,0
2023-03,1114260.003326097,1114260.003326097,0.0,0.0,0.11426000332609698,1114260.003326097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1114260.003326097,0.0,0
2023-04,1114260.003326097,1114260.003326097,0.0,0.0,0.11426000332609698,1114260.003326097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,1114260.003326097,0.0,0
