rebalance_date,universe,buy_value,sell_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,transaction_cost_pct
2021-08-10,NIFTY100,500000.0,0.0,0.0,500.0,14.850000000000001,0.49999999999999994,2.763,74.99999999999999,593.1129999999999,0.0011862259999999999
2021-08-10,NIFTY500,500000.0,0.0,0.0,500.0,14.850000000000001,0.49999999999999994,2.763,74.99999999999999,593.1129999999999,0.0011862259999999999
2021-08-11,NIFTY100,0.0,200340.12815545534,0.0,200.34012815545532,5.950101806217024,0.20034012815545532,1.1070795481870461,0.0,207.59764963801484,0.001036226
2021-08-11,NIFTY500,0.0,97973.39670354562,0.0,97.97339670354563,2.909809882095305,0.09797339670354561,0.5414009901837931,0.0,101.52258097252826,0.0010362260000000001
2021-08-13,NIFTY500,0.0,49144.14475367167,0.0,49.144144753671675,1.4595810991840488,0.049144144753671674,0.27157054390878965,0.0,50.92444054151818,0.001036226
2021-08-16,NIFTY500,0.0,49277.30661152172,0.0,49.27730661152172,1.4635360063621952,0.04927730661152172,0.27230639633526904,0.0,51.06242632083071,0.0010362260000000001
2021-08-18,NIFTY500,0.0,47446.43014228811,0.0,47.446430142288115,1.409158975225957,0.04744643014228811,0.26218897296628413,0.0,49.165224520622644,0.0010362260000000001
2021-08-23,NIFTY100,0.0,91252.28569992946,0.0,91.25228569992946,2.710192885287905,0.09125228569992945,0.5042601307778102,0.0,94.5579910016951,0.001036226
2021-08-24,NIFTY100,291290.2582147451,0.0,0.0,291.2902582147451,8.65132066897793,0.2912902582147451,1.6096699668946812,43.69353873221176,345.53607784104423,0.001186226
2021-08-24,NIFTY500,243588.60353867162,0.0,0.0,243.58860353867163,7.234581525098548,0.24358860353867162,1.3460706231546995,36.538290530800744,288.9511348212643,0.001186226
2021-08-25,NIFTY100,0.0,96103.24627360092,0.0,96.10324627360092,2.8542664143259473,0.09610324627360091,0.5310665389079187,0.0,99.58468247310839,0.0010362260000000001
2021-08-25,NIFTY500,0.0,145711.82435596164,0.0,145.71182435596162,4.3276411833720605,0.1457118243559616,0.8052035413910439,0.0,150.9903809050807,0.0010362260000000001
2021-08-31,NIFTY100,0.0,98737.84182446405,0.0,98.73784182446406,2.9325139021865825,0.09873784182446405,0.5456253139219884,0.0,102.31471888239709,0.0010362260000000001
2021-09-03,NIFTY500,0.0,49928.558690242164,0.0,49.92855869024216,1.4828781931001922,0.04992855869024216,0.2759052153222782,0.0,51.73727065735487,0.001036226
2021-09-06,NIFTY500,0.0,46663.34511742114,0.0,46.66334511742114,1.3859013499874078,0.04666334511742114,0.2578616451188692,0.0,48.35377145764484,0.0010362260000000001
2021-09-21,NIFTY500,0.0,45703.51406903591,0.0,45.70351406903591,1.3573943678503666,0.04570351406903591,0.25255761874549243,0.0,47.35916956970081,0.0010362260000000001
2021-09-22,NIFTY100,194639.18869670946,0.0,0.0,194.63918869670945,5.780783904292271,0.19463918869670946,1.0755761567380164,29.195878304506415,230.88606625094283,0.0011862259999999999
2021-09-22,NIFTY500,287708.80164007103,0.0,0.0,287.70880164007104,8.544951408710109,0.287708801640071,1.5898788378630324,43.15632024601065,341.28766093429493,0.001186226
2021-09-23,NIFTY500,0.0,97103.14817162664,0.0,97.10314817162664,2.883963500697311,0.09710314817162663,0.5365919967964088,0.0,100.62080681729199,0.0010362260000000001
2021-09-24,NIFTY500,0.0,47601.42159704783,0.0,47.60142159704783,1.4137622214323207,0.04760142159704783,0.2630454557452863,0.0,49.32583069582249,0.0010362260000000001
2021-09-28,NIFTY100,0.0,88753.22759969466,0.0,88.75322759969465,2.6359708597109313,0.08875322759969465,0.4904503357159127,0.0,91.9684020227212,0.001036226
2021-10-01,NIFTY100,0.0,92445.65141117797,0.0,92.44565141117798,2.7456358469119855,0.09244565141117797,0.5108546696981694,0.0,95.79458757919932,0.0010362260000000001
2021-10-04,NIFTY500,0.0,55261.38826940734,0.0,55.26138826940734,1.641263231601398,0.05526138826940734,0.30537443157674493,0.0,57.26328732085489,0.0010362260000000001
2021-10-08,NIFTY100,0.0,103902.14275797187,0.0,103.90214275797187,3.0858936399117645,0.10390214275797187,0.5741632408805525,0.0,107.66610178152216,0.001036226
2021-10-11,NIFTY500,0.0,48735.06166029898,0.0,48.73506166029898,1.4474313313108798,0.04873506166029898,0.2693099507348122,0.0,50.50053800400498,0.0010362260000000001
2021-10-20,NIFTY500,0.0,44853.396875231294,0.0,44.8533968752313,1.3321458871943694,0.044853396875231294,0.24785987113252814,0.0,46.47825603043343,0.0010362260000000001
2021-10-21,NIFTY100,0.0,100499.48985455759,0.0,100.49948985455758,2.9848348486803604,0.10049948985455757,0.5553601809362853,0.0,104.14018437402879,0.0010362260000000001
2021-10-22,NIFTY100,385200.9423476446,0.0,0.0,385.2009423476446,11.440467987725045,0.38520094234764457,2.128620407413084,57.780141352146686,456.93537303727715,0.0011862260000000003
2021-10-22,NIFTY500,348776.4259551833,55583.7954744889,0.0,404.36022142967215,12.009498576461263,0.40436022142967215,2.2344945836203682,52.316463893277486,471.32503870446095,0.001165606836988132
2021-10-25,NIFTY500,0.0,47733.8118708272,0.0,47.7338118708272,1.4176942125635679,0.047733811870827196,0.2637770443981911,0.0,49.46301693965979,0.001036226
2021-10-26,NIFTY500,0.0,45958.39961713642,0.0,45.95839961713642,1.3649644686289517,0.045958399617136415,0.2539661162842959,0.0,47.62328860166681,0.0010362260000000001
