year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,74,25,0,22264.656900430797,-16242.540678667137,0.0,6022.116221763659,3.697148324698105,-2.697148324698105,0.0
2022,77,171,0,54395.7116170458,108616.6244392402,0.0,163012.336056286,0.33369076803036357,0.6663092319696364,0.0
2023,185,60,0,423292.5758967858,44089.901274949545,0.0,467382.4771717354,0.9056663366120397,0.09433366338796034,0.0
2024,202,44,0,-177796.1413466367,-45127.32679911237,0.0,-222923.46814574907,0.7975658320118734,0.20243416798812666,-0.0
2025,135,114,0,71814.34207551251,673842.37474266,0.0,745656.7168181725,0.09631019268753446,0.9036898073124655,0.0
2026,16,131,0,-74876.2162847356,-134773.18624191824,0.0,-209649.40252665384,0.357149676471013,0.642850323528987,-0.0
