date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2023-11-21,2023-11-22,NIFTY_OIL_GAS,ATGL,13,LOWER_CIRCUIT_FILTER,2022-11-16,2023-11-21,7,5,2023,2023-11-21,7
2023-12-21,2023-12-22,NIFTY_OIL_GAS,ATGL,7,LOWER_CIRCUIT_FILTER,2022-12-15,2023-12-21,7,5,2023,2023-12-21,7
2024-01-23,2024-01-24,NIFTY_OIL_GAS,ATGL,7,LOWER_CIRCUIT_FILTER,2023-01-13,2024-01-23,7,5,2024,2024-01-23,7
2024-02-21,2024-02-22,NIFTY_OIL_GAS,ATGL,8,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,7,5,2024,2024-02-21,7
2025-06-23,2025-06-24,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-06-19,2025-06-23,7,5,2025,2025-06-23,7
2025-07-21,2025-07-22,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-07-18,2025-07-21,7,5,2025,2025-07-21,7
2025-08-21,2025-08-22,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-08-20,2025-08-21,7,5,2025,2025-08-21,7
2025-09-22,2025-09-23,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-09-18,2025-09-22,7,5,2025,2025-09-22,7
2025-10-21,2025-10-23,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-10-17,2025-10-21,7,5,2025,2025-10-21,7
2025-11-21,2025-11-24,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-11-18,2025-11-21,7,5,2025,2025-11-21,7
2025-12-22,2025-12-23,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2024-12-18,2025-12-22,7,5,2025,2025-12-22,7
2026-01-21,2026-01-22,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2025-01-17,2026-01-21,7,5,2026,2026-01-21,7
2026-02-23,2026-02-24,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2025-02-17,2026-02-23,7,5,2026,2026-02-23,7
2026-03-23,2026-03-24,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2025-03-18,2026-03-23,7,5,2026,2026-03-23,7
2026-04-21,2026-04-22,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2025-04-15,2026-04-21,7,5,2026,2026-04-21,7
2026-05-21,2026-05-22,NIFTY_MEDIA,DISHTV,6,LOWER_CIRCUIT_FILTER,2025-05-19,2026-05-21,7,5,2026,2026-05-21,7
