month,beginning_value,ending_value,month_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown,annualized_volatility,sharpe_ratio,cash_value,stock_value,gold_value
2020-05,1000000.0,1007714.5879153819,0.007714587915381932,0.00771458791538171,0.007714587915381932,842105.2631578947,165609.32475748716,0.0,7714.587915381937,157894.73684210525,0.0,187.29884210526313,0.0,187.29884210526313,0.15789473684210525,9,0,0,0,0.0,0.0,0.00018729884210533232,0.017676686023627743,6.096650846443368,842105.2631578947,165609.32475748716,0
2020-06,1007714.5879153819,1009264.0911296887,0.0015376409480309938,0.0015376409480307718,0.009264091129688623,631578.947368421,377685.14376126765,0.0,9264.091129688717,210526.31578947368,0.0,249.7317894736842,0.0,249.7317894736842,0.20891462554390614,20,0,0,0,0.0,0.0,0.008504578173165855,0.051223462257901274,0.36920634314055895,631578.947368421,377685.14376126765,0
2020-07,1009264.0911296887,1019332.7371495292,0.00997622535898457,0.009976225358985014,0.0193327371495291,421052.63157894736,598280.1055705817,0.0,19332.737149529214,210526.31578947368,0.0,249.7317894736842,0.0,249.7317894736842,0.20859388304782303,32,0,0,0,0.0,0.0,0.011242361237191356,0.050548533797014336,2.1774066964608676,421052.6315789473,598280.1055705819,0
2020-08,1019332.7371495292,1042847.1430023619,0.023068429959964387,0.023068429959964387,0.04284714300236181,421052.63157894736,621794.5114234146,0.0,42847.143002361976,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,0,0.0,0.0,0.019176691583413175,0.0988852902631186,2.8188625629314528,421052.6315789473,621794.5114234146,0
2020-09,1042847.1430023619,1027506.1473736566,-0.014710684812865749,-0.01471068481286597,0.027506147373656642,637968.6168152342,389537.53055842244,6389.669446813172,21116.477926843498,0.0,217140.992378255,0.0,225.00714196814965,225.00714196814965,0.20821938654701116,21,11,5,6,0.45454545454545453,1.4531690533710577,0.04770022405643559,0.12673992264598535,-1.275384937244371,637968.6168152342,389537.53055842244,0
2020-10,1027506.1473736566,1042042.0977626364,0.014146825715966926,0.014146825715966704,0.04204209776263634,637968.6168152342,404073.4809474022,0.0,35652.4283158233,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0.0,0.0,0.009880121649902818,0.06167367097007011,2.7650953846237796,637968.6168152342,404073.48094740225,0
2020-11,1042042.0977626364,1094201.4109221413,0.050054900153742254,0.0500549001537427,0.09420141092214118,530826.6819465329,563374.7289756084,0.0,87811.74147532806,107141.93486870131,0.0,127.09454883156012,0.0,127.09454883156012,0.10281920001000464,27,0,0,0,0.0,0.0,0.007305400676692164,0.057737724432597524,11.2631156619018,530826.6819465329,563374.7289756084,0
2020-12,1094201.4109221413,1147254.305089849,0.048485492376579176,0.04848549237657873,0.14725430508984916,421052.63157894736,726201.6735109016,0.0,140864.6356430358,109774.05036758551,0.0,130.2168326713395,0.0,130.2168326713395,0.10032344070464425,32,0,0,0,0.0,0.0,0.02384905659607539,0.10320551800606391,5.312537465081188,421052.6315789473,726201.6735109014,0
2021-01,1147254.305089849,1144697.9749849194,-0.0022282157439622585,-0.0022282157439623695,0.14469797498491932,421052.63157894736,723645.343405972,0.0,138308.30553810633,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,0,0.0,0.0,0.04410196726097493,0.12924080998572135,-0.16433334255493326,421052.6315789473,723645.343405972,0
2021-02,1144697.9749849194,1186440.1778871391,0.036465691225469055,0.036465691225469055,0.18644017788713918,560121.4867796843,626318.6911074547,40082.23490680025,139968.27353352573,70758.04269104623,210044.55151722368,83.935029949229,217.65362544048662,301.58865538971565,0.24530714681483495,26,9,8,1,0.8888888888888888,25.636214209574884,0.019672251059713042,0.1266674598511819,3.629123055733821,560121.4867796843,626318.6911074547,0
2021-03,1186440.1778871391,1169872.7221865251,-0.013964004261991514,-0.013964004261990848,0.16987272218652505,799342.2418899245,370530.4802966007,44949.435836191,78451.38199672077,73397.46793564167,312942.50220316974,87.06598479942448,324.2791572879818,411.34514208740626,0.3256295406539766,15,14,12,2,0.8571428571428571,22.41190113378471,0.047070162474737165,0.10136883039106025,-1.613334029760847,799342.2418899245,370530.48029660067,0
2021-04,1169872.7221865251,1160370.6010626282,-0.00812235463199551,-0.008122354631995732,0.16037060106262824,863983.3483930273,296387.25266960094,16423.727025923574,52525.5338469003,117832.67193969055,182663.0586534096,139.77617910433136,189.28021061618804,329.05638972051946,0.25686190035396766,12,9,5,4,0.5555555555555556,2.2378701636633145,0.023706743928533114,0.08879560772494521,-1.1731351381517896,863983.3483930273,296387.25266960094,0
2021-05,1160370.6010626282,1173767.5735195938,0.011545425612039084,0.011545425612039306,0.17376757351959382,810938.7516330094,362828.8218865844,0.0,65922.50630386583,53044.596760017936,0.0,62.92287983624903,0.0,62.92287983624903,0.04571349593952267,15,0,0,0,0.0,0.0,0.0077938424494372605,0.04124559814263184,3.5284055459438015,810938.7516330094,362828.8218865844,0
2021-06,1173767.5735195938,1196289.831538662,0.019188004957007232,0.019188004957006788,0.19628983153866209,609110.6437284077,587179.1878102543,0.0,88444.76432293408,201828.10790460173,0.0,239.4137491272441,0.0,239.4137491272441,0.17194895519170908,23,0,0,0,0.0,0.0,0.007655858891189138,0.04438266551520567,4.92952950850187,609110.6437284077,587179.1878102543,0
