universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,555,0.058772053334073426,0.026270066236764977
NIFTY_AUTO,Stocks,989,1.5174444513585175,0.2652190338423013
NIFTY_BANK,Cash,737,-0.08986100779803541,-0.03168237524889406
NIFTY_BANK,Stocks,807,1.3451075798339098,0.3049379499801008
NIFTY_CHEMICALS,Cash,1488,-0.0022270425855164255,-0.0003775097638785141
NIFTY_CHEMICALS,Stocks,56,0.1351770064379214,0.7692374987864667
NIFTY_CONSUMER_DURABLES,Cash,853,0.0045637270784066875,0.0013460902817954423
NIFTY_CONSUMER_DURABLES,Stocks,691,0.31915891207596814,0.10629517343407224
NIFTY_FINANCIAL_SERVICES,Cash,699,-0.14043147340845852,-0.05309341892192321
NIFTY_FINANCIAL_SERVICES,Stocks,845,0.6645693083936355,0.1641199212499067
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,1260,0.0440879343900169,0.008666077760052238
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,284,-0.274243141721742,-0.2475517215042603
NIFTY_FMCG,Cash,695,0.004877314266389821,0.001765723377779027
NIFTY_FMCG,Stocks,849,0.2554182776169869,0.06984870659221531
NIFTY_HEALTHCARE,Cash,663,-0.01057807855598103,-0.0040338854992996165
NIFTY_HEALTHCARE,Stocks,881,1.446720420000589,0.2916656775652047
NIFTY_IT,Cash,628,-0.06735153011252815,-0.027591789803330657
NIFTY_IT,Stocks,916,1.6747636253224711,0.31084135493265186
NIFTY_MEDIA,Cash,855,0.06022755569812155,0.017386678722622895
NIFTY_MEDIA,Stocks,689,-0.4030531898522719,-0.17196436384306046
NIFTY_METAL,Cash,515,0.12004744529776068,0.05704234163249189
NIFTY_METAL,Stocks,1029,3.974352456675528,0.48125339971323555
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1293,-0.05586713747872152,-0.011141697911869808
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,251,0.12293570519267893,0.12345455162037244
NIFTY_MIDSMALL_HEALTHCARE,Cash,1140,0.012780896546888298,0.00281129286601689
NIFTY_MIDSMALL_HEALTHCARE,Stocks,404,1.060878439725375,0.5699797694989801
NIFTY_MIDSMALL_IT_TELECOM,Cash,1334,0.0032989044319284844,0.0006223492731725067
NIFTY_MIDSMALL_IT_TELECOM,Stocks,210,-0.13526585133394708,-0.16003898106112524
NIFTY_OIL_GAS,Cash,994,0.1235835837362751,0.02998176109411066
NIFTY_OIL_GAS,Stocks,550,1.1700690335160422,0.42615281263141425
NIFTY_PHARMA,Cash,548,0.019258154164256913,0.008810328712258286
NIFTY_PHARMA,Stocks,996,1.4710977472048632,0.257204377644201
NIFTY_PRIVATE_BANK,Cash,816,-0.06828616434916757,-0.021606120967149978
NIFTY_PRIVATE_BANK,Stocks,728,0.10877676707900008,0.036389402937934356
NIFTY_PSU_BANK,Cash,551,-0.023313756893585058,-0.010730820889493287
NIFTY_PSU_BANK,Stocks,993,1.3730931967063054,0.24521989407993217
NIFTY_REALTY,Cash,787,-0.20143885844400133,-0.06949490735040342
NIFTY_REALTY,Stocks,757,2.2947651473542985,0.48723685256001525
COMBINED,Combined,1544,0.9358641793159144,0.11383676402604115
