decision_date,exit_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,exit_price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,sell_transaction_cost,net_value,realized_pnl,entry_price,buy_transaction_cost,invested_amount,total_transaction_cost,net_realized_pnl,holding_days,proceeds,gross_realized_pnl,return_pct,sell_reason
2020-09-25,2020-09-28,NIFTY_FMCG,SELL,BRITANNIA,MARKET_BEARISH,2020-07-22,1,,0.5010891022781532,3449.41162109375,4.955288610148956,17092.830117721303,17543.859649122805,0.0,17.092830117721302,0.5076570544963227,0.0170928301177213,0.09445497923052792,0.0,17.712034981565875,17075.118082739737,-468.74156638306886,3536.2317001632573,20.810982456140348,17543.859649122805,38.52301743770622,-468.74156638306886,68,17092.830117721303,-451.029531401502,-0.026718269283834927,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_FMCG,SELL,NESTLEIND,MARKET_BEARISH,2020-07-22,3,,0.292621849415203,737.2592163085938,21.534611298413804,15876.59064937875,17543.859649122805,0.0,15.87659064937875,0.47153474228654885,0.015876590649378748,0.08773403992846696,0.0,16.451736022243146,15860.138913356506,-1683.7207357662992,813.7155773950458,20.810982456140348,17543.859649122805,37.26271847838349,-1683.7207357662992,68,15876.59064937875,-1667.2689997440557,-0.09597208193867907,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_FMCG,SELL,HINDUNILVR,MARKET_BEARISH,2020-07-22,4,,0.2807803893059221,1866.235595703125,8.350312622666655,15583.650651669628,17543.859649122805,0.0,15.583650651669629,0.46283442435458794,0.015583650651669627,0.08611525350112635,0.0,16.148183980177016,15567.502467689452,-1976.3571814333536,2098.49013545923,20.810982456140348,17543.859649122805,36.95916643631736,-1976.3571814333536,68,15583.650651669628,-1960.2089974531773,-0.11265235934170116,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_MEDIA,SELL,SUNTV,MARKET_BEARISH,2020-06-23,4,,0.5812443668643634,406.4794921875,74.48297985805955,30275.80382931584,26315.78947368421,0.0,30.27580382931584,0.8991913737306804,0.03027580382931584,0.16730409196079932,0.0,31.372575098836634,30244.431254217,3928.641780532791,352.89368188665236,31.216473684210523,26315.78947368421,62.58904878304716,3928.641780532791,97,30275.80382931584,3960.014355631629,0.14928838766024607,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_MEDIA,SELL,ZEEL,MARKET_BEARISH,2020-06-23,9,,0.3794395551085472,197.75233459472656,157.0603143674416,31059.043838343252,26315.78947368421,0.0,31.059043838343253,0.9224536019987946,0.03105904383834325,0.1716322762506848,0.0,32.18418876043107,31026.85964958282,4711.070175898611,167.35337061982068,31.216473684210523,26315.78947368421,63.4006624446416,4711.070175898611,97,31059.043838343252,4743.254364659042,0.1790206666841472,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_METAL,SELL,HINDZINC,MARKET_BEARISH,2020-05-22,1,,0.4421139780121545,124.77007293701172,176.4784378001513,22019.227556134767,17543.859649122805,0.0,22.019227556134766,0.6539710584172026,0.022019227556134766,0.12167825147520071,0.0,22.816896093583303,21996.410660041183,4452.551010918378,99.29285914526405,20.810982456140348,17543.859649122805,43.62787854972365,4452.551010918378,129,22019.227556134767,4475.3679070119615,0.25379540762234754,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_METAL,SELL,NMDC,MARKET_BEARISH,2020-05-22,4,,0.16714139531056088,14.358654975891113,1341.927904113288,19268.279777683394,17543.859649122805,0.0,19.268279777683393,0.5722679093971969,0.019268279777683393,0.10647651405147844,0.0,19.966292480909754,19248.313485202485,1704.4538360796796,13.058114830874953,20.810982456140348,17543.859649122805,40.7772749370501,1704.4538360796796,129,19268.279777683394,1724.4201285605886,0.09715386865654174,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_METAL,SELL,TATASTEEL,MARKET_BEARISH,2020-05-22,5,,0.3759784872333209,30.449716567993164,763.9113627327563,23260.884478281845,17543.859649122805,0.0,23.260884478281845,0.6908482690049708,0.023260884478281844,0.12853964762698547,0.0,24.103533279392085,23236.780945002454,5692.921295879649,22.938588848817606,20.810982456140348,17543.859649122805,44.91451573553243,5692.921295879649,129,23260.884478281845,5717.02482915904,0.32449651386514,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_PSU_BANK,SELL,UCOBANK,MARKET_BEARISH,2020-06-23,5,,0.6108179797107975,12.11937427520752,1291.507290817884,15652.26023658122,17543.859649122805,0.0,15.65226023658122,0.46487212902646224,0.015652260236581218,0.08649439006734783,0.0,16.219279015911614,15636.040957565308,-1907.818691557497,13.567905339171327,20.810982456140348,17543.859649122805,37.03026147205196,-1907.818691557497,97,15652.26023658122,-1891.5994125415855,-0.10874566541877734,MARKET_BEARISH
2020-09-25,2020-09-28,NIFTY_PSU_BANK,SELL,BANKINDIA,MARKET_BEARISH,2020-06-23,6,,0.4335120754937331,35.836151123046875,396.6459190324585,14214.263096786997,17543.859649122805,0.0,14.214263096786997,0.4221636139745738,0.014214263096786996,0.07854801787284493,0.0,14.729188991731203,14199.533907795267,-3344.3257413275387,44.178063673038096,20.810982456140348,17543.859649122805,35.54017144787155,-3344.3257413275387,97,14214.263096786997,-3329.596552335808,-0.19062656725566973,MARKET_BEARISH
