rebalance_date,date,universe,symbol,rank,score,entry_date,entry_rank,entry_price,current_price,quantity,cost_value,market_value,unrealized_pnl,unrealized_return_pct,holding_days,sleeve_weight,weight
2020-05-22,2020-05-22,NIFTY_AUTO,MRF,1,0.9367855389912924,2020-05-22,1,56732.773843376584,56732.773843376584,0.3088699437655372,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_AUTO,BAJAJ-AUTO,2,0.8953724304835002,2020-05-22,2,2261.931016447167,2261.931016447167,7.746942121245703,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_AUTO,EXIDEIND,3,0.8067068581779798,2020-05-22,3,146.84082934888204,146.84082934888204,119.33362637875946,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_METAL,HINDZINC,1,0.8814261356989543,2020-05-22,1,99.29285914526405,99.29285914526405,176.4784378001513,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_METAL,NMDC,4,0.6389855965971947,2020-05-22,4,13.058114830874953,13.058114830874953,1341.927904113288,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_METAL,TATASTEEL,5,0.5545466393232346,2020-05-22,5,22.938588848817606,22.938588848817606,763.9113627327563,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_PHARMA,AUROPHARMA,1,0.6866768995920818,2020-05-22,1,695.7891338552956,695.7891338552956,25.184424150997106,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_PHARMA,DRREDDY,2,0.6384381155172985,2020-05-22,2,739.5873951030972,739.5873951030972,23.69300610406426,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-22,2020-05-22,NIFTY_PHARMA,CIPLA,3,0.6322623416781425,2020-05-22,3,588.4842959663042,588.4842959663042,29.776578214195897,17543.859649122805,17523.048666666666,-20.810982456139755,-0.001186225999999966,0,0.33333333333333337,0.1111111111111111
2020-05-26,2020-05-26,NIFTY_AUTO,MRF,1,0.9367855389912924,2020-05-22,1,56732.773843376584,57145.23828125,0.3088699437655372,17543.859649122805,17650.446534397914,106.58688527510822,0.006075452460681169,4,0.33299662599741475,0.11111457263363628
