year,beginning_value,ending_value,year_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2020,1000000.0,1147254.305089849,0.14725430508984916,0.14725430508985027,0.14725430508984916,421052.63157894736,726201.6735109016,6389.669446813172,140864.6356430358,795863.3536573392,217140.992378255,944.0738025555311,225.00714196814965,1169.0809445236807,1.0130043460355942,32,11,5,6,0.45454545454545453,1.4531690533710577,0.05782205249965433
2021,1147254.305089849,1260559.6943305603,0.0987622262457648,0.0987622262457637,0.26055969433056037,1009859.0279422499,250700.6663883105,176030.67422869903,78139.3506550482,1124021.0052149214,1714604.118945983,1333.3429409320759,1776.71736775892,3110.0603086909955,2.474277160318516,8,77,52,25,0.6753246753246753,3.9635567025481735,0.07152804440249094
2022,1260559.6943305603,1255279.0016759175,-0.004189165081505464,-0.004189165081505797,0.25527900167591744,755795.2055855618,499483.7960903558,24201.25745364074,48657.400546764606,1592219.4745955933,1339543.7222720603,1888.7321384716322,1388.0700331550884,3276.802171626721,2.3257630797283357,21,56,15,41,0.26785714285714285,1.3346577777227078,0.06974610565521633
2023,1255279.0016759175,1549947.758789988,0.23474363605274973,0.23474363605274906,0.5499477587899879,263157.8947368421,1286789.8640531457,86241.24450325331,257084.91315758173,1639708.8858010252,1148261.4333042928,1945.0653127682067,1189.858351987174,3134.9236647553807,2.220996539719944,41,44,28,16,0.6363636363636364,4.236140836351997,0.040147407863870166
2024,1549947.758789988,1821772.9718995318,0.17537701614004853,0.1753770161400494,0.8217729718995317,1058994.3690375378,762778.6028619938,414977.08414204494,113933.04212508086,1509351.3737396663,2307579.021419412,1790.43184266571,2391.1733790493518,4181.605221715063,2.462618738930192,27,65,38,27,0.5846153846153846,8.126913511952862,0.06442509434787969
2025,1821772.9718995318,1829073.6289465479,0.004007446130570136,0.0040074461305683595,0.8290736289465479,436166.16709654196,1392907.4618500061,-7395.500282843115,128629.19945494007,2670358.973475968,2049654.6770023033,3167.649243670504,2123.905467331389,5291.554711001892,2.5908901511239315,39,76,26,50,0.34210526315789475,0.944518093597381,0.07006842425500515
2026,1829073.6289465479,1935864.1793159123,0.05838504731538352,0.058385047315383964,0.9358641793159124,326021.5521680762,1609842.6271478364,57295.30340622911,178124.44641807527,1726983.1360753751,1618515.6691647053,2048.592297574148,1677.148017795866,3725.740315370014,1.8290673225478162,47,52,26,26,0.5,1.674144807897917,0.053592894065074614
