rebalance_date,date,universe,symbol,rank,score,entry_date,entry_rank,entry_price,current_price,quantity,cost_value,market_value,unrealized_pnl,unrealized_return_pct,holding_days,sleeve_weight,weight
2020-05-05,2020-05-05,NIFTY_AUTO,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_BANK,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_CHEMICALS,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_CONSUMER_DURABLES,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_FINANCIAL_SERVICES,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_FINANCIAL_SERVICES_EX_BANK,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_FMCG,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_HEALTHCARE,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_IT,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
2020-05-05,2020-05-05,NIFTY_MEDIA,GOLDBEES,0,0.0,2020-05-05,0,42.70000076293945,42.70000076293945,1231.1275189865162,52631.57894736842,52569.146,-62.43294736841926,-0.001186225999999966,0,1.0,0.052631578947368425
