date,index_name,return_3m,return_6m,return_9m,volatility_3m,sector_score,sector_rank,selected_top_5
2020-10-09,NIFTY_IT,0.4029758692467811,0.7156392519179324,0.3682792498699865,0.033078828816116845,0.9126303174468128,1,True
2020-10-09,NIFTY_PHARMA,0.19575566531807698,0.3685606986006398,0.49456474529999395,0.04204900009291034,0.5718522951716088,2,True
2020-10-09,NIFTY_AUTO,0.15940691085199754,0.46602735051944433,-0.007537535712114796,0.026663102193757317,0.525562696772444,3,True
2020-10-09,NIFTY_FINANCIAL_SERVICES,0.050242534622042756,0.18825359583800894,-0.20268794940330526,0.039882764849885656,0.13902403950224157,4,True
2020-10-09,NIFTY_PRIVATE_BANK,0.07350963511300912,0.23526881720430115,-0.25483593496622814,0.05249963186817636,0.08040104848118951,5,True
2020-10-09,NIFTY_BANK,0.06466295658851395,0.19751325727141245,-0.25704885753986306,0.04963149278820602,0.07029775067372114,6,False
2020-10-09,NIFTY_REALTY,0.045366327025715636,0.15989232839838485,-0.3064542089167873,0.04516014001850229,0.04734570226834656,7,False
2020-10-16,NIFTY_IT,0.2804055560344445,0.7027215052275828,0.31678649597104536,0.030542983248882376,0.9474965256416246,1,True
2020-10-16,NIFTY_PHARMA,0.12814465033445854,0.29006579126968957,0.41565911351299545,0.042290053881052975,0.5193133810617405,2,True
2020-10-16,NIFTY_AUTO,0.11519061830103805,0.40405546049498153,-0.055549622668375376,0.02852582050531848,0.4885018096536586,3,True
2020-10-16,NIFTY_FINANCIAL_SERVICES,0.054701026961165855,0.16225752229810553,-0.20938345534205938,0.03972182581207047,0.15172314577162377,4,True
2020-10-16,NIFTY_REALTY,0.09521384928716903,0.14536741214057503,-0.33641832484960665,0.04252981222359288,0.11017396011327021,5,True
2020-10-16,NIFTY_PRIVATE_BANK,0.08006435668198186,0.1615308461394387,-0.2534430918893509,0.05226962372529685,0.0695408806218,6,False
2020-10-16,NIFTY_BANK,0.0713098858277037,0.137891685544292,-0.25505648031933503,0.04940074510189554,0.06702162239588415,7,False
2020-10-23,NIFTY_IT,0.24514636121716982,0.6794057520950045,0.30661850632104537,0.030930348561966633,0.9489639435630332,1,True
2020-10-23,NIFTY_AUTO,0.12134540391901538,0.5053419498814451,-0.021782872197079084,0.028610032601806876,0.5535503493244629,2,True
2020-10-23,NIFTY_PHARMA,0.12356965994168734,0.20850033356271225,0.3869038648187557,0.042557308633974285,0.4263693510335559,3,True
2020-10-23,NIFTY_REALTY,0.18497983870967727,0.32301631963984256,-0.28464932298798107,0.048664026074661054,0.24550686340239936,4,True
2020-10-23,NIFTY_FINANCIAL_SERVICES,0.0681722679684218,0.26670801592476545,-0.1714931624642867,0.04042609099593973,0.17468657099013987,5,True
2020-10-23,NIFTY_PRIVATE_BANK,0.0860545200597218,0.28335040692049396,-0.21348141516782737,0.052530624094116955,0.10494342075293236,6,False
2020-10-23,NIFTY_BANK,0.08014500012134818,0.24974408589523978,-0.2164875527139165,0.049817473034382914,0.09179656776926294,7,False
2020-10-30,NIFTY_IT,0.1574271588132925,0.4825865533531559,0.2956303057144538,0.0320922842057912,0.9620476810534627,1,True
2020-10-30,NIFTY_AUTO,0.06575088430234555,0.31467109499440804,-0.04057972806697552,0.0318939168386835,0.5472940419908651,2,True
2020-10-30,NIFTY_PHARMA,0.00850756576882028,0.20549259684146204,0.3815336790111321,0.03600671609755578,0.5133377418004826,3,True
2020-10-30,NIFTY_REALTY,0.13532338308457703,0.21836625734116377,-0.3106781452952727,0.0501475566643442,0.28510456048982474,4,True
2020-10-30,NIFTY_FINANCIAL_SERVICES,0.08455705877144326,0.10077288379309035,-0.18725073165280193,0.03919991412784911,0.26036971557927985,5,True
2020-10-30,NIFTY_PRIVATE_BANK,0.11648666287711329,0.12896976612494626,-0.21718670197533696,0.05071577493674381,0.2150686734138256,6,False
2020-10-30,NIFTY_BANK,0.10447526692405984,0.10988878311546602,-0.2248423797415805,0.048273655010523636,0.20000605166785015,7,False
2020-11-06,NIFTY_IT,0.19373866580760546,0.6034684711570026,0.3049213273710316,0.03200375362363283,0.9085321450631683,1,True
2020-11-06,NIFTY_AUTO,0.059785953974147654,0.4696158964710202,-0.00725392455918461,0.03144045493017431,0.5289941190414348,2,True
2020-11-06,NIFTY_PHARMA,0.025619871172681608,0.24402382443128,0.3933779677169933,0.03692252620656047,0.42579469572924966,3,True
2020-11-06,NIFTY_PRIVATE_BANK,0.24746026956346823,0.40224903306653337,-0.13379507027907922,0.059520258306751214,0.42220791619527603,4,True
