Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,,,,,,,,1.75,-1.89,-1.63,-0.11,-0.07
2022,-0.55,5.67,1.22,1.52,-1.88,-0.43,2.75,12.41,-2.49,1.2,3.04,-1.23
2023,4.02,-2.59,7.72,0.35,1.06,1.34,2.54,3.99,2.93,-2.26,2.09,6.2
2024,11.42,-5.64,0.72,-1.02,-3.74,3.75,2.01,0.98,3.34,-3.84,-3.93,-0.31
2025,7.79,2.92,4.3,-0.68,1.53,4.23,-5.21,0.78,12.32,10.91,2.41,1.17
2026,1.1,0.37,-7.91,5.07,-0.7,2.93,-1.97,2.78,,,,
