symbol,total_invested_amount,closed_invested_amount,open_invested_amount,realized_pnl,unrealized_pnl,total_pnl,total_return_pct,closed_trades,winning_trades,losing_trades,total_transaction_cost,open_market_value
GOLDBEES,9562967.655897792,9562967.655897792,0.0,862350.9971196521,0.0,862350.9971196521,0.09017608635200311,6,5,1,10814.192193661725,0.0
APARINDS,1115571.849283175,883372.6378362915,232199.21144688356,105078.68118310947,96439.992805705,201518.67398881447,0.18064159123260673,7,3,4,1025.3214212172197,328639.20425258856
TRENT,158079.80969448964,158079.80969448964,0.0,117547.50806664319,0.0,117547.50806664319,0.7435959613932953,1,1,0,285.9084587529273,0.0
ADANIENSOL,434479.2342816641,202280.0228347805,232199.21144688356,29753.975106956692,69499.72744854027,99253.70255549697,0.22844291446884848,2,2,0,240.68906982324123,301698.93889542384
ARVIND,2677218.831071874,2452759.363701932,224459.4673699419,33267.16419006002,31256.265106826846,64523.42929688687,0.02410091717121746,17,9,8,2578.75750046108,255715.73247676875
BSOFT,707639.1089313377,707639.1089313377,0.0,56401.178957574986,0.0,56401.178957574986,0.07970330956234302,6,4,2,792.5396615613175,0.0
BASF,357338.9398383559,357338.9398383559,0.0,47800.09093120711,0.0,47800.09093120711,0.1337668124073736,3,1,2,420.25107238595535,0.0
CANBK,391543.92230826686,391543.92230826686,0.0,45885.670205855575,0.0,45885.670205855575,0.11719162932052685,2,1,1,453.7461004392128,0.0
PFC,1129680.7614030214,1129680.7614030214,0.0,45071.401000763195,0.0,45071.401000763195,0.0398974670904249,8,2,6,1218.5714496580174,0.0
IOC,661197.5772454864,661197.5772454864,0.0,40589.490432762046,0.0,40589.490432762046,0.061387839020608154,4,2,2,727.9643415697683,0.0
ADANIENT,522912.291093679,522912.291093679,0.0,37064.235059392995,0.0,37064.235059392995,0.07088040516674905,4,2,2,580.864142316229,0.0
OFSS,1059025.6231701782,1059025.6231701782,0.0,34275.00234652624,0.0,34275.00234652624,0.03236465822604415,6,3,3,1134.0816989192167,0.0
COALINDIA,1460893.8085816088,1460893.8085816088,0.0,33504.493718678335,0.0,33504.493718678335,0.022934243079042183,10,5,5,1550.1406712666412,0.0
NTPC,1124903.6911018083,1124903.6911018083,0.0,26791.92251482115,0.0,26791.92251482115,0.023817081165925673,7,7,0,1194.6548713542293,0.0
SHRIRAMFIN,1004477.4939073997,1004477.4939073997,0.0,26355.045308668534,0.0,26355.045308668534,0.026237566763340683,6,2,4,1069.283498143857,0.0
NH,189849.65962102014,189849.65962102014,0.0,24870.549150355368,0.0,24870.549150355368,0.13100128385798646,1,1,0,222.72946111289855,0.0
BAJAJFINSV,289849.65962102014,289849.65962102014,0.0,22724.293810221818,0.0,22724.293810221818,0.0784002777161579,2,2,0,324.23323637784097,0.0
RECLTD,600578.1191590806,600578.1191590806,0.0,22419.81354118636,0.0,22419.81354118636,0.037330386882189794,4,2,2,646.2363026692366,0.0
BANKBARODA,776608.9795025039,776608.9795025039,0.0,22079.50930717239,0.0,22079.50930717239,0.028430664452678018,6,4,2,828.4802708023881,0.0
APOLLOTYRE,590891.2566092449,590891.2566092449,0.0,16736.385936841536,0.0,16736.385936841536,0.028323969511549692,5,4,1,630.2926871950423,0.0
ASHOKLEY,409015.78399241006,409015.78399241006,0.0,16360.272477043198,0.0,16360.272477043198,0.039999122570161715,2,1,1,441.2429569153883,0.0
BALRAMCHIN,608179.649242923,392803.78978327016,215375.8594596529,10563.82980643139,4721.728126698348,15285.557933129738,0.025133294006396918,3,3,0,418.4135860135385,220097.58758635123
