year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2020,COMBINED,257,0,2935,1500901.1778961455,0.0,-1574890.1564833408,-73988.97858719528,-20.28546962744388,-0.0,21.28546962744388
2020,NIFTY_AUTO,143,0,25,-839014.2836770746,0.0,-159799.4903229254,-998813.774,0.8400107262408204,-0.0,0.15998927375917968
2020,NIFTY_BANK,21,0,147,568349.0464501814,0.0,-337694.1155669303,230654.93088325107,2.4640663187810126,0.0,-1.4640663187810128
2020,NIFTY_CHEMICALS,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_CONSUMER_DURABLES,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_FINANCIAL_SERVICES,30,0,138,533395.4631788883,0.0,-533395.4631788883,0.0,0.0,0.0,0.0
2020,NIFTY_FINANCIAL_SERVICES_EX_BANK,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_FMCG,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_HEALTHCARE,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_IT,12,0,156,164890.87942415138,0.0,8658.8256259482,173549.70505009958,0.9501075174777819,0.0,0.049892482522218104
2020,NIFTY_MEDIA,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_METAL,6,0,162,337402.32965373993,0.0,-162462.89220536553,174939.4374483744,1.9286807741868337,0.0,-0.9286807741868338
2020,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_MIDSMALL_HEALTHCARE,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_MIDSMALL_IT_TELECOM,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_OIL_GAS,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_PHARMA,18,0,150,166000.665695428,0.0,-166000.665695428,0.0,0.0,0.0,0.0
2020,NIFTY_PRIVATE_BANK,13,0,155,263145.49825493153,0.0,-90178.48282996852,172967.01542496303,1.5213623106602654,0.0,-0.5213623106602655
