decision_date,exit_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,exit_price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,sell_transaction_cost,net_value,realized_pnl,entry_price,buy_transaction_cost,invested_amount,total_transaction_cost,net_realized_pnl,holding_days,proceeds,gross_realized_pnl,return_pct,sell_reason
2020-05-04,2020-05-06,NIFTY_AUTO,SELL,MRF,SECTOR_ROTATION,2020-05-05,1,,0.9888037542502086,57775.4296875,5.734685840812613,331323.93857577094,333333.3333333333,0.0,331.32393857577097,9.840320975700397,0.3313239385757709,1.8308960845697102,0.0,343.3264795746169,330980.61209619633,-2352.7212371369824,58056.8724963474,395.4086666666666,333333.3333333333,738.7351462412835,-2352.7212371369824,1,331323.93857577094,-2009.3947575623752,-0.007058163711410948,SECTOR_ROTATION
2020-05-04,2020-05-06,NIFTY_AUTO,SELL,BAJAJ-AUTO,SECTOR_ROTATION,2020-05-05,2,,0.8112624784310659,2131.587646484375,155.99368101521097,332514.2033816479,333333.3333333333,0.0,332.51420338164786,9.875671840434942,0.3325142033816479,1.837473487886986,0.0,344.5598629133515,332169.64351873455,-1163.6898145987652,2134.3039185939965,395.4086666666666,333333.3333333333,739.9685295800181,-1163.6898145987652,1,332514.2033816479,-819.1299516854342,-0.003491069443796296,SECTOR_ROTATION
2020-05-04,2020-05-06,NIFTY_AUTO,SELL,EXIDEIND,SECTOR_ROTATION,2020-05-05,3,,0.6775227561593056,141.09738159179688,2321.8272196244557,327603.7411975726,333333.3333333333,0.0,327.6037411975726,9.729831113567906,0.3276037411975726,1.810338273857786,0.0,339.47151432619586,327264.26968324644,-6069.063650086871,143.39478917837727,395.4086666666666,333333.3333333333,734.8801809928625,-6069.063650086871,1,327603.7411975726,-5729.5921357607,-0.018207190950260615,SECTOR_ROTATION
2020-05-05,2020-05-07,NIFTY_AUTO,SELL,MRF,SECTOR_ROTATION,2020-05-06,1,,0.9973316639661789,58239.078125,5.708626037257917,332465.117770273,330138.1750993924,0.0,332.465117770273,9.874213997777108,0.332465117770273,1.8372022407985285,0.0,344.50899912661896,332120.6087711464,1982.43367175397,57762.85825352251,391.61848689545184,330138.1750993924,736.1274860220708,1982.43367175397,1,332465.117770273,2326.942670880584,0.006004860453224267,SECTOR_ROTATION
2020-05-05,2020-05-07,NIFTY_AUTO,SELL,BAJAJ-AUTO,SECTOR_ROTATION,2020-05-06,2,,0.8244800691803297,2075.276123046875,157.68393945317908,327237.71453515167,330138.1750993924,0.0,327.23771453515167,9.718960121694005,0.32723771453515166,1.8083156105212481,0.0,339.09222798190206,326898.6223071698,-3239.5527922226465,2091.1866976180427,391.61848689545184,330138.1750993924,730.7107148773539,-3239.5527922226465,1,327237.71453515167,-2900.460564240755,-0.009812717936201521,SECTOR_ROTATION
2020-05-05,2020-05-07,NIFTY_AUTO,SELL,EXIDEIND,SECTOR_ROTATION,2020-05-06,3,,0.6653055424491565,140.7623748779297,2343.373128068565,329858.7667320541,330138.1750993924,0.0,329.8587667320541,9.796805371942007,0.3298587667320541,1.8227995449613308,0.0,341.80823041568954,329516.95850163844,-621.2165977539844,140.71449086056467,391.61848689545184,330138.1750993924,733.4267173111414,-621.2165977539844,1,329858.7667320541,-279.4083673382993,-0.0018816866530717298,SECTOR_ROTATION
2020-05-06,2020-05-08,NIFTY_AUTO,SELL,MRF,SECTOR_ROTATION,2020-05-07,1,,0.9908057004213333,58282.4765625,5.73218187011335,334085.75549686875,329512.0631933182,0.0,334.0857554968687,9.922346938257002,0.33408575549686875,1.8461578848756965,0.0,346.1883460754983,333739.5671507933,4227.50395747507,57416.389583280354,390.8757766735571,329512.0631933182,737.0641227490554,4227.50395747507,1,334085.75549686875,4573.692303550546,0.012829587835134512,SECTOR_ROTATION
2020-05-06,2020-05-08,NIFTY_AUTO,SELL,BAJAJ-AUTO,SECTOR_ROTATION,2020-05-07,2,,0.8209736769398054,2086.0556640625,154.51757962277748,322332.2721693233,329512.0631933182,0.0,322.3322721693233,9.573268483428901,0.32233227216932325,1.7812081360076804,0.0,334.0090810609292,321998.26308826235,-7513.800105055852,2129.9918638392187,390.8757766735571,329512.0631933182,724.8848577344863,-7513.800105055852,1,322332.2721693233,-7179.791023994912,-0.022802807375970496,SECTOR_ROTATION
2020-05-06,2020-05-08,NIFTY_AUTO,SELL,EXIDEIND,SECTOR_ROTATION,2020-05-07,3,,0.6665901094675064,140.4273223876953,2371.189654072432,332979.8139947971,329512.0631933182,0.0,332.97981399479715,9.889500475645475,0.3329798139947971,1.8400464521352489,0.0,345.0423407365727,332634.7716540606,3122.708460742375,138.80002675087206,390.8757766735571,329512.0631933182,735.9181174101298,3122.708460742375,1,332979.8139947971,3467.75080147892,0.00947676522212889,SECTOR_ROTATION
2020-05-07,2020-05-11,NIFTY_AUTO,SELL,MRF,SECTOR_ROTATION,2020-05-08,1,,0.9973842402299246,58199.6171875,5.643468405411994,328447.70080472913,329457.53396437207,0.0,328.44770080472915,9.754896713900456,0.3284477008047291,1.8150019946469331,0.0,340.34604721408124,328107.3547575151,-1350.179206856992,58309.30541865319,390.8110926844212,329457.53396437207,731.1571398985025,-1350.179206856992,3,328447.70080472913,-1009.8331596429343,-0.004098188894362944,SECTOR_ROTATION
2020-05-07,2020-05-11,NIFTY_AUTO,SELL,BAJAJ-AUTO,SECTOR_ROTATION,2020-05-08,2,,0.7400493944684665,2213.035888671875,156.004666023626,345243.9247105542,329457.53396437207,0.0,345.2439247105542,10.25374456390346,0.34524392471055415,1.9078179279505223,0.0,357.75073112711874,344886.1739794271,15428.640015055018,2109.338978501146,390.8110926844212,329457.53396437207,748.56182381154,15428.640015055018,3,345243.9247105542,15786.390746182122,0.04683043617003304,SECTOR_ROTATION
