rebalance_date,date,universe,symbol,rank,score,entry_date,entry_rank,entry_price,current_price,quantity,cost_value,market_value,unrealized_pnl,unrealized_return_pct,holding_days,sleeve_weight,weight
2020-05-05,2020-05-05,NIFTY_AUTO,MRF,1,0.9888037438070885,2020-05-05,1,58056.8724963474,58056.8724963474,5.447951548771982,316666.6666666667,316291.0284333333,-375.6382333333604,-0.0011862260000000855,0,0.5,0.16666666666666669
2020-05-05,2020-05-05,NIFTY_AUTO,BAJAJ-AUTO,2,0.8112624835744965,2020-05-05,2,2134.3039185939965,2134.3039185939965,148.1939969644504,316666.6666666667,316291.0284333333,-375.6382333333604,-0.0011862260000000855,0,0.5,0.16666666666666669
2020-05-05,2020-05-05,NIFTY_METAL,HINDZINC,1,0.9241232618719729,2020-05-05,1,91.13235313688446,91.13235313688446,3470.6777291073727,316666.6666666667,316291.0284333333,-375.6382333333604,-0.0011862260000000855,0,0.5,0.16666666666666669
2020-05-05,2020-05-05,NIFTY_METAL,COALINDIA,2,0.8638840743303089,2020-05-05,2,86.42307167032571,86.42307167032571,3659.798504268337,316666.6666666667,316291.0284333333,-375.6382333333604,-0.0011862260000000855,0,0.5,0.16666666666666669
2020-05-05,2020-05-05,NIFTY_PHARMA,BIOCON,1,0.9189446295209673,2020-05-05,1,362.7673378156524,362.7673378156524,871.8839748303444,316666.6666666667,316291.0284333333,-375.6382333333604,-0.0011862260000000855,0,0.5,0.16666666666666669
2020-05-05,2020-05-05,NIFTY_PHARMA,DRREDDY,2,0.8965024703881491,2020-05-05,2,766.4317443932638,766.4317443932638,412.67996889106047,316666.6666666667,316291.0284333333,-375.6382333333604,-0.0011862260000000855,0,0.5,0.16666666666666669
2020-05-06,2020-05-06,NIFTY_AUTO,MRF,1,0.9973935424071775,2020-05-05,1,58056.8724963474,57775.4296875,5.447951548771982,316666.6666666667,314757.7416469824,-1908.9250196843059,-0.006028184272687281,1,1.0,0.25570887470118225
2020-05-06,2020-05-06,NIFTY_METAL,HINDZINC,1,0.9887047081079792,2020-05-06,1,93.81749000040251,93.81749000040251,3259.736878181426,306183.5348425314,305820.33197272924,-363.2028698021313,-0.001186226000000048,0,0.5,0.24844813201511387
2020-05-06,2020-05-06,NIFTY_METAL,COALINDIA,2,0.826278832608897,2020-05-06,2,83.69044583396655,83.69044583396655,3654.1845239950817,306183.5348425314,305820.33197272924,-363.2028698021313,-0.001186226000000048,0,0.5,0.24844813201511387
2020-05-06,2020-05-06,NIFTY_PHARMA,BIOCON,1,0.9256696430243783,2020-05-05,1,362.7673378156524,349.27105712890625,871.8839748303444,316666.6666666667,304523.8375827471,-12142.829083919583,-0.038345776054482895,1,1.0,0.24739486126858987
2020-05-07,2020-05-07,NIFTY_AUTO,MRF,1,0.9919651428885176,2020-05-05,1,58056.8724963474,58239.078125,5.447951548771982,316666.6666666667,317283.67587014625,617.0092034795671,0.0019484501162512643,2,1.0,0.2085803881220724
2020-05-07,2020-05-07,NIFTY_METAL,HINDZINC,1,1.0,2020-05-07,1,91.89179208135559,91.89179208135559,3251.4252261086135,299134.13152995554,298779.2908456473,-354.840684308263,-0.0011862260000000333,0,0.5,0.19641571624040308
2020-05-07,2020-05-07,NIFTY_METAL,COALINDIA,2,0.7129301385533627,2020-05-07,2,78.07505539185281,78.07505539185281,3826.8213752279335,299134.13152995554,298779.2908456473,-354.840684308263,-0.0011862260000000333,0,0.5,0.19641571624040308
2020-05-07,2020-05-07,NIFTY_PHARMA,DRREDDY,1,0.9046984412093011,2020-05-07,1,752.7400174461701,752.7400174461701,402.73898549298883,303517.79166217754,303157.75096624525,-360.0406959322863,-0.0011862260000000927,0,0.5,0.19929408969856077
2020-05-07,2020-05-07,NIFTY_PHARMA,BIOCON,2,0.8958918886634106,2020-05-07,2,349.9632208321065,349.9632208321065,866.2560318350825,303517.79166217754,303157.75096624525,-360.0406959322863,-0.0011862260000000927,0,0.5,0.19929408969856077
