universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,439,-1.0,-1.0
NIFTY_AUTO,GOLDBEES,15,inf,inf
NIFTY_AUTO,Stocks,1090,inf,inf
NIFTY_BANK,Cash,654,-1.0,-1.0
NIFTY_BANK,Stocks,890,inf,inf
NIFTY_CHEMICALS,Cash,1472,-1.0,-1.0
NIFTY_CHEMICALS,Stocks,72,inf,inf
NIFTY_CONSUMER_DURABLES,Cash,816,-1.0,-1.0
NIFTY_CONSUMER_DURABLES,Stocks,728,inf,inf
NIFTY_FINANCIAL_SERVICES,Cash,615,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,929,inf,inf
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,1243,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,301,inf,inf
NIFTY_FMCG,Cash,641,-1.0,-1.0
NIFTY_FMCG,Stocks,903,inf,inf
NIFTY_HEALTHCARE,Cash,624,-1.0,-1.0
NIFTY_HEALTHCARE,Stocks,920,inf,inf
NIFTY_IT,Cash,545,-1.0,-1.0
NIFTY_IT,Stocks,999,inf,inf
NIFTY_MEDIA,Cash,748,-1.0,-1.0
NIFTY_MEDIA,Stocks,796,inf,inf
NIFTY_METAL,Cash,406,-1.0,-1.0
NIFTY_METAL,Stocks,1138,inf,inf
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1276,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,268,inf,inf
NIFTY_MIDSMALL_HEALTHCARE,Cash,1120,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,424,inf,inf
NIFTY_MIDSMALL_IT_TELECOM,Cash,1320,-1.0,-1.0
NIFTY_MIDSMALL_IT_TELECOM,Stocks,224,inf,inf
NIFTY_OIL_GAS,Cash,866,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,678,inf,inf
NIFTY_PHARMA,Cash,470,-1.0,-1.0
NIFTY_PHARMA,Stocks,1074,inf,inf
NIFTY_PRIVATE_BANK,Cash,713,-1.0,-1.0
NIFTY_PRIVATE_BANK,Stocks,831,inf,inf
NIFTY_PSU_BANK,Cash,467,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,1077,inf,inf
NIFTY_REALTY,Cash,702,-1.0,-1.0
NIFTY_REALTY,Stocks,842,inf,inf
COMBINED,Combined,1544,-0.8035138245440662,-0.23323373941316827
