year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,74,25,0,106047.39405039698,-32183.494764818577,0.0,73863.8992855784,1.4357134550991983,-0.4357134550991984,0.0
2022,104,143,0,-82487.86420389568,160557.66227692435,0.0,78069.79807302868,-1.0565912329725025,2.0565912329725027,0.0
2023,166,79,0,850511.5681577341,109801.73402577685,0.0,960313.302183511,0.8856605091524659,0.11433949084753416,0.0
2024,195,49,0,776676.4256493635,-79923.67646296229,0.0,696752.7491864013,1.1147088067557527,-0.11470880675575264,0.0
2025,143,104,0,855.8324119830504,973077.144732222,0.0,973932.977144205,0.0008787385087755704,0.9991212614912244,0.0
2026,92,54,0,85658.5289715901,-111093.43478748901,0.0,-25434.905815898906,-3.36775491097146,4.367754910971461,-0.0
