year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,74,25,0,-10264.656092253514,-24420.52998249198,0.0,-34685.18607474549,0.29593775481364004,0.70406224518636,-0.0
2022,104,144,0,77962.80290645268,45917.578729743254,0.0,123880.38163619593,0.6293393826910294,0.37066061730897065,0.0
2023,143,102,0,727674.2307425714,140121.19399827044,0.0,867795.4247408418,0.8385319972848253,0.1614680027151747,0.0
2024,197,49,0,191929.89334406448,-62288.04236803786,0.0,129641.85097602662,1.4804624579107264,-0.48046245791072645,0.0
2025,143,105,0,40678.06972761778,719265.6718471644,0.0,759943.7415747822,0.05352773830773743,0.9464722616922626,0.0
2026,92,54,0,131080.32507738937,-105009.6727559208,0.0,26070.652321468573,5.027888196316737,-4.027888196316737,0.0
