Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,4.81,9.31,-3.22,4.73,5.61,3.18,0.41,1.16,-2.88,1.1,-4.13,-3.06
2017,2.29,-1.87,1.14,2.18,-2.54,-4.02,2.5,4.36,-0.0,-0.25,-1.74,3.67
2018,2.01,-0.64,0.18,1.06,1.79,-1.61,3.17,1.36,-4.42,4.97,-4.88,3.84
2019,3.09,-0.9,1.74,1.21,-0.82,0.71,-9.8,10.25,-2.85,1.82,0.69,0.11
2020,0.09,0.07,2.25,11.41,-3.71,-5.23,3.78,6.61,7.68,-3.83,5.62,10.94
2021,-1.48,-8.96,-5.17,6.34,4.93,1.07,4.22,3.89,5.94,-3.66,-2.2,-0.07
2022,-0.55,5.67,1.22,1.52,-1.88,-0.43,0.69,8.71,-1.85,-0.16,0.95,-1.8
2023,-9.02,-2.59,7.72,0.35,1.92,1.65,5.83,-0.02,1.43,1.87,8.13,6.77
2024,8.42,-2.24,1.77,-1.22,-2.73,3.58,-0.31,2.92,-5.38,-4.39,-3.93,-0.31
2025,7.79,2.92,4.3,-3.9,1.05,1.61,-3.87,0.75,12.32,11.07,0.02,4.26
2026,-3.47,0.37,-7.91,1.85,4.23,-9.86,0.98,4.32,,,,
