symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
GOLDBEES,2016-01-05 00:00:00,0,2016-04-18 00:00:00,,104,43248.98966498667,23.094499588012695,26.249000549316406,1000000,1135242.7534736148,135242.7534736148,0.0,1135.2427534736148,33.71670977816636,1.1352427534736147,6.273351455695195,0.0,1176.36805746095,134066.38541615385,0.1352427534736148,SellReason.MARKET_EXIT
GRASIM,2016-04-18 00:00:00,4,2016-04-20 00:00:00,5,2,381.59201883325215,593.6817703092595,596.7419991745026,226813.27708323076,227711.98418758932,898.7071043585602,0.0,227.7119841875893,6.763045930371403,0.2277119841875893,1.2583364246206186,0.0,235.9610785267689,662.7460258317913,0.003962321412201867,SellReason.RANK_EXIT
GRASIM,2016-04-22 00:00:00,5,2016-04-25 00:00:00,5,3,391.45079194250746,580.4208084714868,585.2297068100378,227476.02310906255,229088.63219907074,1612.6090900081908,0.0,229.08863219907073,6.803932376312401,0.22908863219907072,1.2659437815320649,0.0,237.38759698911426,1375.2214930190767,0.007089138749515729,SellReason.RANK_EXIT
ULTRACEMCO,2016-04-18 00:00:00,3,2016-04-26 00:00:00,5,8,72.0277815441041,3145.2339697300226,3160.9751626125826,226813.27708323076,227678.02847899805,864.7513957672927,0.0,227.67802847899804,6.762037445826242,0.22767802847899804,1.2581487853749431,0.0,235.92589273867824,628.8255030286144,0.003812613648053619,SellReason.RANK_EXIT
HEROMOTOCO,2016-04-18 00:00:00,1,2016-04-28 00:00:00,5,10,98.93840350546148,2289.750160202494,2143.0371301974365,226813.27708323076,212028.67231466016,-14784.6047685706,0.0,212.02867231466016,6.297251567745406,0.21202867231466016,1.1716704432108118,0.0,219.70962299793104,-15004.31439156853,-0.06518403577911042,SellReason.RANK_EXIT
BSOFT,2016-04-18 00:00:00,2,2016-05-18 00:00:00,5,30,2927.301317392196,77.39012855657364,83.23434753777777,226813.27708323076,243652.01519961673,16838.738116385968,0.0,243.65201519961673,7.236464851428617,0.2436520151996167,1.346421035993082,0.0,252.47855310223804,16586.25956328373,0.0742405309465498,SellReason.RANK_EXIT
ACCELYA,2016-05-24 00:00:00,5,2016-05-25 00:00:00,6,1,208.62066895901006,1091.0,1085.0,227875.46163162944,226353.4258205259,-1522.0358111035312,0.0,226.35342582052593,6.7226967468696195,0.2263534258205259,1.250829031084226,0.0,234.5533050243003,-1756.5891161278314,-0.006679244005499671,SellReason.RANK_EXIT
INDUSINDBK,2016-05-24 00:00:00,3,2016-06-09 00:00:00,5,16,228.2082117759594,997.3574047270856,1052.5406086523478,227875.46163162947,240198.4101221322,12322.94849050272,0.0,240.1984101221322,7.133892780627326,0.24019841012213217,1.3273364143349025,0.0,248.89983772721655,12074.048652775504,0.05407755798833355,SellReason.RANK_EXIT
INDUSINDBK,2016-06-22 00:00:00,4,2016-06-23 00:00:00,5,1,226.045771829253,1029.6930497733117,1032.251722915103,233034.19139995327,233336.13742842068,301.94602846741327,0.0,233.3361374284207,6.9300832816240945,0.23333613742842066,1.2894154954294528,0.0,241.78897234290267,60.1570561245106,0.001295715562825661,SellReason.RANK_EXIT
POWERGRID,2016-06-22 00:00:00,5,2016-06-24 00:00:00,5,2,4195.617660193772,55.476399194219205,54.552103497683724,233034.19139995327,228879.7688356003,-4154.422564352979,0.0,228.8797688356003,6.797729134417328,0.22887976883560027,1.2647896025855272,0.0,237.17116734143875,-4391.593731694417,-0.017827523675368318,SellReason.RANK_EXIT
BSOFT,2016-05-24 00:00:00,4,2016-07-04 00:00:00,27,41,2667.3226960360435,85.33093883710738,82.71020908403716,227875.46163162944,220614.81788373884,-7260.643747890601,0.0,220.61481788373885,6.552260091147043,0.22061481788373882,1.2191174836255407,0.0,228.60681027639518,-7489.250558166996,-0.031862332591245594,SellReason.RANK_EXIT
ACC,2016-07-22 00:00:00,3,2016-07-25 00:00:00,6,3,147.99388472768103,1534.554409071685,1515.5528712818318,227374.38573259968,224292.55693118944,-3081.8288014102436,0.0,224.29255693118944,6.6614889408563265,0.22429255693118944,1.2394406696017528,0.0,232.4177790985787,-3314.2465805088223,-0.013553984066765477,SellReason.RANK_EXIT
AMBUJACEM,2016-07-22 00:00:00,4,2016-07-25 00:00:00,5,3,988.2875655665562,229.79614055380455,228.4621397260348,227374.3857325997,225786.29189396932,-1588.0938386303897,0.0,225.78629189396932,6.705852869250889,0.22578629189396932,1.2476950490060745,0.0,233.96562610412025,-1822.05946473451,-0.006984488747549797,SellReason.RANK_EXIT
BPCL,2016-07-22 00:00:00,5,2016-07-26 00:00:00,5,4,2148.353974570819,105.71100992325012,108.78517077990826,227374.3857325997,233709.05401938123,6334.668286781525,0.0,233.70905401938123,6.941158904375623,0.23370905401938122,1.2914762325111007,0.0,242.1753982102873,6092.492888571238,0.027860078725979797,SellReason.RANK_EXIT
