year,beginning_value,ending_value,annual_return,realized_pnl,unrealized_pnl,buy_value,sell_value,turnover,buy_transaction_costs,sell_transaction_costs,transaction_costs,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2016,1000000,1172850.2107007203,0.17285021070072032,269708.2339495967,-96858.02324887621,6943368.0769835245,7220558.441324541,14.163926518308067,8236.40374048811,7482.130391419964,15718.534131908073,27,17,10,0.6296296296296297,4.989005946607462,0.12843074588857473
2017,1172850.2107007203,1237085.1628926324,0.05476824884017788,140932.837842605,96152.32505002775,17512968.46236781,17672213.707531713,29.999723621039475,20774.338527241052,18312.407321300758,39086.74584854181,68,30,38,0.4411764705882353,1.4298479797792716,0.09025180298965219
2018,1237085.1628926324,1317435.3020624924,0.06495117844755331,289767.7884666692,27667.51359582343,25679534.148015115,25996239.916185174,41.77220422187318,30461.731074263866,26937.9797033889,57399.71077765277,97,47,50,0.4845360824742268,1.7015832574383734,0.05531147395838621
2019,1317435.3020624924,1372703.6519108566,0.04195147174350016,306550.0338081186,66153.61810273901,40182052.94023649,40530601.837464236,61.26498557564243,47664.99593108581,41998.863419628215,89663.85935071402,140,66,74,0.4714285714285714,1.4698828221248719,0.12013280823171987
2020,1372703.6519108566,1918609.852516204,0.3976868567701592,499833.37450196943,418776.478014236,50105170.06013814,50657496.04914113,73.4045297898157,59436.0554597585,52492.61450101731,111928.66996077582,171,80,91,0.4678362573099415,1.626337417547548,0.11327148724148721
2021,1918609.852516204,1987548.1726433397,0.03593139065596121,1003340.9587560858,-15792.786112744128,62736919.088384256,63806377.8748601,65.95572142887013,74420.16458253824,66117.82771975479,140537.99230229302,202,98,104,0.48514851485148514,2.0166467291812973,0.17263598567992022
2022,1987548.1726433397,2229619.745425989,0.12179406573109929,1259365.658861176,-29745.913435185154,75426187.04151241,76765098.69153032,76.57237586882532,89472.5041495057,79545.9911567297,169018.4953062354,223,109,114,0.48878923766816146,2.155403493027876,0.06841307515399765
2023,2229619.745425989,2793370.124024345,0.25284597508381257,1297244.2111813568,496125.9128429897,91549892.37054753,92943446.99803789,82.74654893376731,108598.8626271456,96310.4163089888,204909.27893613442,256,118,138,0.4609375,1.8897300938299153,0.12291854119341195
2024,2793370.124024345,2665782.6046451987,-0.04567512134601553,1744324.0068677948,-78541.40222259471,113938072.26887189,115802393.72698182,82.24490697454436,135156.3037152157,119997.45124213547,255153.7549573512,296,134,162,0.4527027027027027,1.908861347194064,0.17678834051996295
2025,2665782.6046451987,3834943.186013389,0.4385806176883652,2661109.9713386004,173833.21467479004,137052652.59902096,139858687.77896202,103.87619001469116,162575.4198819282,144925.2086024427,307500.6284843709,325,141,184,0.4338461538461538,2.186680540813858,0.08752117491377458
2026,3834943.186013389,3449101.557136211,-0.10061208475901284,2690062.978028571,-240961.4208923583,141414435.9531382,144253978.65445197,74.49091179485151,167749.4807029494,149479.72328518814,317229.20398813754,331,142,189,0.42900302114803623,2.1322642987874176,0.24438680036113763
