rebalance_date,decision_date,action,symbol,reason,rank_before,rank_after,score,weight_before,weight_after,quantity,entry_price,exit_price,trade_value,transaction_cost,portfolio_value,cash_after,notes
2016-01-05 00:00:00,2016-01-05 00:00:00,BUY,GOLDBEES,NEW_POSITION,,0,0.0,,1.0,43248.98966498667,23.094499588012695,,1000000,1186.2260000000242,1003225.2224201511,0.0,
2016-04-18 00:00:00,2016-04-18 00:00:00,SELL,GOLDBEES,SellReason.MARKET_EXIT,,,,,,43248.98966498667,23.094499588012695,26.249000549316406,1135242.7534736148,1176.36805746095,1152372.4760726234,0.0,
2016-04-18 00:00:00,2016-04-18 00:00:00,BUY,HEROMOTOCO,NEW_POSITION,,1,0.8238189843205644,,0.2,98.93840350546148,2289.750160202494,,226813.27708323076,269.0518064213393,1152372.4760726234,0.0,
2016-04-18 00:00:00,2016-04-18 00:00:00,BUY,BSOFT,NEW_POSITION,,2,0.7376971724533724,,0.2,2927.301317392196,77.39012855657364,,226813.27708323076,269.0518064213393,1152372.4760726234,0.0,
2016-04-18 00:00:00,2016-04-18 00:00:00,BUY,ULTRACEMCO,NEW_POSITION,,3,0.712886699236563,,0.2,72.0277815441041,3145.2339697300226,,226813.27708323076,269.0518064213684,1152372.4760726234,0.0,
2016-04-18 00:00:00,2016-04-18 00:00:00,BUY,GRASIM,NEW_POSITION,,4,0.7038005829546808,,0.2,381.59201883325215,593.6817703092595,,226813.27708323076,269.0518064213393,1152372.4760726234,0.0,
2016-04-18 00:00:00,2016-04-18 00:00:00,BUY,YESBANK,NEW_POSITION,,5,0.6730905281235741,,0.2,1366.8689364362542,165.73953744787192,,226813.27708323076,269.0518064213393,1152372.4760726234,0.0,
2016-04-20 00:00:00,2016-04-20 00:00:00,SELL,GRASIM,SellReason.RANK_EXIT,,,,,,381.59201883325215,593.6817703092595,596.7419991745026,227711.98418758932,235.9610785267689,1145968.0129761766,227476.02310906255,
2016-04-22 00:00:00,2016-04-22 00:00:00,BUY,GRASIM,NEW_POSITION,,5,0.6863359982587786,,0.20062475009463177,391.45079194250746,580.4208084714868,,227476.02310906255,269.83797298860736,1130497.9280273025,0.0,
2016-04-25 00:00:00,2016-04-25 00:00:00,SELL,GRASIM,SellReason.RANK_EXIT,,,,,,391.45079194250746,580.4208084714868,585.2297068100378,229088.63219907074,237.38759698911426,1131546.8943141045,228851.24460208163,
2016-04-26 00:00:00,2016-04-26 00:00:00,SELL,ULTRACEMCO,SellReason.RANK_EXIT,,,,,,72.0277815441041,3145.2339697300226,3160.9751626125826,227678.02847899805,235.92589273867824,1139532.9196520876,456293.34718834097,
2016-04-28 00:00:00,2016-04-28 00:00:00,SELL,HEROMOTOCO,SellReason.RANK_EXIT,,,,,,98.93840350546148,2289.750160202494,2143.0371301974365,212028.67231466016,219.70962299793104,1163708.790616925,668102.3098800032,
2016-05-18 00:00:00,2016-05-18 00:00:00,SELL,BSOFT,SellReason.RANK_EXIT,,,,,,2927.301317392196,77.39012855657364,83.23434753777777,243652.01519961673,252.47855310223804,1166758.3008062607,911501.8465265178,
2016-05-24 00:00:00,2016-05-24 00:00:00,BUY,GRASIM,NEW_POSITION,,2,0.7948771177899902,,0.19508861346040493,370.9062489225484,613.6460372276118,,227875.46163162944,270.3117973494518,1165337.6105038547,0.0,
2016-05-24 00:00:00,2016-05-24 00:00:00,BUY,INDUSINDBK,NEW_POSITION,,3,0.7917575826342115,,0.19508861346040496,228.2082117759594,997.3574047270856,,227875.46163162947,270.3117973494518,1165337.6105038547,0.0,
2016-05-24 00:00:00,2016-05-24 00:00:00,BUY,BSOFT,NEW_POSITION,,4,0.7836344858081751,,0.19508861346040493,2667.3226960360435,85.33093883710738,,227875.46163162944,270.3117973494518,1165337.6105038547,0.0,
2016-05-24 00:00:00,2016-05-24 00:00:00,BUY,ACCELYA,NEW_POSITION,,5,0.7608423195137877,,0.19508861346040493,208.62066895901006,1091.0,,227875.46163162944,270.3117973494518,1165337.6105038547,0.0,
2016-05-25 00:00:00,2016-05-25 00:00:00,SELL,ACCELYA,SellReason.RANK_EXIT,,,,,,208.62066895901006,1091.0,1085.0,226353.4258205259,234.5533050243003,1187327.2664730314,226118.8725155016,
2016-06-09 00:00:00,2016-06-09 00:00:00,SELL,INDUSINDBK,SellReason.RANK_EXIT,,,,,,228.2082117759594,997.3574047270856,1052.5406086523478,240198.4101221322,248.89983772721655,1224814.405246154,466068.38279990654,
2016-06-22 00:00:00,2016-06-22 00:00:00,BUY,INDUSINDBK,NEW_POSITION,,4,0.5985415562987818,,0.18587961352524862,226.045771829253,1029.6930497733117,,233034.19139995327,276.431216727593,1246276.812343997,0.0,
2016-06-22 00:00:00,2016-06-22 00:00:00,BUY,POWERGRID,NEW_POSITION,,5,0.58916856251882,,0.18587961352524862,4195.617660193772,55.476399194219205,,233034.19139995327,276.4312167276221,1246276.812343997,0.0,
2016-06-23 00:00:00,2016-06-23 00:00:00,SELL,INDUSINDBK,SellReason.RANK_EXIT,,,,,,226.045771829253,1029.6930497733117,1032.251722915103,233336.13742842068,241.78897234290267,1255601.200608179,233094.34845607777,
