year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2016,136,107,0,118362.96727254987,54487.24342817045,0.0,172850.21070072032,0.6847719004374729,0.31522809956252706,0.0
2017,228,19,1,36607.93348345789,26021.682079523103,1605.3366289311089,64234.9521919121,0.5699067600157293,0.4051016026567468,0.02499163732752398
2018,137,108,0,4348.099315730855,76002.03985412908,0.0,80350.13916985993,0.054114396821877145,0.9458856031781229,0.0
2019,168,69,4,-73821.43285475089,129614.04510876792,-524.2624056527857,55268.34984836425,-1.3356909163615232,2.3451766782323076,-0.009485761870784388
2020,168,82,0,404408.87675850745,141497.32384683983,0.0,545906.2006053473,0.7408028637704874,0.2591971362295126,0.0
2021,139,109,0,183718.7189914286,-114780.39886429277,0.0,68938.32012713584,2.66497237897029,-1.6649723789702897,0.0
2022,77,171,0,42424.31853897404,199647.25424367515,0.0,242071.5727826492,0.17525526872610486,0.8247447312738951,0.0
2023,185,60,0,479760.1006698515,83990.27792850463,0.0,563750.3785983562,0.8510151281187104,0.14898487188128964,0.0
2024,202,44,0,-45045.493031994905,-82542.02634715149,0.0,-127587.5193791464,0.35305563781779575,0.6469443621822043,-0.0
2025,135,114,0,-80989.53532897402,1250150.1166971643,0.0,1169160.5813681902,-0.0692715240486447,1.0692715240486448,0.0
2026,16,131,0,-146939.79631294683,-238901.832564231,0.0,-385841.62887717783,0.3808292970889388,0.6191707029110612,-0.0
