year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,74,0,25,-5251.805922024185,0.0,-6819.156078807428,-12070.962000831612,0.4350776617192871,-0.0,0.5649223382807129
2022,104,0,143,104350.71233129653,0.0,46132.05551027763,150482.76784157415,0.693439613239672,0.0,0.30656038676032804
2023,143,0,102,160431.62844727933,0.0,3140.08316440857,163571.7116116879,0.9808030182391012,0.0,0.019196981760898794
2024,200,0,44,79172.4125562394,0.0,-5531.863650734769,73640.54890550463,1.075119804685775,0.0,-0.07511980468577499
2025,135,0,112,801.142066128552,0.0,-2441.529470155714,-1640.3874040271621,-0.48838589235795327,-0.0,1.4883858923579532
2026,92,0,54,69023.53083389928,0.0,9058.314602100756,78081.84543600003,0.8839894913917548,0.0,0.11601050860824524
