year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2020,COMBINED,496,0,2696,394483.2785820713,0.0,7105.390192914114,401588.6687749854,0.9823067961190525,0.0,0.017693203880947504
2020,NIFTY_AUTO,155,0,13,69366.80731444043,0.0,0.0,69366.80731444043,1.0,0.0,0.0
2020,NIFTY_BANK,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_CHEMICALS,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_CONSUMER_DURABLES,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_FINANCIAL_SERVICES,48,0,120,100371.52107660274,0.0,211009.54064782255,311381.0617244253,0.32234304976913575,0.0,0.6776569502308643
2020,NIFTY_FINANCIAL_SERVICES_EX_BANK,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_FMCG,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_HEALTHCARE,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_IT,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_MEDIA,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_METAL,90,0,78,81580.35776939767,0.0,-414913.691102731,-333333.3333333333,-0.24474107330819303,-0.0,1.244741073308193
2020,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_MIDSMALL_HEALTHCARE,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_MIDSMALL_IT_TELECOM,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_OIL_GAS,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_PHARMA,155,0,13,101137.20097934303,0.0,0.0,101137.20097934303,1.0,0.0,0.0
2020,NIFTY_PRIVATE_BANK,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NIFTY_PSU_BANK,0,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
