decision_date,exit_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,exit_price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,sell_transaction_cost,net_value,realized_pnl,entry_price,buy_transaction_cost,invested_amount,total_transaction_cost,net_realized_pnl,holding_days,proceeds,gross_realized_pnl,return_pct,sell_reason
2020-06-02,2020-06-03,NIFTY_METAL,SELL,TATASTEEL,RANK_EXIT,2020-05-22,3,10.0,0.5379709228873253,26.095727920532227,4838.105297307457,126253.87948942106,111111.11111111111,0.0,126.25387948942107,3.7497402208358053,0.12625387948942104,0.6976789380585408,0.0,130.82755252780484,126123.05193689326,15011.940825782149,22.938588848817606,131.8028888888889,111111.11111111111,262.63044141669377,15011.940825782149,12,126253.87948942106,15142.76837830995,0.13510746743203933,RANK_EXIT
2020-07-02,2020-07-03,NIFTY_METAL,SELL,NMDC,RANK_EXIT,2020-05-22,2,10.0,0.3158840925122301,14.508039474487305,8498.876726050823,123302.03903034677,111111.11111111111,0.0,123.30203903034678,3.662070559201299,0.12330203903034677,0.6813670676816962,0.0,127.76877869626011,123174.27025165051,12063.1591405394,13.058114830874953,131.8028888888889,111111.11111111111,259.57166758514904,12063.1591405394,42,123302.03903034677,12190.927919235663,0.10856843226485459,RANK_EXIT
2020-07-07,2020-07-08,NIFTY_AUTO,SELL,EXIDEIND,RANK_EXIT,2020-05-22,3,9.0,0.3759625072901448,148.32456970214844,755.7796337321432,112100.6889629675,111111.11111111111,0.0,112.1006889629675,3.3293904622001347,0.11210068896296749,0.6194684072093584,0.0,116.16164852133996,111984.52731444615,873.416203335044,146.84082934888204,131.8028888888889,111111.11111111111,247.96453741022884,873.416203335044,47,112100.6889629675,989.5778518563893,0.007860745830015396,RANK_EXIT
2020-08-14,2020-08-17,NIFTY_AUTO,SELL,MRF,RANK_EXIT,2020-05-22,1,9.0,0.4385702808698019,59542.8125,1.956176310515069,116476.23927394053,111111.11111111111,0.0,116.47623927394054,3.459344306436034,0.11647623927394053,0.6436476982277954,0.0,120.6957075178783,116355.54356642265,5244.432455311544,56732.773843376584,131.8028888888889,111111.11111111111,252.4985964067672,5244.432455311544,87,116476.23927394053,5365.128162829424,0.0471998920978039,RANK_EXIT
2020-09-24,2020-09-25,NIFTY_METAL,SELL,TATASTEEL,RANK_EXIT,2020-07-22,3,11.0,0.3230941078315179,29.699016571044922,4150.847165383484,123276.07874859893,123174.27025165051,0.0,123.27607874859893,3.661299538833388,0.12327607874859892,0.6812236111647576,0.0,127.74187797734568,123148.33687062158,-25.933381028924487,29.639288759113054,146.11252190353437,123174.27025165051,273.85439988088007,-25.933381028924487,65,123276.07874859893,101.8084969484189,-0.00021054219339754508,RANK_EXIT
2020-09-24,2020-09-28,NIFTY_METAL,SELL,HINDZINC,SECTOR_ROTATION,2020-05-22,1,,0.4310090420767665,124.77007293701172,1117.6967727342917,139455.10785552018,111111.11111111111,0.0,139.4551078555202,4.141816703308949,0.13945510785552018,0.7706289260096044,0.0,144.5070085926943,139310.6008469275,28199.489735816387,99.29285914526405,131.8028888888889,111111.11111111111,276.3098974815832,28199.489735816387,129,139455.10785552018,28343.996744409073,0.2537954076223475,SECTOR_ROTATION
2020-09-24,2020-09-28,NIFTY_METAL,SELL,JINDALSTEL,SECTOR_ROTATION,2020-06-23,2,,0.4104803005854289,181.2879180908203,881.0606748494262,159725.65545514564,126123.05193689326,0.0,159.72565545514564,4.743851967017825,0.15972565545514564,0.8826439720451348,0.0,165.51187704966375,159560.14357809597,33437.091641202715,142.97930334368323,149.61044340689315,126123.05193689326,315.1223204565569,33437.091641202715,97,159725.65545514564,33602.60351825238,0.26511483133101826,SECTOR_ROTATION
2020-10-21,2020-10-22,NIFTY_AUTO,SELL,BAJAJ-AUTO,RANK_EXIT,2020-05-22,2,9.0,0.4116470646113157,2592.381591796875,49.06396676788945,127192.52426961022,111111.11111111111,0.0,127.19252426961022,3.7776179708074236,0.12719252426961022,0.702865889113866,0.0,131.8002006538011,127060.72406895642,15949.612957845311,2261.931016447167,131.8028888888889,111111.11111111111,263.60308954269,15949.612957845311,153,127192.52426961022,16081.413158499112,0.1435465166206078,RANK_EXIT
2020-11-06,2020-11-09,NIFTY_PHARMA,SELL,AUROPHARMA,RANK_EXIT,2020-05-22,1,6.0,0.3936387412250042,761.2593383789062,159.501352956315,121421.89442206477,111111.11111111111,0.0,121.42189442206477,3.6062302643353235,0.12142189442206476,0.6709773885763298,0.0,125.8205239693985,121296.07389809538,10184.962786984266,695.7891338552956,131.8028888888889,111111.11111111111,257.6234128582874,10184.962786984266,171,121421.89442206477,10310.783310953659,0.0916646650828584,RANK_EXIT
2020-11-10,2020-11-11,NIFTY_REALTY,SELL,OBEROIRLTY,RANK_EXIT,2020-10-22,2,6.0,0.5462445349742969,419.8902587890625,155.2058559604895,65169.42702482789,70336.51354927418,0.0,65.1694270248279,1.9355319826373885,0.06516942702482789,0.36012625373919893,0.0,67.5302546882293,65101.89677013966,-5234.6167791345215,452.64450953472334,83.43500112150133,70336.51354927418,150.96525580973065,-5234.6167791345215,20,65169.42702482789,-5167.086524446291,-0.07442246587140569,RANK_EXIT
2020-11-13,2020-11-17,NIFTY_REALTY,SELL,PRESTIGE,RANK_EXIT,2020-10-22,3,6.0,0.623348206281662,257.26519775390625,282.1863225436725,72596.72007264548,70336.51354927418,0.0,72.59672007264548,2.156122586157571,0.07259672007264548,0.4011694751214389,0.0,75.22660885399712,72521.49346379148,2184.979914517302,248.95989966799326,83.43500112150133,70336.51354927418,158.66160997549844,2184.979914517302,26,72596.72007264548,2260.206523371293,0.031064660505053555,RANK_EXIT
2020-11-24,2020-11-25,NIFTY_AUTO,SELL,BHARATFORG,RANK_EXIT,2020-10-22,3,9.0,0.4750922073920568,477.075927734375,291.11500016363846,138883.95878046055,127060.72406895642,0.0,138.88395878046055,4.124853575779679,0.13888395878046056,0.767472756220825,0.0,143.9151690712415,138740.04361138932,11679.319542432902,435.9445623315518,150.7227344694219,127060.72406895642,294.6379035406634,11679.319542432902,34,138883.95878046055,11823.234711504134,0.09191919555010944,RANK_EXIT
2020-11-27,2020-12-01,NIFTY_REALTY,SELL,PRESTIGE,RANK_EXIT,2020-11-24,2,6.0,0.5147032501796882,286.18524169921875,251.90842648980134,72092.47392105368,68811.69511696557,0.0,72.09247392105368,2.1411464754552942,0.07209247392105368,0.3983830108877426,0.0,74.70409588131778,72017.76982517236,3206.0747082067974,272.83751422224185,81.62622185181759,68811.69511696557,156.33031773313536,3206.0747082067974,7,72092.47392105368,3280.7788040881132,0.04659200304188318,RANK_EXIT
2020-12-01,2020-12-02,NIFTY_REALTY,SELL,OBEROIRLTY,RANK_EXIT,2020-11-24,3,6.0,0.3961798083037138,490.9229736328125,151.82479769321623,74534.28115475389,68811.69511696557,0.0,74.53428115475388,2.2136681502961904,0.07453428115475388,0.41187643766117,0.0,77.23436002386599,74457.04679473002,5645.3516777644545,452.69330135379266,81.62622185181759,68811.69511696557,158.86058187568358,5645.3516777644545,8,74534.28115475389,5722.586037788322,0.08204058435369935,RANK_EXIT
2020-12-11,2020-12-14,NIFTY_PHARMA,SELL,CIPLA,RANK_EXIT,2020-05-22,3,6.0,0.4387747682631016,753.187255859375,188.584995356574,142039.81514887096,111111.11111111111,0.0,142.03981514887096,4.218582509921467,0.14203981514887096,0.7849120185126608,0.0,147.18534949245398,141892.6297993785,30781.518688267402,588.4842959663042,131.8028888888889,111111.11111111111,278.98823838134285,30781.518688267402,206,142039.81514887096,30928.704037759846,0.2770336681944066,RANK_EXIT
2020-12-24,2020-12-28,NIFTY_AUTO,SELL,HEROMOTOCO,RANK_EXIT,2020-07-22,1,9.0,0.29872967240711057,2544.1337890625,47.81640769486207,121651.33848808672,111984.52731444615,0.0,121.65133848808672,3.6130447530961756,0.12165133848808672,0.6722452964851672,0.0,126.05827987615616,121525.28020821056,9540.75289376441,2339.19053623442,132.83895789810623,111984.52731444615,258.8972377742624,9540.75289376441,159,121651.33848808672,9666.81117364057,0.08519706358160106,RANK_EXIT
2020-12-24,2020-12-28,NIFTY_REALTY,SELL,OBEROIRLTY,RANK_EXIT,2020-12-22,3,6.0,0.43135041526208323,525.5838012695312,142.5065947768813,74899.15778881,73237.40830995119,0.0,74.89915778881,2.224504986327657,0.07489915778881,0.413892745940964,0.0,77.61245467886744,74821.54533413114,1584.137024179945,513.313312317729,86.87611790988016,73237.40830995119,164.48857258874762,1584.137024179945,6,74899.15778881,1661.7494788588083,0.021630162245442255,RANK_EXIT
2021-01-06,2021-01-07,NIFTY_FINANCIAL_SERVICES,SELL,HDFCBANK,RANK_EXIT,2020-10-22,1,13.0,0.29486434844632947,659.805908203125,121.61436565583662,80241.87698209622,70336.51354927418,0.0,80.24187698209622,2.3831837463682577,0.08024187698209621,0.4434166122030637,0.0,83.14871921764964,80158.72826287858,9822.214713604393,577.6708875575263,83.43500112150133,70336.51354927418,166.58372033915097,9822.214713604393,77,80241.87698209622,9905.363432822036,0.1396460276172695,RANK_EXIT
2021-01-18,2021-01-19,NIFTY_PHARMA,SELL,DRREDDY,RANK_EXIT,2020-05-22,2,6.0,0.3603777813259512,986.2870483398438,150.0557053257403,147997.99869227776,111111.11111111111,0.0,147.99799869227778,4.39554056116065,0.14799799869227775,0.8178369407735269,0.0,153.35937419290426,147844.63931808487,36733.52820697376,739.5873951030972,131.8028888888889,111111.11111111111,285.1622630817932,36733.52820697376,242,147997.99869227776,36886.88758116665,0.33060175386276386,RANK_EXIT
2021-01-28,2021-02-01,NIFTY_PHARMA,SELL,DIVISLAB,SECTOR_ROTATION,2020-11-24,1,,0.806633693476518,3359.82080078125,34.597262335156884,116240.60164374579,121296.07389809538,0.0,116.24060164374579,3.45234586881925,0.11624060164374578,0.6423455646833393,0.0,120.45153367889212,116120.1501100669,-5175.923788028478,3501.7854351564592,143.8845565558421,121296.07389809538,264.33609023473423,-5175.923788028478,69,116240.60164374579,-5055.472254349588,-0.0426718163390592,SECTOR_ROTATION
2021-01-28,2021-02-01,NIFTY_PHARMA,SELL,AUROPHARMA,SECTOR_ROTATION,2020-12-22,3,,0.6783277913928032,893.104736328125,172.6355979839451,154181.6702182995,141892.6297993785,0.0,154.1816702182995,4.579195605483495,0.15418167021829948,0.852007909626323,0.0,159.7670554036276,154021.90316289588,12129.273363517364,820.9448962309749,168.31672667639756,141892.6297993785,328.0837820800252,12129.273363517364,41,154181.6702182995,12289.04041892098,0.08548205344186588,SECTOR_ROTATION
2021-01-28,2021-02-01,NIFTY_PHARMA,SELL,CIPLA,SECTOR_ROTATION,2021-01-22,3,,0.713933805624644,769.5049438476562,189.69048826479028,145967.76852063194,147844.63931808487,0.0,145.96776852063195,4.335242725062769,0.14596776852063192,0.8066178888450121,0.0,151.25559690306034,145816.51292372888,-2028.1263943559898,778.4747854981141,175.37715511973454,147844.63931808487,326.6327520227949,-2028.1263943559898,10,145967.76852063194,-1876.8707974529243,-0.013717956929047087,SECTOR_ROTATION
2021-02-25,2021-02-26,NIFTY_REALTY,SELL,OBEROIRLTY,RANK_EXIT,2021-01-22,3,6.0,0.3902482769141595,533.4546508789062,134.11870599070969,71546.24748060471,74821.54533413114,0.0,71.5462474806047,2.12492355017396,0.0715462474806047,0.3953645635778216,0.0,74.1380818418371,71472.10939876287,-3349.4359353682667,557.2137720809228,88.75526243552505,74821.54533413114,162.89334427736216,-3349.4359353682667,35,71546.24748060471,-3275.2978535264265,-0.044765661019304875,RANK_EXIT
2021-03-18,2021-03-19,NIFTY_REALTY,SELL,GODREJPROP,RANK_EXIT,2020-10-22,1,6.0,0.4956376552581787,1317.75,69.14673085448099,91118.10458349233,70336.51354927418,0.0,91.11810458349233,2.7062077061297223,0.09111810458349233,0.5035186459283786,0.0,94.41894904013391,91023.6856344522,20687.172085178012,1016.0,83.43500112150133,70336.51354927418,177.85395016163523,20687.172085178012,148,91118.10458349233,20781.591034218145,0.2941171098946443,RANK_EXIT
2021-03-18,2021-03-22,NIFTY_FINANCIAL_SERVICES,SELL,CHOLAFIN,SECTOR_ROTATION,2020-10-22,2,,0.8333333333333334,564.5169067382812,293.4905819136224,165680.39545869626,70336.51354927418,0.0,165.68039545869627,4.920707745123279,0.16568039545869626,0.9155498653047555,0.0,171.68233346458302,165508.71312523168,95172.1995759575,239.37081077725676,83.43500112150133,70336.51354927418,255.11733458608435,95172.1995759575,151,165680.39545869626,95343.88190942208,1.3530980535349495,SECTOR_ROTATION
2021-03-18,2021-03-22,NIFTY_FINANCIAL_SERVICES,SELL,BAJFINANCE,SECTOR_ROTATION,2020-10-22,3,,0.4663656714061896,524.695556640625,228.35327625441607,119815.94939502126,70336.51354927418,0.0,119.81594939502126,3.5585336970321317,0.11981594939502126,0.6621029363568876,0.0,124.1564019778053,119691.79299304346,49355.27944376928,307.65084565671555,83.43500112150133,70336.51354927418,207.59140309930663,49355.27944376928,151,119815.94939502126,49479.43584574708,0.7017021025529433,SECTOR_ROTATION
