year,beginning_value,ending_value,annual_return,realized_pnl,unrealized_pnl,buy_value,sell_value,turnover,buy_transaction_costs,sell_transaction_costs,transaction_costs,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2021,1000000,1082396.6750487236,0.08239667504872358,82396.67504872367,0,1788662.1322039613,1872999.6581964993,3.6616617904004602,2121.7575264358165,1940.8509438143258,4062.608470250142,19,8,11,0.42105263157894735,1.740994546563247,0.10620475520349049
2022,1082396.6750487236,1093335.6266123434,0.010106231676226615,93335.62661234359,0,5524413.037556202,5623575.959791056,10.299356284372767,6553.2023798881855,5827.295622510447,12380.498002398632,54,24,30,0.4444444444444444,1.388005885009162,0.18594271194816234
2023,1093335.6266123434,1822274.9327590864,0.6667113815776151,514949.1945027585,307325.738256328,7896985.276374016,8420660.17789027,14.92464441575352,9367.609256452008,8725.70701349452,18093.31626994653,75,39,36,0.52,2.588177158867828,0.06148858714233431
2024,1822274.9327590864,2498182.974658765,0.3709144156838582,1498182.9746587654,0,13499851.166960333,15013591.61560457,15.647168421173973,16013.874450378586,15557.47398547146,31571.348435850046,108,58,50,0.5370370370370371,3.3239390260988717,0.17594273647068898
2025,2498182.974658765,2442683.1347840372,-0.022216082824080795,1242862.5309666262,199820.60381741158,19052801.62379583,20316716.86501262,15.759261386442708,22600.928658988647,21052.710250164568,43653.63890915322,131,65,66,0.4961832061068702,2.1726452523694912,0.15746741743168016
2026,2442683.1347840372,2535974.772499798,0.03819227978745132,1167245.4622152979,368729.3102845014,24685859.802013136,25879922.71302166,20.70091768963944,29283.008729502588,26817.448793223582,56100.45752272617,156,76,80,0.48717948717948717,1.84244859412493,0.10031837618602107
