rebalance_date,symbol,rank,score,weight,quantity,entry_date,entry_price,current_price,cost_value,market_value,unrealized_pnl,unrealized_return_pct,holding_days
2016-01-05 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.196500778198242,1000000,1003225.2224201511,3225.2224201511126,0.0032252224201511125,0
2016-01-06 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.33099937438965,1000000,1009042.1508167884,9042.150816788431,0.00904215081678843,1
2016-01-07 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.667999267578125,1000000,1023617.0557143984,23617.05571439839,0.02361705571439839,2
2016-01-08 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.60700035095215,1000000,1020978.9141996662,20978.914199666237,0.020978914199666236,3
2016-01-11 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.680500030517578,1000000,1024157.7010815713,24157.701081571286,0.024157701081571285,6
2016-01-12 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.63249969482422,1000000,1022081.7350592533,22081.73505925329,0.022081735059253288,7
2016-01-13 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.311500549316406,1000000,1008198.8463327164,8198.846332716406,0.008198846332716406,8
2016-01-14 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.671499252319336,1000000,1023768.4265182987,23768.426518298686,0.023768426518298684,9
2016-01-15 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.704999923706055,1000000,1025217.296708873,25217.296708873007,0.02521729670887301,10
2016-01-18 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.85099983215332,1000000,1031531.6452403978,31531.645240397775,0.031531645240397775,13
2016-01-19 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.764999389648438,1000000,1027812.2129913198,27812.21299131983,0.02781221299131983,14
2016-01-20 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.944000244140625,1000000,1035553.8190972762,35553.819097276195,0.035553819097276194,15
2016-01-21 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.983999252319336,1000000,1037283.735788607,37283.73578860704,0.03728373578860704,16
2016-01-22 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,23.862499237060547,1000000,1032028.9828843839,32028.982884383877,0.032028982884383876,17
2016-01-25 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.0,1000000,1037975.7519596801,37975.751959680114,0.037975751959680115,20
2016-01-27 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.274499893188477,1000000,1049847.5950032284,49847.5950032284,0.049847595003228405,22
2016-01-28 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.299999237060547,1000000,1050950.4158628157,50950.41586281569,0.050950415862815686,23
2016-01-29 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.23349952697754,1000000,1048074.370588711,48074.370588711,0.048074370588710995,24
2016-02-01 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.329999923706055,1000000,1052247.9152494897,52247.91524948971,0.05224791524948971,27
2016-02-02 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.48550033569336,1000000,1058973.1509604298,58973.150960429804,0.05897315096042981,28
2016-02-03 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.530000686645508,1000000,1060897.7461788475,60897.746178847505,0.0608977461788475,29
2016-02-04 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.7185001373291,1000000,1069050.156973318,69050.15697331796,0.06905015697331797,30
2016-02-05 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,24.85099983215332,1000000,1074780.6349053844,74780.63490538439,0.07478063490538439,31
2016-02-08 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.202499389648438,1000000,1089982.6356347383,89982.63563473825,0.08998263563473825,34
2016-02-09 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.663999557495117,1000000,1109942.0516243288,109942.05162432883,0.10994205162432882,35
2016-02-10 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.398500442504883,1000000,1098459.483144053,98459.48314405303,0.09845948314405302,36
2016-02-11 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.954500198364258,1000000,1122505.9108389502,122505.91083895019,0.1225059108389502,37
2016-02-12 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.297000885009766,1000000,1137318.7194959328,137318.7194959328,0.1373187194959328,38
2016-02-15 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.874500274658203,1000000,1119045.9949653875,119045.99496538751,0.11904599496538751,41
2016-02-16 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.024499893188477,1000000,1125533.3269169552,125533.32691695518,0.12553332691695518,42
2016-02-17 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.853500366210938,1000000,1118137.770141986,118137.77014198597,0.11813777014198597,43
2016-02-18 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.838499069213867,1000000,1117488.9792031983,117488.97920319834,0.11748897920319834,44
2016-02-19 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.125,1000000,1129879.8549977767,129879.85499777668,0.12987985499777668,45
2016-02-22 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.881999969482422,1000000,1119370.3491893306,119370.34918933059,0.1193703491893306,48
2016-02-23 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.16200065612793,1000000,1131480.0959922513,131480.0959922513,0.1314800959922513,49
2016-02-24 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.243000030517578,1000000,1134983.2370980997,134983.23709809966,0.13498323709809967,50
2016-02-25 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.39900016784668,1000000,1141730.0854251825,141730.08542518248,0.14173008542518248,51
2016-02-26 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.35650062561035,1000000,1139892.023162237,139892.0231622369,0.1398920231622369,52
2016-02-29 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.489500045776367,1000000,1145644.113710446,145644.11371044605,0.14564411371044605,55
2016-03-01 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.515499114990234,1000000,1146768.5471861758,146768.54718617583,0.14676854718617582,56
2016-03-02 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.111499786376953,1000000,1129295.9843983185,129295.98439831845,0.12929598439831846,57
2016-03-03 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.269500732421875,1000000,1136129.3656808734,136129.3656808734,0.1361293656808734,58
2016-03-04 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.67650032043457,1000000,1153731.6866564883,153731.68665648834,0.15373168665648834,59
2016-03-08 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.756500244140625,1000000,1157191.6025300513,157191.60253005126,0.15719160253005127,63
2016-03-09 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.482999801635742,1000000,1145362.9847187882,145362.98471878818,0.14536298471878817,64
2016-03-10 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.3125,1000000,1137989.0405599617,137989.0405599617,0.1379890405599617,65
2016-03-11 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.680500030517578,1000000,1153904.6700765314,153904.67007653136,0.15390467007653136,66
2016-03-14 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.60099983215332,1000000,1150466.3668191112,150466.36681911116,0.15046636681911116,69
2016-03-15 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.13050079345703,1000000,1130117.758757149,130117.7587571491,0.1301177587571491,70
2016-03-16 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.06049919128418,1000000,1127090.260188243,127090.26018824289,0.12709026018824288,71
2016-03-17 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.45549964904785,1000000,1144173.630903729,144173.630903729,0.144173630903729,72
2016-03-18 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.18899917602539,1000000,1132647.7547002665,132647.75470026652,0.13264775470026652,73
2016-03-21 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.04450035095215,1000000,1126398.3265080713,126398.32650807127,0.12639832650807128,76
2016-03-22 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,26.047500610351562,1000000,1126528.0846958288,126528.08469582885,0.12652808469582885,77
2016-03-23 00:00:00,GOLDBEES,0,0.0,1.0,43248.98966498667,2016-01-05 00:00:00,23.094499588012695,25.743000030517578,1000000,1113358.7422656063,113358.7422656063,0.1133587422656063,78
