Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,,,,,,,,-0.021092569534545857,0.03510214137838363,0.015627262523099983,-0.020759635756073758,0.01162628524063658
2022,0.004249589242933283,-0.05655833087875384,-0.04459073622808374,-0.026211769061085244,-0.06151958018552728,-0.056051402816201024,0.06363297147253899,0.08430219386682847,-0.00293363014979664,0.08519081949768914,-0.05963571616385244,-0.052658676892644585
2023,0.0066762421860595556,-0.037493900795815605,-0.044179028750697236,0.037056322052579915,-0.0402000751998185,0.08127565170888373,0.039763231730316484,0.025385292858137953,-0.0207274454190034,0.14503591875467503,0.2539248234665681,0.1480495779840343
2024,0.10237294421212972,-0.006679876895277159,-0.11257571433756197,-0.029331563924125392,0.035588595473209805,0.044948682470106416,0.06755187473804258,0.04088834726816848,0.023028874765238516,-0.07772712062126808,-0.028721771050214784,-0.028582032626103704
2025,-0.13310483462296596,-0.07733580200464607,-0.06531040121261966,0.01948175979344957,0.012168098527544746,0.06024821027405758,-0.0007430212105644651,-0.04783295784954411,0.03254584778492009,0.07004448190222434,0.019892431681508116,0.04729254786435799
2026,0.027207520854314104,-0.01815258095735761,-0.12334806356916139,0.05083932942957681,0.04856911283562804,0.026968707683122872,0.03763183116842339,0.017498203096050657,,,,
