month,beginning_value,ending_value,month_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown,annualized_volatility,sharpe_ratio,cash_value,stock_value,gold_value
2021-08,1000000.0,978907.4304654541,-0.021092569534545857,-0.019929985000933903,-0.021092569534545857,0.0,978907.4304654541,-19746.995103766225,-1345.5744307796558,1380253.004896234,380647.4416721279,1637.2920009860397,394.4367758941424,2031.7287768801823,1.760900446568362,10,5,0,5,0.0,0.0,0.054444416709064414,0.1987064662214746,-1.6004184019984375,0.0,978907.4304654541,0
2021-09,978907.4304654541,1013269.1774860028,0.03510214137838363,0.03510214137838363,0.013269177486002759,0.0,1013269.1774860029,0.0,33016.172589769034,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.049120425185241845,0.19434956146738283,2.22905314101913,0.0,1013269.1774860028,0
2021-10,1013269.1774860028,1029103.800929142,0.015627262523099983,0.01562726252309954,0.029103800929142,0.0,1029103.800929142,0.0,48850.796032908205,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.07173035485940282,0.26103627030408927,0.8787907786822523,0.0,1029103.8009291422,0
2021-11,1029103.800929142,1007739.980866662,-0.020759635756073758,-0.020759635756073425,0.007739980866662055,212748.34591993951,794991.6349467224,-22384.077726510804,49871.05369693894,345120.5812497835,558447.605097763,409.39100661360567,578.6779280400345,988.0689346536402,0.8780146235314127,7,7,2,5,0.2857142857142857,0.5026414940410175,0.07605946346496473,0.22938313490846493,-1.0367787990463209,212748.34591993951,794991.6349467224,0
2021-12,1007739.980866662,1019456.2533326115,0.01162628524063658,0.011626285240636136,0.019456253332611473,368920.9351242689,650535.3182083427,3411.9097728659763,58175.41639002257,212748.34591993951,369303.61713423743,252.36761938722617,382.6820099685423,635.0496293557685,0.5775814933467351,5,4,2,2,0.5,1.2949758929655812,0.09346899552912802,0.24098159701945074,0.6476304997191522,368920.9351242689,650535.3182083427,0
2022-01,1019456.2533326115,1023788.5236604149,0.004249589242933283,0.004249589242933283,0.02378852366041495,89516.41381483871,934272.1098455763,20486.616077743354,42021.07064008256,592121.3711682408,313041.2313217782,702.3897656354175,324.38146296764097,1026.7712286030585,0.8878876357185846,10,3,2,1,0.6666666666666666,8.548996002934697,0.08421987213011839,0.24028051243013152,0.3433509813956134,89516.41381483871,934272.1098455763,0
2022-02,1023788.5236604149,965884.7535893582,-0.05655833087875384,-0.05655833087875428,-0.034115246410641786,460015.5676661533,505869.1859232048,-21860.747967005504,5978.048536031361,0.0,370883.4729489546,0.0,384.31909764000346,384.31909764000346,0.3622657066157685,7,3,2,1,0.6666666666666666,0.4814720850021662,0.11431443851541812,0.2926904614506046,-2.355317023781176,460015.5676661533,505869.1859232048,0
2022-03,965884.7535893582,922815.2413153275,-0.04459073622808374,-0.04459073622808418,-0.07718475868467256,0.0,922815.2413153275,-34831.32943949468,-2260.1342985048323,740614.9080516978,280890.4063277318,878.5366599185332,291.0659421873602,1169.6026021058933,1.0575850903364794,5,4,1,3,0.25,0.006755056802557907,0.06541819654578018,0.17396053390125188,-3.055894700799741,0.0,922815.2413153275,0
2022-04,922815.2413153275,898626.6213239204,-0.026211769061085244,-0.026211769061084467,-0.10137337867607954,0.0,898626.6213239204,0.0,-26448.754289911827,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0691482208605857,0.19218764291663748,-1.7352216681294559,0.0,898626.6213239204,0
2022-05,898626.6213239204,843343.4888365341,-0.06151958018552728,-0.061519580185526945,-0.1566565111634659,0.0,843343.4888365341,-85967.94011769484,4236.053340396727,839107.4354961375,839977.8423758311,995.3710567788412,870.4068796937379,1865.777936472579,1.8685015979141828,3,5,0,5,0.0,0.0,0.09085837259447915,0.2906628439874304,-2.467347396793275,0.0,843343.4888365341,0
2022-06,843343.4888365341,796072.9032313372,-0.056051402816201024,-0.056051402816201135,-0.20392709676866283,0.0,796072.9032313372,-53763.696502537234,10729.16423773687,785343.7389936002,786158.3767436998,931.5951621314227,814.6377500996172,1746.2329122310398,1.8634188044841897,3,3,0,3,0.0,0.0,0.07034896376925637,0.11030777882881679,-5.926904655396871,0.0,796072.9032313372,0
2022-07,796072.9032313372,846729.3875727181,0.06363297147253899,0.06363297147253855,-0.1532706124272819,0.0,846729.3875727181,0.0,61385.64857911787,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0323548101974076,0.21465613044985035,3.560825946852008,0.0,846729.3875727181,0
2022-08,846729.3875727181,918110.5325566144,0.08430219386682847,0.08430219386682869,-0.08188946744338566,0.0,918110.5325566144,0.0,132766.79356301404,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.044278889408801536,0.24015289563488865,4.373952691194091,0.0,918110.5325566144,0
2022-09,918110.5325566144,915417.1358174605,-0.00293363014979664,-0.002933630149796973,-0.08458286418253946,0.0,915417.1358174605,0.0,130073.39682386021,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.057123318725614936,0.1959285950060794,-0.07330688806999466,0.0,915417.1358174605,0
2022-10,915417.1358174605,993402.2717999774,0.08519081949768914,0.08519081949768936,-0.006597728200022579,0.0,993402.2717999774,0.0,208058.53280637707,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.015994412380098022,0.21550658962483513,5.150041084904816,0.0,993402.2717999774,0
2022-11,993402.2717999774,934160.0158823878,-0.05963571616385244,-0.059635716163852326,-0.06583998411761227,0.0,934160.0158823878,0.0,148816.27688878754,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0809849560426692,0.16817709467472006,-4.296280566194875,0.0,934160.0158823878,0
2022-12,934160.0158823878,884968.3854400094,-0.052658676892644585,-0.052658676892644585,-0.11503161455999056,0.0,884968.3854400094,108430.41282450265,-8805.766378093453,893774.1518181029,894701.2645306424,1060.218137014581,927.1127125395295,1987.3308495541105,1.9145279030802764,2,3,2,1,0.6666666666666666,35.14304154111848,0.05892377875090338,0.15867106969845926,-4.006655841308757,0.0,884968.3854400094,0
2023-01,884968.3854400094,890876.648708213,0.0066762421860595556,0.0066762421860593335,-0.10912335129178696,0.0,890876.648708213,4886.196471243107,-7783.699581133071,898660.3482893461,899592.5294577759,1066.0142703098777,932.1811684299134,1998.1954387397911,2.0319967439887976,9,2,1,1,0.5,1.2864677437362637,0.0287055414548838,0.11436852385536152,0.7553957260013792,0.0,890876.648708213,0
2023-02,890876.648708213,857474.2080202386,-0.037493900795815605,-0.03749390079581505,-0.14252579197976145,0.0,857474.2080202386,-12215.973483875423,-28970.16678523198,586890.9253756886,587499.7078479531,696.1852748447016,608.7824722644531,1304.9677471091545,1.3182415712955649,6,6,2,4,0.3333333333333333,0.1358364896618043,0.05872058315121387,0.13197881888543728,-3.578620252678419,0.0,857474.2080202386,0
2023-03,857474.2080202386,819591.8303311311,-0.044179028750697236,-0.04417902875069779,-0.18040816966886886,819591.8303311311,0.0,-66852.54447433953,0.0,0.0,820441.9936564498,0.0,850.1633253186484,850.1633253186484,0.9568124451821242,0,6,1,5,0.16666666666666666,0.010723465922045542,0.0662774721988606,0.12741130087951208,-4.1869705178310275,819591.8303311311,0.0,0
2023-04,819591.8303311311,849962.8891475449,0.037056322052579915,0.037056322052579915,-0.1500371108524552,0.0,849962.8891475449,14917.989988249203,15453.068828164542,1107707.097096424,288414.12898451404,1313.9909589603028,298.86221922110707,1612.85317818141,1.7034347762066855,3,1,1,0,1.0,0.0,0.00988445289187756,0.09761445816727442,5.580032261546047,0.0,849962.8891475449,0
2023-05,849962.8891475449,815794.3170867586,-0.0402000751998185,-0.04020007519981872,-0.18420568291324146,0.0,815794.3170867586,-32905.47909521914,14189.97586259729,801604.3412241612,802435.8461112336,950.883911272972,831.5048870724592,1782.388798345431,1.887188497069723,3,3,1,2,0.3333333333333333,0.14426779626161337,0.06843416704656491,0.1819605001708479,-2.489221681962053,0.0,815794.3170867586,0
2023-06,815794.3170867586,882098.5318683886,0.08127565170888373,0.08127565170888351,-0.1179014681316114,0.0,882098.5318683886,0.0,80494.19064422749,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.03627196837411972,0.18719327388333584,5.111574210578159,0.0,882098.5318683886,0
2023-07,882098.5318683886,917173.6202000434,0.039763231730316484,0.039763231730316706,-0.08282637979995655,0.0,917173.6202000434,0.0,115569.27897588222,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.04106739280570926,0.1781754701997351,2.716798048464547,0.0,917173.6202000434,0
2023-08,917173.6202000434,940456.3411505802,0.025385292858137953,0.02538529285813751,-0.05954365884941981,0.0,940456.3411505802,0.0,138851.999926419,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.044941032471380704,0.19159857167309385,1.5952354148926096,0.0,940456.3411505802,0
2023-09,940456.3411505802,920963.0836704259,-0.0207274454190034,-0.020727445419003288,-0.0790369163295741,0.0,920963.0836704259,0.0,119358.74244626466,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0710098712204833,0.24619523375341096,-0.94685568667584,0.0,920963.0836704259,0
2023-10,920963.0836704259,1054535.810649705,0.14503591875467503,0.14503591875467547,0.05453581064970492,0.0,1054535.810649705,0.0,252931.46942554374,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.022506229528671873,0.2188121659040232,7.932748893742142,0.0,1054535.810649705,0
2023-11,1054535.810649705,1322308.6302081055,0.2539248234665681,0.2539248234665681,0.3223086302081055,0.0,1322308.6302081055,0.0,520704.2889839444,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.012347174933853067,0.2593014489698112,11.185361967117611,0.0,1322308.6302081055,0
2023-12,1322308.6302081055,1518075.864875062,0.1480495779840343,0.1480495779840343,0.5180758648750619,0.0,1518075.864875062,0.0,716471.5236509006,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.03813596246911688,0.2997123334319399,5.974049874649578,0.0,1518075.864875062,0
2024-01,1518075.864875062,1673485.7606996973,0.10237294421212972,0.10237294421213039,0.6734857606996973,0.0,1673485.7606996973,0.0,871881.4194755362,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.11425197570578005,0.4286539217686665,3.0881738024353753,0.0,1673485.7606996973,0
2024-02,1673485.7606996973,1662307.081832224,-0.006679876895277159,-0.006679876895277603,0.6623070818322241,0.0,1662307.081832224,0.0,860702.7406080628,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.06834994065199773,0.2595626454451841,-0.1961407023214148,0.0,1662307.081832224,0
