year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,COMBINED,456,0,1425,800241.4145267054,0.0,-779598.9351940939,20642.479332611547,38.766729598341534,0.0,-37.766729598341534
2021,NIFTY_AUTO,0,0,99,0.0,0.0,368920.9351242689,368920.9351242689,0.0,0.0,1.0
2021,NIFTY_BANK,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_CHEMICALS,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_CONSUMER_DURABLES,66,0,33,216642.78362656338,0.0,-216642.78362656338,0.0,0.0,0.0,0.0
2021,NIFTY_FINANCIAL_SERVICES,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_FINANCIAL_SERVICES_EX_BANK,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_FMCG,48,0,51,176676.1719656167,0.0,-176676.1719656167,0.0,0.0,0.0,0.0
2021,NIFTY_HEALTHCARE,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_IT,99,0,0,54514.15362133802,0.0,0.0,54514.15362133802,1.0,0.0,0.0
2021,NIFTY_MEDIA,29,0,70,12931.257770305558,0.0,179611.5558983806,192542.81366868617,0.06716042797918564,0.0,0.9328395720208144
2021,NIFTY_METAL,69,0,30,-30114.294566531928,0.0,-169648.46023346807,-199762.7548,0.15075029675417717,-0.0,0.8492497032458228
2021,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_MIDSMALL_HEALTHCARE,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_MIDSMALL_IT_TELECOM,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_OIL_GAS,15,0,84,203715.5961183185,0.0,0.0,203715.5961183185,1.0,0.0,0.0
2021,NIFTY_PHARMA,8,0,91,-5785.866940323118,0.0,-193976.88785967688,-199762.7548,0.028963692186343027,-0.0,0.971036307813657
2021,NIFTY_PRIVATE_BANK,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NIFTY_PSU_BANK,33,0,66,143024.86930797805,0.0,-342787.6241079781,-199762.75480000002,-0.7159736531025154,-0.0,1.7159736531025154
2021,NIFTY_REALTY,89,0,10,28636.74362344027,0.0,-228399.49842344027,-199762.7548,-0.1433537680841007,-0.0,1.1433537680841006
2022,COMBINED,413,0,4280,2929491.3464767016,0.0,-3063979.214369304,-134487.86789260246,-21.78256962788715,-0.0,22.78256962788715
2022,NIFTY_AUTO,124,0,123,91092.74206801108,0.0,-460013.67719227995,-368920.9351242689,-0.2469167059801771,-0.0,1.2469167059801771
2022,NIFTY_BANK,28,0,219,212173.73804033932,0.0,-212173.73804033932,0.0,0.0,0.0,0.0
2022,NIFTY_CHEMICALS,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_CONSUMER_DURABLES,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_FINANCIAL_SERVICES,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_FINANCIAL_SERVICES_EX_BANK,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_FMCG,20,0,227,778085.5519412527,0.0,-778085.5519412527,0.0,0.0,0.0,0.0
2022,NIFTY_HEALTHCARE,4,0,243,884968.3854400094,0.0,0.0,884968.3854400094,1.0,0.0,0.0
2022,NIFTY_IT,15,0,232,-21593.947494063905,0.0,-232682.9609272741,-254276.908421338,0.08492295910048833,-0.0,0.9150770408995117
2022,NIFTY_MEDIA,39,0,208,-53687.50943453936,0.0,-138855.3042341468,-192542.81366868617,0.2788341377773827,-0.0,0.7211658622226174
2022,NIFTY_METAL,79,0,168,165968.41111355092,0.0,-165968.41111355092,0.0,0.0,0.0,0.0
2022,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_MIDSMALL_HEALTHCARE,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_MIDSMALL_IT_TELECOM,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_OIL_GAS,71,0,176,697909.6056854745,0.0,-901625.2018037931,-203715.59611831862,-3.4259016932612587,-0.0,4.425901693261259
2022,NIFTY_PHARMA,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_PRIVATE_BANK,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NIFTY_PSU_BANK,33,0,214,174574.36911666702,0.0,-174574.36911666702,0.0,0.0,0.0,0.0
2022,NIFTY_REALTY,0,0,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,COMBINED,276,0,4379,3735589.4497911967,0.0,-3102481.970356144,633107.4794350527,5.900403282432571,0.0,-4.900403282432571
2023,NIFTY_AUTO,29,0,216,544654.3288906896,0.0,-544654.3288906896,0.0,0.0,0.0,0.0
2023,NIFTY_BANK,0,0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NIFTY_CHEMICALS,0,0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NIFTY_CONSUMER_DURABLES,0,0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NIFTY_FINANCIAL_SERVICES,0,0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
