asset_class,active_trading_days,active_years,total_return,cagr
Stocks,689,2.734126984126984,0.2485796112372538,0.08458600064971766
GOLDBEES,0,0.0,0.0,0.0
Combined,1234,4.896825396825397,0.2527515357900305,0.047093311855467945
