Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,,,,,,,,4.39,7.57,-5.17,-4.78,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,-2.06,0.92,-3.46,-2.33
2023,-10.71,0.0,0.0,0.0,-1.3,4.03,6.04,2.93,2.98,4.44,14.0,9.3
2024,11.74,-2.21,-1.25,-2.05,-4.53,1.45,-4.49,3.72,-5.07,-7.62,0.0,0.0
2025,0.0,0.0,0.0,-3.97,1.75,3.04,-5.2,-1.17,0.0,-0.18,0.87,7.12
2026,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
