year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,74,0,25,22264.656900430797,0.0,-8248.826450825203,14015.830449605593,1.5885364039244159,0.0,-0.5885364039244158
2022,77,0,171,44417.234516246244,0.0,10308.233479549875,54725.46799579612,0.8116373626929654,0.0,0.18836263730703462
2023,185,0,60,361630.7174771165,0.0,2935.05564640183,364565.77312351833,0.991949173886361,0.0,0.008050826113639048
2024,202,0,44,-155728.32455081376,0.0,-3049.69705432537,-158778.02160513913,0.9807927002522454,-0.0,0.019207299747754644
2025,135,0,114,21226.076271973317,0.0,1115.2972047911026,22341.37347676442,0.9500792909643161,0.0,0.049920709035683915
2026,16,0,131,-44973.597160000354,0.0,854.7095094844699,-44118.887650515884,1.0193728707816703,-0.0,-0.01937287078167021
