date,portfolio_value,daily_return,month,year
2021-08-10,998813.774,0.0,2021-08,2021
2021-08-11,980834.7735067713,-0.018000352979942624,2021-08,2021
2021-08-12,1004189.9509168918,0.023811530790878166,2021-08,2021
2021-08-13,1001669.2105022643,-0.002510222704704246,2021-08,2021
2021-08-16,999703.4603937373,-0.0019624743257720123,2021-08,2021
2021-08-17,1002441.097391421,0.0027384490562885055,2021-08,2021
2021-08-18,996981.4465825367,-0.005446355724133323,2021-08,2021
2021-08-20,962636.240313547,-0.03444919299824345,2021-08,2021
2021-08-23,950752.147933041,-0.012345361500866736,2021-08,2021
2021-08-24,970585.344729166,0.02086053325174486,2021-08,2021
2021-08-25,970268.0808712195,-0.0003268788877448525,2021-08,2021
2021-08-26,961043.0898711553,-0.00950767234533878,2021-08,2021
2021-08-27,968683.6122488432,0.007950239128936776,2021-08,2021
2021-08-30,986651.2826938778,0.01854854383602289,2021-08,2021
2021-08-31,991905.8165956668,0.005325624153087238,2021-08,2021
2021-09-01,999937.2804397166,0.00809700246704348,2021-09,2021
2021-09-02,1009547.383761873,0.00961070610141701,2021-09,2021
2021-09-03,1012723.9391807358,0.00314651443801095,2021-09,2021
2021-09-06,1019901.7133597028,0.007087592088297567,2021-09,2021
2021-09-07,1010967.5514880244,-0.008759826319193031,2021-09,2021
2021-09-08,1010678.4677905121,-0.0002859475530018196,2021-09,2021
2021-09-09,1012865.2939026669,0.0021637208883409365,2021-09,2021
2021-09-13,1018421.3415779433,0.005485475421779462,2021-09,2021
2021-09-14,1020194.386161046,0.0017409735152991157,2021-09,2021
2021-09-15,1026537.7023262612,0.006217752470766724,2021-09,2021
2021-09-16,1034845.599939195,0.008093124679305008,2021-09,2021
2021-09-17,1020844.9387257206,-0.01352922717581928,2021-09,2021
2021-09-20,993706.0652474251,-0.026584716687895638,2021-09,2021
2021-09-21,1010747.9268326517,0.01714980131572741,2021-09,2021
2021-09-22,1028856.0455518072,0.017915563552922897,2021-09,2021
2021-09-23,1049333.0778209292,0.01990271851699088,2021-09,2021
2021-09-24,1042862.5543695575,-0.006166319911317886,2021-09,2021
2021-09-27,1034842.0957928915,-0.007690810781402213,2021-09,2021
2021-09-28,1024434.3042949137,-0.010057371593492626,2021-09,2021
2021-09-29,1032953.2349107027,0.00831574126332324,2021-09,2021
2021-09-30,1043712.8314573632,0.010416344305839376,2021-09,2021
2021-10-01,1048286.4582999048,0.004382073981169077,2021-10,2021
2021-10-04,1073459.9969051545,0.02401398816700895,2021-10,2021
