year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,74,25,0,244937.7931328907,-21560.23175997706,0.0,223377.56137291365,1.0965192368806629,-0.09651923688066287,0.0
2022,104,143,0,-6937.266769570066,206650.39866201463,0.0,199713.13189244457,-0.034736157326430234,1.0347361573264302,0.0
2023,166,79,0,1509624.8861406313,135648.2809338607,0.0,1645273.167074492,0.9175527300581575,0.08244726994184244,0.0
2024,195,49,0,502636.4560056133,-100150.0981458486,0.0,402486.3578597647,1.2488285532915955,-0.24882855329159542,0.0
2025,143,104,0,116880.69995108712,1203260.1263067727,0.0,1320140.8262578598,0.08853653915272303,0.911463460847277,0.0
2026,92,54,0,720498.8552716011,-136901.7087230729,0.0,583597.1465485282,1.2345825532779382,-0.2345825532779383,0.0
