year,beginning_value,ending_value,annual_return,realized_pnl,unrealized_pnl,buy_value,sell_value,turnover,buy_transaction_costs,sell_transaction_costs,transaction_costs,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2021,1000000,1223377.5613729137,0.22337756137291365,233098.3522588007,-9720.790885886876,1701520.5933594669,1936625.7275494232,3.63814632090889,2018.387967378425,2006.7819311556289,4025.1698985340536,9,6,3,0.6666666666666666,4.1252134981874615,0.10111287752688274
2022,1223377.5613729137,1423090.6932653582,0.16324733933187402,429348.31663984683,-6257.623374488438,5640138.811203043,6075783.012170459,9.576701578722368,6690.479301457992,6295.884327569346,12986.363629027339,20,14,6,0.7,3.8937089936755456,0.2052701955063974
2023,1423090.6932653582,3068363.86033985,1.1561267141023346,1583013.1257748709,485350.73456497915,9257857.837072903,10852116.207817337,14.131196374242897,10981.911670639529,11245.244969561727,22227.156640201254,28,21,7,0.75,9.489825017933489,0.072024115397157
2024,3068363.86033985,3470850.218199615,0.1311729560702053,2577990.780522433,-107140.56232281867,18715532.460612692,21315611.031491842,13.046413435357925,22200.851208622684,22087.790356718666,44288.64156534135,44,29,15,0.6590909090909091,3.7205065351905358,0.2913353475493901
2025,3470850.218199615,4790991.044457475,0.38035084871586244,3326573.8819687217,464417.1624887523,35240839.06444073,38607418.95772634,21.27670552734866,41803.599560055765,40006.01131688894,81809.6108769447,56,34,22,0.6071428571428571,2.9137119886260905,0.14809050836419815
2026,4790991.044457475,5374588.191006003,0.12181136243693688,3246808.7227184214,1127779.4682875802,48702628.68697079,52003324.60673315,21.019858388215322,57772.32441683137,53887.19704393666,111659.52146076804,67,39,28,0.582089552238806,2.350415197536849,0.24438680036113733
